,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,GloblRad,EvapA,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil30cm,TxSoil50cm,TxSoil100cm,TxSoil200cm,TxSoil300cm,TxSoil500cm,VaporPressure,AirTemperature.MaximumDailyMean,AirTemperature.MaximumDailyMeanf,AirTemperature.MaximumDailyRange,AirTemperature.MaximumDailyRangeDate,AirTemperature.MaximumDailyRangeDatef,AirTemperature.MaximumDailyRangef,AirTemperature.MaximumGE30Days,AirTemperature.MaximumGE30Daysf,AirTemperature.MaximumGE35Days,AirTemperature.MaximumGE35Daysf,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.MeanDailyMaximum,AirTemperature.MeanDailyMaximumf,AirTemperature.MeanDailyMinimum,AirTemperature.MeanDailyMinimumf,AirTemperature.MeanDailyRange,AirTemperature.MeanDailyRangef,AirTemperature.MeanGE25Days,AirTemperature.MeanGE25Daysf,AirTemperature.MeanLE10Days,AirTemperature.MeanLE10Daysf,AirTemperature.Meanf,AirTemperature.MinimumDailyMean,AirTemperature.MinimumDailyMeanf,AirTemperature.MinimumGE20Days,AirTemperature.MinimumGE20Daysf,AirTemperature.MinimumLE10Days,AirTemperature.MinimumLE10Daysf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,CloudAmount,CloudAmountSat,DewPointTemperature.Meanf,EvaporationClassAPan.Accumulationf,EvaporationClassAPan.DailyMaximum,EvaporationClassAPan.DailyMaximumDate,EvaporationClassAPan.DailyMaximumDatef,EvaporationClassAPan.DailyMaximumf,EvaporationClassAPan.Flag,EvaporationClassAPan.Flagf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.Flag,GlobalSolarRadiation.Flagf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.Flag,PeakGust.Flagf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.GE10Days,Precipitation.GE10Daysf,Precipitation.GE1Days,Precipitation.GE1Daysf,Precipitation.GE30Days,Precipitation.GE30Daysf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,Precipitation.SixtyMinutelyMaximumFlag,Precipitation.SixtyMinutelyMaximumFlagf,Precipitation.SixtyMinutelyMaximumTimef,Precipitation.SixtyMinutelyMaximumf,Precipitation.TenMinutelyMaximumTimef,Precipitation.TenMinutelyMaximumf,PrecipitationDuration.Totalf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SeaLevelPressure.Maximum,SeaLevelPressure.MaximumTime,SeaLevelPressure.MaximumTimef,SeaLevelPressure.Maximumf,SeaLevelPressure.Meanf,SeaLevelPressure.Minimum,SeaLevelPressure.MinimumTime,SeaLevelPressure.MinimumTimef,SeaLevelPressure.Minimumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt30cm.Meanf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt5cm.Meanf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.MeanDailyRate,SunshineDuration.MeanDailyRatef,SunshineDuration.SunlessDays,SunshineDuration.SunlessDaysf,SunshineDuration.Totalf,TotalCloudAmount.BrokenSkyDays,TotalCloudAmount.BrokenSkyDaysf,TotalCloudAmount.ClearSkyDays,TotalCloudAmount.ClearSkyDaysf,TotalCloudAmount.Meanf,TotalCloudAmount.OvercastSkyDays,TotalCloudAmount.OvercastSkyDaysf,TotalCloudAmount.SatRetrievedBrokenSkyDays,TotalCloudAmount.SatRetrievedBrokenSkyDaysf,TotalCloudAmount.SatRetrievedClearSkyDays,TotalCloudAmount.SatRetrievedClearSkyDaysf,TotalCloudAmount.SatRetrievedMeanf,TotalCloudAmount.SatRetrievedOvercastSkyDays,TotalCloudAmount.SatRetrievedOvercastSkyDaysf,TotalCloudAmount.SatRetrievedScatteredSkyDays,TotalCloudAmount.SatRetrievedScatteredSkyDaysf,TotalCloudAmount.ScatteredSkyDays,TotalCloudAmount.ScatteredSkyDaysf,UVIMax,UVIMaxTime,UVIndex.Flag,UVIndex.Flagf,UVIndex.MaximumTimef,UVIndex.Maximumf,UVIndex.MeanDailyMaximum,UVIndex.MeanDailyMaximumf,WindDirection.Prevailingf,WindDirection.TenMinutelyMaximum,WindDirection.TenMinutelyMaximumf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf,WindSpeed.TenMinutelyMaximum,WindSpeed.TenMinutelyMaximumFlag,WindSpeed.TenMinutelyMaximumFlagf,WindSpeed.TenMinutelyMaximumGE10Days,WindSpeed.TenMinutelyMaximumGE10Daysf,WindSpeed.TenMinutelyMaximumTime,WindSpeed.TenMinutelyMaximumTimef,WindSpeed.TenMinutelyMaximumf
2016-01-01,1018.4,1021.8,1033.7,2016-01-24T22:59:00,1004.3,2016-01-17T14:12:00,16.2,23.6,2016-01-27T14:25:00,4.0,2016-01-24T14:27:00,12.7,80,54,2016-01-25T00:11:00,3.3,10,20.0,20,2016-01-23T05:37:00,441.2,370.8,4.5,2016-01-06T07:26:00,15.5,2016-01-06T07:11:00,6.3,68.14,23.8,,,,,,,,-99.8,-99.8,-99.8,15.2,20.3,,7.5,2016-01-27T00:00:00,,,0,,0,,,,18.1,,14.3,,3.7,,0,,2,,,5.4,,0,,3,,,,9.9,,,,2.7,2016-01-24T00:00:00,,,1,,,0,,,,2.25,2016-01-26T11:00:00,,0,,,,,75.0,2016-01-22T00:00:00,,0,,,0,,15,,20,,3,,,,,,,,25,0,,,0,,,,,,,96,2016-01-29T07:54:00,,,,,,1037.2,2016-01-24T22:59:00,,,,1007.6,2016-01-17T14:12:00,,,,,,,,,,,,,,,0,,1.9,,22,,,2,,0,,,29,,,,,,,,,,,0,,4.01,2016-01-26T13:00:00,0,,,,1.43,,,20,,0,,,12.6,0,,2,,2016-01-23T11:33:00,,
2016-02-01,1019.8,1023.2,1029.4,2016-02-25T07:18:00,1007.7,2016-02-13T13:53:00,15.3,28.4,2016-02-13T10:15:00,5.7,2016-02-08T05:59:00,10.8,76,35,2016-02-08T11:06:00,3.8,10,18.5,10,2016-02-14T19:17:00,422.2,311.8,5.4,2016-02-14T11:05:00,18.8,2016-02-14T11:08:00,71.2,160.12,47.6,,,,,,,,-99.8,-99.8,-99.8,13.4,22.2,,15.0,2016-02-09T00:00:00,,,0,,0,,,,18.2,,12.8,,5.4,,0,,0,,,10.9,,0,,4,,,,8.1,,,,5.5,2016-02-10T00:00:00,,,0,,,0,,,,3.0,2016-02-28T13:00:00,,0,,,,,70.6,2016-02-27T00:00:00,,0,,,0,,10,,16,,6,,,,,,,,19,0,,,0,,,,,,,97,2016-02-04T08:14:00,,,,,,1032.8,2016-02-25T07:18:00,,,,1010.9,2016-02-13T13:53:00,,,,,,,,,,,,,,,0,,21.9,,18,,,4,,2,,,20,,,,,,,,,,,3,,7.3,2016-02-28T13:00:00,0,,,,2.5,,,10,,0,,,12.0,0,,2,,2016-02-14T18:38:00,,
2016-03-01,1015.7,1019.0,1026.6,2016-03-01T00:01:00,1005.6,2016-03-18T16:14:00,16.8,26.6,2016-03-05T15:19:00,8.4,2016-03-28T05:25:00,12.9,79,34,2016-03-29T10:48:00,2.8,10,19.1,20,2016-03-09T05:46:00,317.1,257.6,3.0,2016-03-13T19:51:00,11.5,2016-03-13T20:30:00,83.2,252.12,52.5,,,,,,,,-99.8,-99.8,-99.8,15.3,21.7,,12.4,2016-03-29T00:00:00,,,0,,0,,,,19.4,,14.3,,5.1,,0,,0,,,12.2,,0,,1,,,,8.3,,,,4.9,2016-03-28T00:00:00,,,1,,,0,,,,3.56,2016-03-28T13:00:00,,0,,,,,55.8,2016-03-10T00:00:00,,0,,,0,,10,,17,,4,,,,,,,,20,0,,,0,,,,,,,99,2016-03-19T12:44:00,,,,,,1030.0,2016-03-01T00:01:00,,,,1008.8,2016-03-18T16:14:00,,,,,,,,,,,,,,,0,,22.6,,15,,,8,,1,,,19,,,,,,,,,,,3,,7.59,2016-03-29T12:00:00,0,,,,3.49,,,10,,0,,,11.9,0,,4,,2016-03-10T15:32:00,,
2016-04-01,1009.3,1012.5,1018.7,2016-04-19T09:22:00,999.7,2016-04-13T15:33:00,22.5,32.3,2016-04-20T14:20:00,16.3,2016-04-18T14:49:00,19.6,84,50,2016-04-20T14:20:00,1.8,30,17.0,320,2016-04-18T04:51:00,192.9,143.4,11.5,2016-04-27T03:17:00,36.0,2016-04-27T02:49:00,80.0,300.32,72.9,,,,,,,,-99.8,-99.8,-99.8,23.1,26.3,,12.3,2016-04-20T00:00:00,,,3,,0,,,,25.9,,20.1,,5.8,,6,,0,,,18.5,,15,,0,,,,8.8,,,,5.3,2016-04-29T00:00:00,,,0,,,0,,,,3.47,2016-04-29T13:00:00,,0,,,,,49.1,2016-04-13T00:00:00,,0,,,0,,7,,12,,3,,,,,,,,18,0,,,0,,,,,,,100,2016-04-18T04:44:00,,,,,,1022.0,2016-04-19T09:22:00,,,,1002.9,2016-04-13T15:33:00,,,,,,,,,,,,,,,0,,21.0,,10,,,7,,0,,,20,,,,,,,,,,,3,,8.16,2016-04-29T13:00:00,0,,,,4.59,,,220,,0,,,9.1,0,,0,,2016-04-13T11:48:00,,
2016-05-01,1007.4,1010.6,1013.8,2016-05-13T22:18:00,1001.7,2016-05-29T15:59:00,25.9,36.4,2016-05-29T12:19:00,18.4,2016-05-16T19:36:00,22.6,83,50,2016-05-02T11:15:00,2.3,30,15.0,220,2016-05-10T21:06:00,176.2,103.0,13.0,2016-05-05T18:37:00,21.0,2016-05-10T23:00:00,117.4,435.29,93.2,,,,,,,,-99.8,-99.8,-99.8,27.7,30.0,,11.5,2016-05-02T00:00:00,,,13,,1,,,,29.0,,23.4,,5.6,,21,,0,,,20.3,,28,,0,,,,8.3,,,,6.0,2016-05-31T00:00:00,,,1,,,0,,,,3.83,2016-05-29T12:00:00,,0,,,,,46.0,2016-05-05T00:00:00,,0,,,0,,4,,15,,2,,,,,,,,19,0,,,0,,,,,,,100,2016-05-18T05:35:00,,,,,,1017.0,2016-05-13T22:18:00,,,,1004.8,2016-05-29T15:59:00,,,,,,,,,,,,,,,0,,28.4,,10,,,15,,0,,,13,,,,,,,,,,,3,,11.68,2016-05-29T12:00:00,0,,,,6.44,,,220,,0,,,9.2,0,,0,,2016-05-10T21:06:00,,
2016-06-01,1005.0,1008.1,1012.4,2016-06-29T23:40:00,997.2,2016-06-01T16:45:00,28.6,37.6,2016-06-01T16:39:00,23.9,2016-06-05T18:00:00,24.4,79,39,2016-06-01T16:46:00,2.3,220,17.4,240,2016-06-01T10:09:00,255.0,79.5,19.5,2016-06-17T15:54:00,76.5,2016-06-17T15:40:00,181.4,581.62,142.4,,,,,,,,-99.8,-99.8,-99.8,30.5,31.9,,10.9,2016-06-01T00:00:00,,,26,,7,,,,32.7,,25.7,,7.0,,30,,0,,,25.5,,30,,0,,,,7.1,,,,8.2,2016-06-23T00:00:00,,,1,,,0,,,,4.18,2016-06-01T13:00:00,,0,,,,,108.0,2016-06-17T00:00:00,,0,,,0,,6,,14,,2,,,,,,,,16,0,,,0,,,,,,,98,2016-06-03T01:10:00,,,,,,1015.6,2016-06-29T23:40:00,,,,1000.2,2016-06-01T16:45:00,,,,,,,,,,,,,,,0,,44.4,,3,,,18,,0,,,4,,,,,,,,,,,8,,11.26,2016-06-27T12:00:00,0,,,,7.89,,,230,,0,,,9.8,0,,0,,2016-06-01T10:13:00,,
2016-07-01,1004.1,1007.3,1009.2,2016-07-21T08:08:00,992.4,2016-07-09T04:19:00,29.6,37.1,2016-07-16T13:18:00,25.1,2016-07-18T13:52:00,24.6,75,47,2016-07-29T11:50:00,2.6,40,19.2,110,2016-07-08T21:56:00,125.3,52.5,14.0,2016-07-20T16:13:00,21.0,2016-07-20T16:06:00,263.2,729.67,173.8,,,,,,,,-99.8,-99.8,-99.8,31.0,31.6,,9.7,2016-07-21T00:00:00,,,31,,7,,,,33.3,,26.7,,6.6,,31,,0,,,27.9,,31,,0,,,,5.1,,,,8.6,2016-07-04T00:00:00,,,1,,,0,,,,4.17,2016-07-05T13:00:00,,0,,,,,36.0,2016-07-08T00:00:00,,0,,,0,,5,,9,,1,,,,,,,,9,0,,,0,,,,,,,95,2016-07-10T01:02:00,,,,,,1012.4,2016-07-21T08:08:00,,,,995.5,2016-07-09T04:19:00,,,,,,,,,,,,,,,0,,63.0,,1,,,9,,2,,,2,,,,,,,,,,,18,,11.79,2016-07-11T12:00:00,0,,,,9.17,,,220,,0,,,8.5,0,,0,,2016-07-16T10:43:00,,
2016-08-01,1001.2,1004.3,1007.2,2016-08-03T21:09:00,996.9,2016-08-11T04:34:00,29.3,35.8,2016-08-05T12:30:00,23.7,2016-08-31T04:52:00,24.0,74,42,2016-08-30T12:28:00,2.5,40,19.2,120,2016-08-01T09:41:00,112.3,27.3,11.5,2016-08-27T09:54:00,21.0,2016-08-10T20:03:00,239.7,682.74,158.1,,,,,,,,-99.8,-99.8,-99.8,30.0,31.2,,8.5,2016-08-20T00:00:00,,,29,,2,,,,32.3,,26.7,,5.6,,31,,0,,,27.1,,31,,0,,,,5.5,,,,7.9,2016-08-15T00:00:00,,,0,,,0,,,,4.03,2016-08-07T14:00:00,,0,,,,,51.0,2016-08-10T00:00:00,,0,,,0,,2,,11,,1,,,,,,,,12,0,,,0,,,,,,,96,2016-08-10T20:56:00,,,,,,1010.4,2016-08-03T21:09:00,,,,1000.0,2016-08-11T04:34:00,,,,,,,,,,,,,,,0,,59.8,,1,,,16,,0,,,1,,,,,,,,,,,14,,10.58,2016-08-16T12:00:00,0,,,,8.66,,,10,,0,,,10.2,0,,1,,2016-08-28T12:39:00,,
2016-09-01,1004.1,1007.3,1013.9,2016-09-21T08:58:00,978.6,2016-09-27T19:12:00,27.3,34.1,2016-09-16T12:45:00,23.1,2016-09-20T01:04:00,23.5,80,44,2016-09-01T12:45:00,3.5,10,39.3,130,2016-09-27T23:46:00,531.7,161.9,20.5,2016-09-27T14:10:00,45.5,2016-09-27T13:51:00,80.7,354.3,85.8,,,,,,,,-99.8,-99.8,-99.8,29.1,29.8,,8.4,2016-09-16T00:00:00,,,13,,0,,,,29.6,,25.5,,4.1,,30,,0,,,25.4,,30,,0,,,,8.4,,,,5.7,2016-09-01T00:00:00,,,1,,,0,,,,4.23,2016-09-16T13:00:00,,0,,,,,215.0,2016-09-27T00:00:00,,0,,,0,,10,,20,,4,,,,,,,,24,0,,,0,,,,,,,100,2016-09-27T12:27:00,,,,,,1017.1,2016-09-21T08:58:00,,,,981.7,2016-09-27T19:12:00,,,,,,,,,,,,,,,0,,22.0,,6,,,14,,0,,,13,,,,,,,,,,,3,,10.7,2016-09-16T13:00:00,0,,,,5.52,,,30,,0,,,18.8,0,,3,,2016-09-27T12:37:00,,
2016-10-01,1009.1,1012.3,1021.9,2016-10-30T09:03:00,1000.6,2016-10-21T04:01:00,26.2,33.1,2016-10-23T11:53:00,21.6,2016-10-29T19:57:00,22.8,82,55,2016-10-02T11:12:00,3.5,50,21.9,160,2016-10-21T04:27:00,814.9,282.3,17.0,2016-10-08T17:33:00,52.0,2016-10-08T17:09:00,94.0,304.68,61.7,,,,,,,,-99.8,-99.8,-99.8,27.8,28.9,,8.3,2016-10-23T00:00:00,,,12,,0,,,,28.5,,24.5,,4.0,,24,,0,,,22.7,,31,,0,,,,8.0,,,,4.4,2016-10-01T00:00:00,,,1,,,0,,,,3.6,2016-10-02T12:00:00,,0,,,,,246.0,2016-10-09T00:00:00,,0,,,0,,12,,19,,8,,,,,,,,26,0,,,0,,,,,,,95,2016-10-11T10:42:00,,,,,,1025.2,2016-10-30T09:03:00,,,,1003.7,2016-10-21T04:01:00,,,,,,,,,,,,,,,0,,26.4,,10,,,14,,0,,,13,,,,,,,,,,,4,,8.6,2016-10-02T12:00:00,0,,,,4.67,,,140,,0,,,10.4,0,,2,,2016-10-21T00:04:00,,
