,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,EvapA,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil30cm,TxSoil50cm,TxSoil100cm
2025-01-01,1015.5,1017.0,1016.9,2025-01-01T08:52:00,1013.6,2025-01-01T14:15:00,18.5,22.5,2025-01-01T14:15:00,16.1,2025-01-01T05:53:00,13.9,75.0,62.0,2025-01-01T13:34:00,0.5,330.0,4.1,80.0,2025-01-01T22:36:00,0.09,1.2,-9.8,2025-01-01T01:16:00,-9.8,2025-01-01T01:16:00,0.1,0.9,6.92,-0.7,20.0,20.3,20.7,21.2,21.6,22.4,24.8
2025-01-02,1015.0,1016.5,1017.1,2025-01-02T09:44:00,1012.6,2025-01-02T15:17:00,17.7,19.2,2025-01-02T12:29:00,16.8,2025-01-02T05:20:00,16.6,93.0,88.0,2025-01-02T13:12:00,0.7,340.0,4.9,330.0,2025-01-02T00:49:00,4.0,5.9,1.0,2025-01-02T07:03:00,1.5,2025-01-02T05:11:00,0.0,0.0,4.55,-0.7,19.7,20.3,20.7,21.3,21.6,22.4,24.7
2025-01-03,1015.2,1016.7,1016.8,2025-01-03T09:10:00,1013.6,2025-01-03T14:47:00,17.7,20.5,2025-01-03T15:21:00,14.3,2025-01-03T23:53:00,14.1,80.0,66.0,2025-01-03T18:07:00,0.6,340.0,4.7,330.0,2025-01-03T17:04:00,0.5,1.6,0.5,2025-01-03T05:50:00,0.5,2025-01-03T05:50:00,0.2,1.9,8.25,-1.5,19.5,20.1,20.6,21.1,21.5,22.4,24.7
2025-01-04,1016.4,1017.9,1018.0,2025-01-04T23:46:00,1014.8,2025-01-04T15:18:00,17.2,23.7,2025-01-04T13:21:00,12.5,2025-01-04T03:36:00,14.2,84.0,56.0,2025-01-04T13:31:00,0.8,300.0,5.4,260.0,2025-01-04T14:35:00,0.0,0.0,0.0,-99.8,0.0,-99.8,9.3,86.5,15.66,1.6,19.2,19.6,20.2,20.9,21.3,22.3,24.6
2025-01-05,1016.4,1017.9,1019.0,2025-01-05T00:52:00,1013.3,2025-01-05T15:21:00,18.4,24.9,2025-01-05T14:03:00,14.1,2025-01-05T04:18:00,15.4,84.0,48.0,2025-01-05T14:03:00,0.7,340.0,5.5,280.0,2025-01-05T15:31:00,0.0,0.0,0.0,-99.8,0.0,-99.8,1.6,14.9,10.71,2.0,19.7,19.9,20.3,20.9,21.3,22.2,24.6
2025-01-06,1015.6,1017.1,1017.4,2025-01-06T21:27:00,1012.9,2025-01-06T16:39:00,18.1,25.0,2025-01-06T13:43:00,13.8,2025-01-06T23:51:00,13.6,77.0,47.0,2025-01-06T13:44:00,0.7,340.0,5.2,250.0,2025-01-06T14:38:00,0.0,0.0,0.0,-99.8,0.0,-99.8,9.8,91.1,16.97,2.8,19.2,19.9,20.4,20.9,21.3,22.2,24.5
2025-01-07,1017.0,1018.5,1018.8,2025-01-07T10:00:00,1015.4,2025-01-07T14:45:00,16.7,22.0,2025-01-07T11:13:00,11.7,2025-01-07T05:20:00,12.8,79.0,55.0,2025-01-07T11:06:00,0.7,270.0,6.1,280.0,2025-01-07T13:13:00,0.0,0.0,0.0,-99.8,0.0,-99.8,4.1,37.7,10.75,1.6,18.1,19.2,19.9,20.7,21.2,22.2,24.5
2025-01-08,1017.3,1018.8,1018.9,2025-01-08T22:48:00,1015.1,2025-01-08T14:01:00,18.1,24.1,2025-01-08T13:53:00,13.7,2025-01-08T02:53:00,13.3,75.0,48.0,2025-01-08T14:01:00,0.6,340.0,5.5,280.0,2025-01-08T15:36:00,0.0,0.0,0.0,-99.8,0.0,-99.8,6.3,58.4,13.75,2.3,19.3,19.4,19.9,20.6,21.0,22.0,24.4
2025-01-09,1018.6,1020.1,1022.0,2025-01-09T23:38:00,1016.1,2025-01-09T14:30:00,17.9,23.5,2025-01-09T12:46:00,14.4,2025-01-09T02:10:00,12.8,73.0,53.0,2025-01-09T12:49:00,0.7,340.0,4.9,310.0,2025-01-09T07:48:00,0.09,0.1,-9.8,2025-01-09T23:54:00,-9.8,2025-01-09T23:54:00,3.1,28.7,11.18,-2.7,19.1,19.5,20.0,20.7,21.0,22.0,24.3
2025-01-10,1023.1,1024.7,1025.0,2025-01-10T09:32:00,1021.0,2025-01-10T14:59:00,15.5,21.0,2025-01-10T13:57:00,12.3,2025-01-10T05:41:00,8.8,65.0,50.0,2025-01-10T13:48:00,1.0,340.0,6.2,340.0,2025-01-10T06:12:00,0.09,2.8,-9.8,2025-01-10T00:01:00,-9.8,2025-01-10T00:01:00,6.8,63.0,14.25,-3.4,17.9,19.0,19.7,20.5,21.0,22.1,24.3
