,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,GloblRad,EvapA,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil30cm,TxSoil50cm,TxSoil100cm,TxSoil200cm,TxSoil300cm,TxSoil500cm,VaporPressure
1997-01-01,764.2,3127.3,768.4,1997-01-07T00:00:00,755.7,1997-01-24T00:00:00,5.5,16.5,1997-01-31T00:00:00,-1.7,1997-01-29T00:00:00,3.0,86.0,25.0,1997-01-11T00:00:00,1.2,270.0,13.4,45.0,1997-01-24T00:00:00,87.0,58.5,2.0,1997-01-24T00:00:00,8.5,1997-01-24T00:00:00,119.2,330.15,33.2,8.6,8.1,8.2,8.1,8.9,-99.8,-99.8,-99.8,-99.8,-99.8,7.8
1997-02-01,764.4,3133.2,768.7,1997-02-24T00:00:00,759.8,1997-02-08T00:00:00,7.1,17.4,1997-02-28T00:00:00,0.5,1997-02-21T00:00:00,5.0,88.0,20.0,1997-02-28T00:00:00,1.4,270.0,12.6,337.5,1997-02-07T00:00:00,191.6,80.5,4.5,1997-02-02T00:00:00,8.5,1997-02-03T00:00:00,80.1,269.29,26.9,9.1,9.2,9.2,9.0,9.6,-99.8,-99.8,-99.8,-99.8,-99.8,8.9
1997-03-01,766.0,3156.3,769.5,1997-03-07T00:00:00,760.5,1997-03-22T00:00:00,9.3,21.1,1997-03-14T00:00:00,1.9,1997-03-03T00:00:00,5.4,80.0,19.0,1997-03-04T00:00:00,1.3,270.0,15.9,90.0,1997-03-23T00:00:00,325.8,62.4,13.2,1997-03-23T00:00:00,29.0,1997-03-21T00:00:00,169.7,426.54,43.2,11.4,11.4,11.3,11.0,11.5,-99.8,-99.8,-99.8,-99.8,-99.8,9.3
1997-04-01,765.5,3155.6,767.8,1997-04-27T00:00:00,762.9,1997-04-16T00:00:00,11.0,20.4,1997-04-03T00:00:00,5.9,1997-04-11T00:00:00,8.2,85.0,20.0,1997-04-03T00:00:00,1.2,270.0,11.6,315.0,1997-04-15T00:00:00,101.4,24.4,8.5,1997-04-17T00:00:00,18.5,1997-04-15T00:00:00,115.2,371.23,33.4,13.3,13.5,13.4,13.0,13.5,-99.8,-99.8,-99.8,-99.8,-99.8,11.1
1997-05-01,763.5,3138.3,767.8,1997-05-07T00:00:00,758.8,1997-05-29T00:00:00,12.8,22.8,1997-05-14T00:00:00,7.9,1997-05-02T00:00:00,9.6,83.0,17.0,1997-05-03T00:00:00,1.2,270.0,14.5,315.0,1997-05-19T00:00:00,469.0,87.0,13.0,1997-05-19T00:00:00,47.5,1997-05-19T00:00:00,139.7,422.94,51.4,15.1,15.5,15.4,15.0,15.3,-99.8,-99.8,-99.8,-99.8,-99.8,12.2
1997-06-01,762.9,3132.7,767.6,1997-06-08T00:00:00,756.7,1997-06-26T00:00:00,13.3,20.0,1997-06-25T00:00:00,4.3,1997-06-18T00:00:00,11.9,92.0,27.0,1997-06-19T00:00:00,1.3,270.0,13.8,67.5,1997-06-10T00:00:00,818.2,159.9,16.0,1997-06-03T00:00:00,32.5,1997-06-29T00:00:00,70.2,280.78,30.7,15.4,15.5,15.4,15.1,15.6,-99.8,-99.8,-99.8,-99.8,-99.8,14.0
1997-07-01,764.2,3148.9,768.1,1997-07-18T00:00:00,760.6,1997-07-31T00:00:00,14.0,20.8,1997-07-29T00:00:00,9.3,1997-07-20T00:00:00,12.3,89.0,61.0,1997-07-14T00:00:00,1.0,360.0,15.2,202.5,1997-07-17T00:00:00,576.0,94.7,14.5,1997-07-04T00:00:00,40.5,1997-07-17T00:00:00,117.5,383.51,40.1,16.5,16.8,16.7,16.4,16.9,-99.8,-99.8,-99.8,-99.8,-99.8,14.4
1997-08-01,761.9,3176.8,766.7,1997-08-11T00:00:00,747.7,1997-08-29T00:00:00,14.5,22.1,1997-08-17T00:00:00,8.5,1997-08-26T00:00:00,12.7,90.0,39.0,1997-08-26T00:00:00,1.4,22.5,22.1,90.0,1997-08-28T00:00:00,754.5,121.6,9.0,1997-08-29T00:00:00,45.0,1997-08-29T00:00:00,92.3,347.96,35.8,16.8,16.7,16.6,16.4,16.8,-99.8,-99.8,-99.8,-99.8,-99.8,14.8
1997-09-01,765.8,3163.8,769.2,1997-09-08T00:00:00,761.4,1997-09-05T00:00:00,13.1,20.4,1997-09-03T00:00:00,7.1,1997-09-24T00:00:00,11.4,90.0,47.0,1997-09-09T00:00:00,1.0,360.0,11.7,135.0,1997-09-08T00:00:00,200.1,70.4,10.5,1997-09-01T00:00:00,19.5,1997-09-01T00:00:00,98.6,303.69,29.7,15.4,15.7,15.7,15.7,16.0,-99.8,-99.8,-99.8,-99.8,-99.8,13.6
1997-10-01,767.4,3178.7,770.2,1997-10-29T00:00:00,761.5,1997-10-21T00:00:00,11.8,20.1,1997-10-20T00:00:00,5.4,1997-10-24T00:00:00,9.6,87.0,33.0,1997-10-26T00:00:00,1.0,270.0,11.4,45.0,1997-10-05T00:00:00,44.5,20.9,3.5,1997-10-08T00:00:00,7.5,1997-10-08T00:00:00,119.1,319.67,29.9,13.8,14.0,14.0,13.9,14.5,-99.8,-99.8,-99.8,-99.8,-99.8,12.2
1997-11-01,767.5,3174.5,770.7,1997-11-11T00:00:00,763.4,1997-11-18T00:00:00,9.8,19.2,1997-11-14T00:00:00,1.9,1997-11-07T00:00:00,5.6,77.0,18.0,1997-11-06T00:00:00,1.2,135.0,9.0,180.0,1997-11-25T00:00:00,2.5,3.1,1.0,1997-11-17T00:00:00,1.0,1997-11-17T00:00:00,196.9,421.42,43.1,12.4,12.4,12.2,12.3,12.9,-99.8,-99.8,-99.8,-99.8,-99.8,9.4
1997-12-01,767.4,3169.1,772.2,1997-12-05T00:00:00,763.5,1997-12-24T00:00:00,8.2,16.9,1997-12-19T00:00:00,1.2,1997-12-25T00:00:00,4.8,81.0,27.0,1997-12-15T00:00:00,1.2,180.0,12.3,157.5,1997-12-07T00:00:00,40.5,23.3,6.0,1997-12-23T00:00:00,12.5,1997-12-23T00:00:00,158.0,333.37,35.6,11.0,10.7,10.6,10.6,11.2,-99.8,-99.8,-99.8,-99.8,-99.8,8.7
