,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,EvapA,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2010-01-01,764.2,3133.3,765.3,2010-01-01 08:32:00,762.9,2010-01-01 13:41:00,6.6,10.9,2010-01-01 11:01:00,4.1,2010-01-01 00:49:00,4.6,88,64,2010-01-01 10:45:00,1.6,350.0,9.9,340.0,2010-01-01 08:43:00,0.0,0.0,0.0,,0.0,,0.4,3.7,7.77,1.1,8.6,8.6,8.5,8.7,,
2010-01-02,763.8,3131.0,765.3,2010-01-02 10:01:00,762.5,2010-01-02 14:27:00,7.6,10.8,2010-01-02 09:24:00,4.7,2010-01-02 01:09:00,5.5,87,68,2010-01-02 09:34:00,1.0,210.0,7.3,40.0,2010-01-02 22:32:00,4.0,3.2,1.0,2010-01-02 22:31:00,2.5,2010-01-02 21:50:00,1.6,15.0,6.44,-0.8,8.5,8.6,8.6,8.9,,
2010-01-03,762.5,3114.6,764.1,2010-01-03 09:02:00,761.3,2010-01-03 14:36:00,5.4,7.9,2010-01-03 00:01:00,2.8,2010-01-03 23:59:00,3.8,89,72,2010-01-03 20:50:00,1.6,20.0,10.1,320.0,2010-01-03 09:13:00,22.0,5.6,3.5,2010-01-03 04:49:00,6.5,2010-01-03 04:48:00,0.2,1.9,5.38,-1.0,7.6,7.8,8.2,8.8,,
2010-01-04,762.1,3105.3,763.3,2010-01-04 22:07:00,761.0,2010-01-04 04:07:00,4.0,9.7,2010-01-04 12:57:00,-0.5,2010-01-04 06:00:00,0.7,80,39,2010-01-04 22:11:00,1.2,200.0,5.0,280.0,2010-01-04 13:17:00,0.0,0.0,0.0,,0.0,,7.7,72.0,17.30,0.8,7.6,7.7,7.7,8.3,,
2010-01-05,763.3,3122.4,765.1,2010-01-05 10:11:00,762.2,2010-01-05 01:55:00,6.4,9.9,2010-01-05 14:10:00,2.3,2010-01-05 00:42:00,2.0,74,63,2010-01-05 14:05:00,1.1,240.0,6.2,280.0,2010-01-05 11:37:00,0.0,0.0,0.0,,0.0,,3.3,30.9,8.33,-1.3,7.5,7.7,7.7,8.2,,
2010-01-06,764.1,3131.2,765.2,2010-01-06 09:42:00,762.6,2010-01-06 03:53:00,5.7,7.0,2010-01-06 13:24:00,4.0,2010-01-06 21:46:00,4.1,90,70,2010-01-06 00:50:00,1.1,250.0,6.1,160.0,2010-01-06 09:40:00,2.1,4.3,0.4,2010-01-06 13:01:00,0.6,2010-01-06 12:20:00,0.0,0.0,1.42,-0.7,7.0,7.1,7.4,8.0,,
2010-01-07,764.7,3137.1,766.4,2010-01-07 09:13:00,763.7,2010-01-07 15:34:00,5.8,7.4,2010-01-07 13:45:00,4.3,2010-01-07 00:01:00,5.0,95,83,2010-01-07 22:39:00,0.8,240.0,5.8,200.0,2010-01-07 13:37:00,0.5,1.0,0.1,2010-01-07 04:22:00,0.3,2010-01-07 06:01:00,0.1,0.9,3.32,-0.4,7.5,7.6,7.6,8.0,,
2010-01-08,763.2,3120.0,764.9,2010-01-08 09:27:00,762.2,2010-01-08 03:10:00,4.7,6.6,2010-01-08 13:26:00,0.7,2010-01-08 23:53:00,2.9,90,38,2010-01-08 23:08:00,1.3,260.0,6.1,280.0,2010-01-08 14:42:00,21.5,8.4,1.0,2010-01-08 04:57:00,4.5,2010-01-08 04:42:00,0.0,0.0,3.55,-1.5,7.1,7.1,7.3,7.9,,
2010-01-09,764.3,3131.9,765.7,2010-01-09 10:04:00,762.7,2010-01-09 03:50:00,6.1,12.3,2010-01-09 13:13:00,0.2,2010-01-09 00:30:00,-6.5,43,15,2010-01-09 06:59:00,1.4,180.0,5.8,190.0,2010-01-09 06:09:00,0.0,0.0,0.0,,0.0,,9.6,89.5,18.10,1.9,6.6,7.1,6.7,7.4,,
2010-01-10,764.4,3132.9,766.1,2010-01-10 09:50:00,762.8,2010-01-10 15:42:00,5.4,10.0,2010-01-10 15:40:00,1.3,2010-01-10 03:58:00,-2.9,58,19,2010-01-10 02:01:00,0.9,170.0,5.5,240.0,2010-01-10 14:10:00,0.0,0.0,0.0,,0.0,,9.6,89.4,17.85,2.1,7.0,7.1,7.1,7.4,,
