,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumDailyMean,AirTemperature.MaximumDailyMeanf,AirTemperature.MaximumDailyRange,AirTemperature.MaximumDailyRangeDate,AirTemperature.MaximumDailyRangeDatef,AirTemperature.MaximumDailyRangef,AirTemperature.MaximumGE30Days,AirTemperature.MaximumGE30Daysf,AirTemperature.MaximumGE35Days,AirTemperature.MaximumGE35Daysf,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.MeanDailyMaximum,AirTemperature.MeanDailyMaximumf,AirTemperature.MeanDailyMinimum,AirTemperature.MeanDailyMinimumf,AirTemperature.MeanDailyRange,AirTemperature.MeanDailyRangef,AirTemperature.MeanGE25Days,AirTemperature.MeanGE25Daysf,AirTemperature.MeanLE10Days,AirTemperature.MeanLE10Daysf,AirTemperature.Meanf,AirTemperature.MinimumDailyMean,AirTemperature.MinimumDailyMeanf,AirTemperature.MinimumGE20Days,AirTemperature.MinimumGE20Daysf,AirTemperature.MinimumLE10Days,AirTemperature.MinimumLE10Daysf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,CloudAmount,CloudAmountSat,DewPointTemperature.Meanf,EvaporationClassAPan.Accumulationf,EvaporationClassAPan.DailyMaximum,EvaporationClassAPan.DailyMaximumDate,EvaporationClassAPan.DailyMaximumDatef,EvaporationClassAPan.DailyMaximumf,EvaporationClassAPan.Flag,EvaporationClassAPan.Flagf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.Flag,GlobalSolarRadiation.Flagf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.Flag,PeakGust.Flagf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.GE10Days,Precipitation.GE10Daysf,Precipitation.GE1Days,Precipitation.GE1Daysf,Precipitation.GE30Days,Precipitation.GE30Daysf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,Precipitation.SixtyMinutelyMaximumFlag,Precipitation.SixtyMinutelyMaximumFlagf,Precipitation.SixtyMinutelyMaximumTimef,Precipitation.SixtyMinutelyMaximumf,Precipitation.TenMinutelyMaximumTimef,Precipitation.TenMinutelyMaximumf,PrecipitationDuration.Totalf,PrecpHour,PrecpMax60,PrecpMax60Time,RHMin,RHMinTime,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SeaLevelPressure.Maximum,SeaLevelPressure.MaximumTime,SeaLevelPressure.MaximumTimef,SeaLevelPressure.Maximumf,SeaLevelPressure.Meanf,SeaLevelPressure.Minimum,SeaLevelPressure.MinimumTime,SeaLevelPressure.MinimumTimef,SeaLevelPressure.Minimumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt30cm.Meanf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt5cm.Meanf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.MeanDailyRate,SunshineDuration.MeanDailyRatef,SunshineDuration.SunlessDays,SunshineDuration.SunlessDaysf,SunshineDuration.Totalf,TotalCloudAmount.BrokenSkyDays,TotalCloudAmount.BrokenSkyDaysf,TotalCloudAmount.ClearSkyDays,TotalCloudAmount.ClearSkyDaysf,TotalCloudAmount.Meanf,TotalCloudAmount.OvercastSkyDays,TotalCloudAmount.OvercastSkyDaysf,TotalCloudAmount.SatRetrievedBrokenSkyDays,TotalCloudAmount.SatRetrievedBrokenSkyDaysf,TotalCloudAmount.SatRetrievedClearSkyDays,TotalCloudAmount.SatRetrievedClearSkyDaysf,TotalCloudAmount.SatRetrievedMeanf,TotalCloudAmount.SatRetrievedOvercastSkyDays,TotalCloudAmount.SatRetrievedOvercastSkyDaysf,TotalCloudAmount.SatRetrievedScatteredSkyDays,TotalCloudAmount.SatRetrievedScatteredSkyDaysf,TotalCloudAmount.ScatteredSkyDays,TotalCloudAmount.ScatteredSkyDaysf,TxSoil30cm,UVIMax,UVIMaxTime,UVIndex.Flag,UVIndex.Flagf,UVIndex.MaximumTimef,UVIndex.Maximumf,UVIndex.MeanDailyMaximum,UVIndex.MeanDailyMaximumf,WindDirection.Prevailingf,WindDirection.TenMinutelyMaximum,WindDirection.TenMinutelyMaximumf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf,WindSpeed.TenMinutelyMaximum,WindSpeed.TenMinutelyMaximumFlag,WindSpeed.TenMinutelyMaximumFlagf,WindSpeed.TenMinutelyMaximumGE10Days,WindSpeed.TenMinutelyMaximumGE10Daysf,WindSpeed.TenMinutelyMaximumTime,WindSpeed.TenMinutelyMaximumTimef,WindSpeed.TenMinutelyMaximumf
2017-01-01,1020.3,,1027.0,2017-01-22T10:00:00,1013.8,2017-01-29T15:00:00,16.0,23.1,2017-01-17T12:00:00,11.3,2017-01-27T03:00:00,12.0,5.2,45.0,22.7,45.0,2017-01-30T21:00:00,4.0,2,,,,,,,78,0.0,27.5,74.37,,18.0,-16.5,18.3,19.9,20.8,20.0,,,,,,,,,,,,19.0,,14.1,,,,,,,,,12.8,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,51,2017-01-22T12:00:00,99,2017-01-19T09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,,,,,,,,,,,1,,,10.9,,,,,2017-01-30T21:00:00,,
2017-02-01,1018.9,,1028.1,2017-02-14T09:00:00,1011.3,2017-02-22T18:00:00,15.2,24.2,2017-02-17T14:00:00,8.7,2017-02-09T21:00:00,-99.5,4.9,45.0,20.4,45.0,2017-02-06T23:59:59,41.5,7,,,,,,,-9995,-999.5,89.0,219.68,,17.3,-99.5,17.6,19.2,19.9,18.8,,,,,,,,,,,,18.8,,12.5,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,-9995,,-9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,,,,,,,1,,,9.7,,,,,2017-02-06T14:00:00,,
2017-03-01,1014.5,,1020.6,2017-03-26T09:00:00,1008.0,2017-03-05T19:00:00,16.7,26.1,2017-03-20T15:00:00,11.0,2017-03-07T19:00:00,-11.3,3.7,-999.5,18.8,45.0,2017-03-21T17:00:00,66.0,14,,,,,,,14,22.9,24.9,111.24,,18.0,15.2,18.0,19.1,19.3,20.3,,,,,,,,,,,,20.0,,14.4,,,,,,,,,13.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,14,,,,,,,,,,,,,,11,2017-03-11T01:00:00,19,2017-03-10T09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,1,,,9.6,,,,,2017-03-21T17:00:00,,
2017-04-01,1010.0,,1015.5,2017-04-12T23:00:00,1001.1,2017-04-10T17:00:00,22.0,31.0,2017-04-10T13:00:00,13.5,2017-04-29T06:00:00,-5.3,2.9,22.5,17.2,247.5,2017-04-10T17:00:00,46.0,7,,,,,,,15,72.7,55.5,173.09,,21.9,-43.3,21.6,22.1,21.6,27.3,,,,,,,,,,,,25.9,,18.9,,,,,,,,,16.9,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,12,2017-04-10T01:00:00,18,2017-04-14T13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,,,,,,,1,,,6.9,,,,,2017-04-23T09:00:00,,
2017-05-01,1008.5,,1014.7,2017-05-06T10:00:00,1001.2,2017-05-31T18:00:00,25.2,33.9,2017-05-29T14:00:00,16.9,2017-05-01T06:00:00,-99.5,2.4,45.0,14.0,22.5,2017-05-17T14:00:00,29.5,3,,,,,,,-9995,35.6,40.9,332.86,,24.6,-99.5,24.3,24.6,23.8,27.9,,,,,,,,,,,,30.0,,21.7,,,,,,,,,20.2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,-9995,,-9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,,,,,,,,0,,,7.1,,,,,2017-05-17T14:00:00,,
2017-06-01,1005.9,,1010.4,2017-06-28T22:00:00,1000.7,2017-06-03T17:00:00,27.1,34.2,2017-06-28T12:00:00,21.6,2017-06-15T08:00:00,-5.9,2.5,225.0,19.4,225.0,2017-06-26T13:00:00,530.0,12,,,,,,,11,9.3,95.0,445.43,,25.8,-17.5,25.5,26.1,25.5,29.4,,,,,,,,,,,,30.9,,24.4,,,,,,,,,22.2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,12,,,,,,,,,,,,,,10,2017-06-23T01:00:00,14,2017-06-23T14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,1,,,6.9,,,,,2017-06-14T13:00:00,,
2017-07-01,1005.7,,1011.8,2017-07-07T23:00:00,984.4,2017-07-29T20:00:00,28.9,34.5,2017-07-23T14:00:00,24.0,2017-07-07T17:00:00,-3.4,2.1,180.0,26.4,22.5,2017-07-29T20:00:00,15.5,3,,,,,,,12,0.0,137.6,459.01,,29.0,58.3,28.6,29.0,28.0,30.2,,,,,,,,,,,,32.9,,25.9,,,,,,,,,26.2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,12,2017-07-17T17:00:00,12,2017-07-17T17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,1,,,12.1,,,,,2017-07-29T20:00:00,,
2017-08-01,1004.9,,1011.8,2017-08-27T23:00:00,993.6,2017-08-22T05:00:00,29.5,36.1,2017-08-29T11:00:00,24.8,2017-08-21T04:00:00,-5.9,2.9,225.0,20.7,45.0,2017-08-22T06:00:00,4.0,3,,,,,,,11,0.4,210.5,549.9,,29.3,45.5,28.9,29.5,28.8,30.6,,,,,,,,,,,,33.7,,26.5,,,,,,,,,27.9,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,11,2017-08-13T22:00:00,11,2017-08-31T23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,,,1,,,9.3,,,,,2017-08-29T13:00:00,,
2017-09-01,1007.7,,1013.2,2017-09-29T22:00:00,1000.7,2017-09-01T17:00:00,28.0,34.6,2017-09-27T12:00:00,21.8,2017-09-18T04:00:00,-5.6,2.3,22.5,18.9,45.0,2017-09-01T17:00:00,7.0,2,,,,,,,11,0.8,174.6,415.14,,28.9,65.6,28.8,29.6,29.0,29.6,,,,,,,,,,,,31.9,,25.1,,,,,,,,,24.2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,11,2017-09-30T23:59:59,11,2017-09-01T17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,,,1,,,8.2,,,,,2017-09-29T14:00:00,,
2017-10-01,1011.0,,1022.7,2017-10-30T09:00:00,999.8,2017-10-14T12:00:00,24.5,34.4,2017-10-10T13:00:00,16.8,2017-10-23T03:00:00,-11.5,4.8,45.0,22.9,45.0,2017-10-13T22:00:00,140.0,9,,,,,,,11,9.6,151.2,356.38,,26.4,-81.3,26.5,27.9,28.0,30.0,,,,,,,,,,,,27.7,,22.3,,,,,,,,,19.4,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,9,,,,,,,,,,,,,,11,2017-10-31T23:59:59,11,2017-10-31T23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,,,,,,,,,,1,,,10.3,,,,,2017-10-14T01:00:00,,
