,StnPres,SeaPres,Tx,Td,RH,WS,WD,WSGust,WDGust,Precp,SunShine,GloblRad,EvapA,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2024-01-01 01:00:00,1016.9,1017.8,17.3,12.7,74,2.1,10.0,4.2,10.0,0.0,0.0,0.0,,18.1,20.5,21.0,22.0,22.9,23.6
2024-01-01 02:00:00,1016.5,1017.3,16.9,12.0,72,2.1,360.0,4.3,10.0,0.0,0.0,0.0,,17.8,20.3,20.9,22.0,22.9,23.6
2024-01-01 03:00:00,1016.4,1017.2,16.7,11.6,71,2.6,360.0,4.3,360.0,0.0,0.0,0.0,,17.6,20.2,20.8,21.9,22.9,23.6
2024-01-01 04:00:00,1016.5,1017.3,16.3,11.1,71,2.3,360.0,4.7,360.0,0.0,0.0,0.0,,17.4,20.0,20.7,21.8,22.9,23.6
2024-01-01 05:00:00,1016.7,1017.5,16.2,10.6,69,2.7,10.0,5.5,10.0,0.0,0.0,0.0,,17.2,19.9,20.6,21.8,22.9,23.6
2024-01-01 06:00:00,1017.4,1018.2,16.1,10.2,68,2.8,20.0,4.9,10.0,0.0,0.0,0.0,,16.9,19.7,20.4,21.7,22.9,23.6
2024-01-01 07:00:00,1018.0,1018.8,16.2,10.3,68,2.2,10.0,4.5,360.0,0.0,0.0,0.02,,17.0,19.6,20.3,21.7,22.9,23.6
2024-01-01 08:00:00,1018.5,1019.3,16.7,10.4,66,3.1,10.0,5.0,20.0,0.0,0.1,0.26,,17.8,19.7,20.3,21.6,22.9,23.6
2024-01-01 09:00:00,1019.1,1019.9,18.4,10.8,61,3.1,10.0,5.7,360.0,0.0,0.7,0.7,,20.0,20.0,20.3,21.5,22.9,23.6
2024-01-01 10:00:00,1019.2,1020.1,19.9,11.4,57,2.7,350.0,7.0,340.0,0.0,1.0,1.27,,23.0,20.5,20.4,21.5,22.9,23.6
2024-01-01 11:00:00,1018.8,1019.6,21.5,11.5,52,4.5,360.0,7.6,10.0,0.0,1.0,2.11,,25.8,21.5,20.7,21.5,22.9,23.6
2024-01-01 12:00:00,1017.6,1018.5,21.7,11.5,52,4.8,10.0,8.1,340.0,0.0,1.0,1.92,,24.4,21.6,20.9,21.5,22.9,23.6
2024-01-01 13:00:00,1016.9,1017.7,22.4,12.2,52,5.5,350.0,9.6,340.0,0.0,1.0,2.04,,24.6,21.7,21.0,21.6,22.9,23.6
2024-01-01 14:00:00,1016.3,1017.1,21.6,12.6,56,7.1,360.0,11.7,360.0,0.0,1.0,2.11,,24.5,21.9,21.2,21.7,22.9,23.6
