,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-01-01,1014.7,1019.7,1019.8,2023-01-30 09:35:00,1003.3,2023-01-14 14:58:00,17.4,30.9,2023-01-14 13:41:00,5.9,2023-01-29 05:50:00,13.6,2.0,350.0,15.2,350.0,2023-01-24 06:27:00,1.0,2,0.5,2023-01-09 09:12:00,0.5,2023-01-09 08:22:00,0.5,2023-01-09 00:00:00,79,,262.7,478.05,19.2,19.5,19.7,20.1,21.2,22.2
2023-02-01,1014.0,1018.9,1024.5,2023-02-26 09:09:00,1006.1,2023-02-13 15:17:00,18.5,32.8,2023-02-13 13:02:00,9.3,2023-02-27 06:09:00,14.2,2.0,350.0,10.0,360.0,2023-02-25 15:19:00,0.5,1,0.5,2023-02-07 00:36:00,0.5,2023-02-07 00:00:00,0.5,2023-02-07 00:00:00,78,,242.5,481.56,20.5,20.7,20.8,21.1,21.6,22.2
2023-03-01,1012.4,1017.3,1021.3,2023-03-04 09:01:00,1004.0,2023-03-22 15:41:00,20.6,32.1,2023-03-24 12:53:00,9.3,2023-03-03 05:29:00,15.5,1.7,350.0,12.0,360.0,2023-03-25 19:53:00,1.0,1,0.5,2023-03-26 02:54:00,0.5,2023-03-26 02:04:00,1.0,2023-03-26 00:00:00,75,,298.9,635.8,23.0,23.0,23.0,23.1,23.1,23.0
2023-04-01,1008.1,1012.8,1015.7,2023-04-08 09:09:00,999.8,2023-04-20 02:56:00,24.7,35.5,2023-04-18 14:30:00,16.8,2023-04-10 05:52:00,20.0,1.7,350.0,10.8,210.0,2023-04-19 13:10:00,13.0,4,3.5,2023-04-20 14:52:00,6.5,2023-04-07 04:40:00,6.5,2023-04-07 00:00:00,76,,284.8,582.38,26.4,26.3,26.3,26.4,26.0,25.3
2023-05-01,1005.9,1010.6,1012.6,2023-05-02 08:58:00,992.6,2023-05-31 16:20:00,26.7,36.2,2023-05-06 13:23:00,19.6,2023-05-10 05:42:00,22.6,1.5,340.0,10.9,230.0,2023-05-05 12:46:00,74.5,8,14.0,2023-05-30 17:04:00,20.5,2023-05-30 16:26:00,21.0,2023-05-30 00:00:00,79,,305.6,591.7,27.7,27.7,27.8,28.0,27.9,27.2
2023-06-01,1003.9,1008.6,1009.3,2023-06-27 22:27:00,992.9,2023-06-01 04:12:00,28.5,35.1,2023-06-27 13:51:00,23.1,2023-06-27 04:36:00,25.2,1.7,160.0,13.5,360.0,2023-06-01 12:50:00,77.0,9,9.5,2023-06-26 17:01:00,33.5,2023-06-26 16:34:00,36.0,2023-06-26 00:00:00,83,,305.1,588.96,29.4,29.5,29.6,29.7,29.6,29.1
2023-07-01,1003.3,1008.0,1009.4,2023-07-22 00:11:00,989.5,2023-07-28 02:57:00,28.7,36.7,2023-07-17 13:21:00,22.8,2023-07-28 15:38:00,25.1,1.9,170.0,24.2,160.0,2023-07-28 03:18:00,349.0,13,15.5,2023-07-30 16:04:00,70.5,2023-07-30 15:15:00,115.0,2023-07-30 00:00:00,82,,277.1,569.78,30.0,30.0,30.0,30.2,30.0,29.6
2023-08-01,1001.4,1006.1,1006.9,2023-08-20 21:58:00,995.0,2023-08-30 15:12:00,27.9,34.8,2023-08-21 13:54:00,23.4,2023-08-27 04:54:00,25.8,1.6,170.0,14.9,250.0,2023-08-04 13:57:00,429.5,25,18.5,2023-08-07 10:07:00,54.0,2023-08-27 12:17:00,81.0,2023-08-10 00:00:00,89,,267.3,473.51,29.0,29.1,29.1,29.2,29.2,29.0
2023-09-01,1004.3,1009.0,1009.8,2023-09-16 09:24:00,977.2,2023-09-03 18:06:00,27.5,35.1,2023-09-28 12:33:00,23.0,2023-09-10 01:54:00,25.2,1.5,340.0,20.2,140.0,2023-09-04 05:42:00,311.0,13,12.5,2023-09-28 14:47:00,32.5,2023-09-07 19:02:00,80.0,2023-09-07 00:00:00,88,,268.2,493.89,29.0,29.1,29.1,29.3,29.2,29.0
2023-10-01,1008.9,1013.6,1014.7,2023-10-24 09:18:00,991.0,2023-10-05 05:43:00,25.8,34.6,2023-10-01 12:22:00,20.4,2023-10-30 03:29:00,23.2,1.1,350.0,19.5,350.0,2023-10-05 00:15:00,17.5,4,2.5,2023-10-08 19:33:00,7.5,2023-10-08 19:16:00,7.5,2023-10-08 00:00:00,86,,250.3,426.55,27.4,27.6,27.8,28.1,28.5,28.7
