,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumDailyMean,AirTemperature.MaximumDailyMeanf,AirTemperature.MaximumDailyRange,AirTemperature.MaximumDailyRangeDate,AirTemperature.MaximumDailyRangeDatef,AirTemperature.MaximumDailyRangef,AirTemperature.MaximumGE30Days,AirTemperature.MaximumGE30Daysf,AirTemperature.MaximumGE35Days,AirTemperature.MaximumGE35Daysf,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.MeanDailyMaximum,AirTemperature.MeanDailyMaximumf,AirTemperature.MeanDailyMinimum,AirTemperature.MeanDailyMinimumf,AirTemperature.MeanDailyRange,AirTemperature.MeanDailyRangef,AirTemperature.MeanGE25Days,AirTemperature.MeanGE25Daysf,AirTemperature.MeanLE10Days,AirTemperature.MeanLE10Daysf,AirTemperature.Meanf,AirTemperature.MinimumDailyMean,AirTemperature.MinimumDailyMeanf,AirTemperature.MinimumGE20Days,AirTemperature.MinimumGE20Daysf,AirTemperature.MinimumLE10Days,AirTemperature.MinimumLE10Daysf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,CloudAmount,CloudAmountSat,DewPointTemperature.Meanf,EvaporationClassAPan.Accumulationf,EvaporationClassAPan.DailyMaximum,EvaporationClassAPan.DailyMaximumDate,EvaporationClassAPan.DailyMaximumDatef,EvaporationClassAPan.DailyMaximumf,EvaporationClassAPan.Flag,EvaporationClassAPan.Flagf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.Flag,GlobalSolarRadiation.Flagf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.Flag,PeakGust.Flagf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.GE10Days,Precipitation.GE10Daysf,Precipitation.GE1Days,Precipitation.GE1Daysf,Precipitation.GE30Days,Precipitation.GE30Daysf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,Precipitation.SixtyMinutelyMaximumFlag,Precipitation.SixtyMinutelyMaximumFlagf,Precipitation.SixtyMinutelyMaximumTimef,Precipitation.SixtyMinutelyMaximumf,Precipitation.TenMinutelyMaximumTimef,Precipitation.TenMinutelyMaximumf,PrecipitationDuration.Totalf,PrecpHour,PrecpMax60,PrecpMax60Time,RHMin,RHMinTime,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SeaLevelPressure.Maximum,SeaLevelPressure.MaximumTime,SeaLevelPressure.MaximumTimef,SeaLevelPressure.Maximumf,SeaLevelPressure.Meanf,SeaLevelPressure.Minimum,SeaLevelPressure.MinimumTime,SeaLevelPressure.MinimumTimef,SeaLevelPressure.Minimumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt30cm.Meanf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt5cm.Meanf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.MeanDailyRate,SunshineDuration.MeanDailyRatef,SunshineDuration.SunlessDays,SunshineDuration.SunlessDaysf,SunshineDuration.Totalf,TotalCloudAmount.BrokenSkyDays,TotalCloudAmount.BrokenSkyDaysf,TotalCloudAmount.ClearSkyDays,TotalCloudAmount.ClearSkyDaysf,TotalCloudAmount.Meanf,TotalCloudAmount.OvercastSkyDays,TotalCloudAmount.OvercastSkyDaysf,TotalCloudAmount.SatRetrievedBrokenSkyDays,TotalCloudAmount.SatRetrievedBrokenSkyDaysf,TotalCloudAmount.SatRetrievedClearSkyDays,TotalCloudAmount.SatRetrievedClearSkyDaysf,TotalCloudAmount.SatRetrievedMeanf,TotalCloudAmount.SatRetrievedOvercastSkyDays,TotalCloudAmount.SatRetrievedOvercastSkyDaysf,TotalCloudAmount.SatRetrievedScatteredSkyDays,TotalCloudAmount.SatRetrievedScatteredSkyDaysf,TotalCloudAmount.ScatteredSkyDays,TotalCloudAmount.ScatteredSkyDaysf,TxSoil30cm,UVIMax,UVIMaxTime,UVIndex.Flag,UVIndex.Flagf,UVIndex.MaximumTimef,UVIndex.Maximumf,UVIndex.MeanDailyMaximum,UVIndex.MeanDailyMaximumf,WindDirection.Prevailingf,WindDirection.TenMinutelyMaximum,WindDirection.TenMinutelyMaximumf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf,WindSpeed.TenMinutelyMaximum,WindSpeed.TenMinutelyMaximumFlag,WindSpeed.TenMinutelyMaximumFlagf,WindSpeed.TenMinutelyMaximumGE10Days,WindSpeed.TenMinutelyMaximumGE10Daysf,WindSpeed.TenMinutelyMaximumTime,WindSpeed.TenMinutelyMaximumTimef,WindSpeed.TenMinutelyMaximumf
1995-01-01,,,,,,,18.7,28.6,1995-01-22T14:00:00,8.7,1995-01-06T07:00:00,12.7,1.7,22.5,12.1,202.5,1995-01-22T16:00:00,5.5,1,,,,,,,70,74.2,176.1,287.38,,21.1,21.4,21.7,22.5,23.7,22.4,,,,,,,,,,,,24.5,,13.9,,,,,,,,,15.3,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,34,1995-01-07T14:00:00,93,1995-01-28T07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,0,,,6.6,,,,,1995-01-22T15:00:00,,
1995-02-01,,,,,,,18.7,28.4,1995-02-12T14:00:00,8.9,1995-02-06T07:00:00,13.2,1.7,22.5,13.5,202.5,1995-02-18T14:00:00,13.5,2,,,,,,,72,49.9,110.3,251.38,,20.8,21.0,21.2,21.8,22.7,22.5,,,,,,,,,,,,23.4,,15.1,,,,,,,,,14.6,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,36,1995-02-06T12:00:00,93,1995-02-15T06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,0,,,7.6,,,,,1995-02-18T13:00:00,,
1995-03-01,,,,,,,21.4,30.9,1995-03-16T15:00:00,11.1,1995-03-05T07:00:00,16.2,1.9,22.5,12.6,180.0,1995-03-09T14:00:00,11.0,3,,,,,,,74,63.0,146.5,318.97,,22.5,22.5,22.6,22.7,23.0,25.0,,,,,,,,,,,,26.0,,17.5,,,,,,,,,14.4,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,36,1995-03-07T13:00:00,95,1995-03-02T18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,,0,,,6.5,,,,,1995-03-09T14:00:00,,
1995-04-01,,,,,,,25.4,32.9,1995-04-23T11:00:00,16.0,1995-04-03T07:00:00,20.0,2.0,22.5,12.7,202.5,1995-04-21T14:00:00,18.0,3,,,,,,,73,44.2,203.9,415.35,,26.5,26.2,26.2,25.6,25.1,27.4,,,,,,,,,,,,30.0,,21.4,,,,,,,,,18.7,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,42,1995-04-23T15:00:00,93,1995-04-03T07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,26.1,,,,,,,,,,,,0,,,7.4,,,,,1995-04-21T14:00:00,,
1995-05-01,,,,,,,26.5,35.4,1995-05-30T14:00:00,20.7,1995-05-09T07:00:00,21.7,1.9,22.5,12.1,202.5,1995-05-30T18:00:00,152.5,11,,,,,,,76,29.4,155.8,386.03,,27.7,27.3,27.4,26.9,26.6,29.7,,,,,,,,,,,,30.5,,23.4,,,,,,,,,21.6,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,11,,,,,,,,,,,,,,41,1995-05-10T13:00:00,93,1995-05-18T06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,,0,,,6.7,,,,,1995-05-30T17:00:00,,
1995-06-01,,,,,,,28.3,35.0,1995-06-04T12:00:00,23.7,1995-06-03T05:00:00,23.0,2.2,22.5,15.5,180.0,1995-06-08T15:00:00,373.5,9,,,,,,,74,20.0,164.4,443.24,,29.5,29.0,29.1,28.3,27.9,30.2,,,,,,,,,,,,32.5,,24.7,,,,,,,,,25.1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,9,,,,,,,,,,,,,,45,1995-06-03T11:00:00,94,1995-06-11T10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,0,,,7.8,,,,,1995-06-08T09:00:00,,
1995-07-01,,,,,,,27.9,35.3,1995-07-29T15:00:00,23.7,1995-07-11T05:00:00,23.8,2.2,22.5,21.4,180.0,1995-07-31T11:00:00,269.0,13,,,,,,,79,101.2,162.8,416.14,,29.8,29.5,29.7,29.1,28.7,29.8,,,,,,,,,,,,32.3,,25.0,,,,,,,,,25.1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,13,,,,,,,,,,,,,,48,1995-07-29T16:00:00,97,1995-07-11T03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,,,,,,,,,,0,,,7.9,,,,,1995-07-31T07:00:00,,
1995-08-01,,,,,,,27.6,35.7,1995-08-10T15:00:00,23.1,1995-08-16T05:00:00,23.3,1.9,22.5,14.2,202.5,1995-08-25T11:00:00,193.0,13,,,,,,,78,94.0,123.0,363.35,,29.3,28.9,29.1,28.6,28.4,29.6,,,,,,,,,,,,32.1,,24.6,,,,,,,,,24.4,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,13,,,,,,,,,,,,,,46,1995-08-10T15:00:00,94,1995-08-26T05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,0,,,7.8,,,,,1995-08-25T11:00:00,,
1995-09-01,,,,,,,27.4,34.3,1995-09-04T16:00:00,22.0,1995-09-21T01:00:00,23.5,1.8,22.5,14.3,22.5,1995-09-22T08:00:00,108.0,11,,,,,,,80,91.2,162.1,346.33,,29.1,28.9,29.0,28.7,28.6,29.8,,,,,,,,,,,,31.8,,24.4,,,,,,,,,23.7,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,11,,,,,,,,,,,,,,38,1995-09-14T13:00:00,98,1995-09-21T04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,0,,,6.0,,,,,1995-09-11T14:00:00,,
1995-10-01,,,,,,,26.8,32.6,1995-10-05T12:00:00,21.9,1995-10-25T07:00:00,22.2,1.6,22.5,14.8,180.0,1995-10-01T12:00:00,3.0,2,,,,,,,77,94.6,125.7,297.76,,28.5,28.3,28.5,28.3,28.3,28.2,,,,,,,,,,,,31.3,,23.5,,,,,,,,,25.4,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,51,1995-10-22T12:00:00,97,1995-10-02T03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,,,,,,,,0,,,5.4,,,,,1995-10-25T14:00:00,,
