,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumDailyMean,AirTemperature.MaximumDailyMeanf,AirTemperature.MaximumDailyRange,AirTemperature.MaximumDailyRangeDate,AirTemperature.MaximumDailyRangeDatef,AirTemperature.MaximumDailyRangef,AirTemperature.MaximumGE30Days,AirTemperature.MaximumGE30Daysf,AirTemperature.MaximumGE35Days,AirTemperature.MaximumGE35Daysf,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.MeanDailyMaximum,AirTemperature.MeanDailyMaximumf,AirTemperature.MeanDailyMinimum,AirTemperature.MeanDailyMinimumf,AirTemperature.MeanDailyRange,AirTemperature.MeanDailyRangef,AirTemperature.MeanGE25Days,AirTemperature.MeanGE25Daysf,AirTemperature.MeanLE10Days,AirTemperature.MeanLE10Daysf,AirTemperature.Meanf,AirTemperature.MinimumDailyMean,AirTemperature.MinimumDailyMeanf,AirTemperature.MinimumGE20Days,AirTemperature.MinimumGE20Daysf,AirTemperature.MinimumLE10Days,AirTemperature.MinimumLE10Daysf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,CloudAmount,CloudAmountSat,DewPointTemperature.Meanf,EvaporationClassAPan.Accumulationf,EvaporationClassAPan.DailyMaximum,EvaporationClassAPan.DailyMaximumDate,EvaporationClassAPan.DailyMaximumDatef,EvaporationClassAPan.DailyMaximumf,EvaporationClassAPan.Flag,EvaporationClassAPan.Flagf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.Flag,GlobalSolarRadiation.Flagf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.Flag,PeakGust.Flagf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.GE10Days,Precipitation.GE10Daysf,Precipitation.GE1Days,Precipitation.GE1Daysf,Precipitation.GE30Days,Precipitation.GE30Daysf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,Precipitation.SixtyMinutelyMaximumFlag,Precipitation.SixtyMinutelyMaximumFlagf,Precipitation.SixtyMinutelyMaximumTimef,Precipitation.SixtyMinutelyMaximumf,Precipitation.TenMinutelyMaximumTimef,Precipitation.TenMinutelyMaximumf,PrecipitationDuration.Totalf,PrecpHour,PrecpMax60,PrecpMax60Time,RHMin,RHMinTime,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SeaLevelPressure.Maximum,SeaLevelPressure.MaximumTime,SeaLevelPressure.MaximumTimef,SeaLevelPressure.Maximumf,SeaLevelPressure.Meanf,SeaLevelPressure.Minimum,SeaLevelPressure.MinimumTime,SeaLevelPressure.MinimumTimef,SeaLevelPressure.Minimumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt30cm.Meanf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt5cm.Meanf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.MeanDailyRate,SunshineDuration.MeanDailyRatef,SunshineDuration.SunlessDays,SunshineDuration.SunlessDaysf,SunshineDuration.Totalf,TotalCloudAmount.BrokenSkyDays,TotalCloudAmount.BrokenSkyDaysf,TotalCloudAmount.ClearSkyDays,TotalCloudAmount.ClearSkyDaysf,TotalCloudAmount.Meanf,TotalCloudAmount.OvercastSkyDays,TotalCloudAmount.OvercastSkyDaysf,TotalCloudAmount.SatRetrievedBrokenSkyDays,TotalCloudAmount.SatRetrievedBrokenSkyDaysf,TotalCloudAmount.SatRetrievedClearSkyDays,TotalCloudAmount.SatRetrievedClearSkyDaysf,TotalCloudAmount.SatRetrievedMeanf,TotalCloudAmount.SatRetrievedOvercastSkyDays,TotalCloudAmount.SatRetrievedOvercastSkyDaysf,TotalCloudAmount.SatRetrievedScatteredSkyDays,TotalCloudAmount.SatRetrievedScatteredSkyDaysf,TotalCloudAmount.ScatteredSkyDays,TotalCloudAmount.ScatteredSkyDaysf,TxSoil30cm,UVIMax,UVIMaxTime,UVIndex.Flag,UVIndex.Flagf,UVIndex.MaximumTimef,UVIndex.Maximumf,UVIndex.MeanDailyMaximum,UVIndex.MeanDailyMaximumf,WindDirection.Prevailingf,WindDirection.TenMinutelyMaximum,WindDirection.TenMinutelyMaximumf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf,WindSpeed.TenMinutelyMaximum,WindSpeed.TenMinutelyMaximumFlag,WindSpeed.TenMinutelyMaximumFlagf,WindSpeed.TenMinutelyMaximumGE10Days,WindSpeed.TenMinutelyMaximumGE10Daysf,WindSpeed.TenMinutelyMaximumTime,WindSpeed.TenMinutelyMaximumTimef,WindSpeed.TenMinutelyMaximumf
2025-01-01,1017.2,1023.0,1026.1,2025-01-10T20:47:00,1009.1,2025-01-24T15:07:00,16.5,24.9,2025-01-22T13:03:00,9.6,2025-01-13T07:07:00,12.3,1.0,20,12.4,50,2025-01-15T12:56:00,89.5,14,6.5,2025-01-24T21:46:00,,,35.5,2025-01-24T00:00:00,77,,134.7,182.95,15.6,15.6,16.7,17.2,18.2,19.7,19.4,,12.7,2025-01-14T00:00:00,,,0,,0,,,,19.6,,14.0,,6.0,,0,,0,,,13.8,,0,,1,,,,,9.8,,,,,,,,,,0,,,,,,,1,,,,,35.5,2025-01-24T00:00:00,,0,,,0,,2,,11,,1,,,,,,,,14,0,,,1,,,,,,,-999.9,17.0,2025-01-24T21:02:00,42,2025-01-28T09:45:00,98,2025-01-25T02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,1,,,,,,,,,,3,,0,,,28,,0,,,,-99.5,,,,,,,,,,60,,0,,,7.2,1,,0,,2025-01-15T13:01:00,,
2025-02-01,1017.4,1023.1,1028.0,2025-02-24T10:13:00,1007.6,2025-02-01T15:38:00,17.2,27.7,2025-02-28T11:19:00,10.7,2025-02-08T18:16:00,13.8,1.3,50,15.3,70,2025-02-07T17:58:00,86.5,12,3.0,2025-02-12T23:10:00,,,28.0,2025-02-13T00:00:00,81,,138.1,188.09,16.2,15.9,16.8,17.1,17.7,18.7,21.1,,12.0,2025-02-28T00:00:00,,,0,,0,,,,20.5,,14.7,,5.8,,0,,0,,,12.4,,0,,0,,,,,9.8,,,,,,,,,,0,,,,,,,0,,,,,28.0,2025-02-13T00:00:00,,0,,,0,,2,,11,,0,,,,,,,,12,0,,,0,,,,,,,-999.9,8.0,2025-02-12T22:41:00,49,2025-02-28T11:03:00,98,2025-02-16T06:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,1,,,,,,,,,,2,,0,,,26,,0,,,,-99.5,,,,,,,,,,60,,0,,,7.4,0,,0,,2025-02-07T15:47:00,,
2025-03-01,1013.2,1018.8,1023.6,2025-03-19T09:09:00,999.2,2025-03-27T15:38:00,19.5,30.8,2025-03-27T13:59:00,9.6,2025-03-22T06:02:00,16.1,1.1,60,12.7,170,2025-03-10T12:44:00,111.5,15,5.5,2025-03-15T14:18:00,,,32.5,2025-03-04T00:00:00,81,,187.5,329.41,18.6,18.3,19.1,19.2,19.5,19.7,24.9,,14.4,2025-03-22T00:00:00,,,2,,0,,,,23.5,,16.1,,7.4,,0,,0,,,13.5,,1,,1,,,,,8.7,,,,,,,,,,0,,,,,,,0,,,,,32.5,2025-03-04T00:00:00,,0,,,0,,4,,12,,1,,,,,,,,15,0,,,0,,,,,,,-999.9,10.0,2025-03-15T13:55:00,34,2025-03-21T14:42:00,98,2025-03-04T20:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,0,,,,,,,,,,3,,0,,,22,,6,,,,-99.5,,,,,,,,,,50,,0,,,6.0,0,,0,,2025-03-28T10:05:00,,
2025-04-01,1009.1,1014.6,1017.5,2025-04-03T23:06:00,1000.3,2025-04-12T15:59:00,22.3,32.0,2025-04-22T10:00:00,14.0,2025-04-15T05:07:00,18.7,1.0,60,14.1,60,2025-04-13T01:44:00,69.0,11,4.0,2025-04-23T21:35:00,,,29.5,2025-04-13T00:00:00,81,,214.2,350.58,21.4,20.9,21.4,21.4,21.3,21.0,26.4,,13.5,2025-04-15T00:00:00,,,4,,0,,,,26.7,,18.9,,7.7,,5,,0,,,17.2,,15,,0,,,,,9.3,,,,,,,,,,0,,,,,,,0,,,,,29.5,2025-04-13T00:00:00,,0,,,0,,2,,8,,0,,,,,,,,11,0,,,0,,,,,,,-999.9,12.5,2025-04-23T20:55:00,43,2025-04-29T09:25:00,98,2025-04-23T22:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,0,,,,,,,,,,3,,0,,,25,,2,,,,-99.5,,,,,,,,,,60,,0,,,6.9,0,,0,,2025-04-13T01:53:00,,
2025-05-01,1007.2,1012.6,1013.2,2025-05-26T22:05:00,1000.7,2025-05-23T16:15:00,25.0,33.4,2025-05-23T11:59:00,18.8,2025-05-03T05:22:00,21.8,1.1,50,13.6,80,2025-05-24T10:01:00,188.0,15,9.0,2025-05-06T23:21:00,,,41.0,2025-05-06T00:00:00,83,,229.4,425.88,24.3,23.8,24.4,24.4,24.2,23.5,28.6,,11.4,2025-05-09T00:00:00,,,14,,0,,,,29.4,,21.5,,7.9,,15,,0,,,21.2,,22,,0,,,,,9.3,,,,,,,,,,0,,,,,,,0,,,,,41.0,2025-05-06T00:00:00,,1,,,0,,6,,11,,3,,,,,,,,15,0,,,0,,,,,,,-999.9,28.0,2025-05-06T22:57:00,44,2025-05-12T13:16:00,98,2025-05-14T20:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,0,,,,,,,,,,10,,0,,,21,,0,,,,-99.5,,,,,,,,,,50,,0,,,7.8,0,,0,,2025-05-24T10:10:00,,
2025-06-01,1004.3,1009.7,1009.9,2025-06-18T22:20:00,995.2,2025-06-02T15:58:00,27.9,35.3,2025-06-11T11:34:00,22.8,2025-06-19T04:59:00,24.3,1.1,130,11.1,40,2025-06-16T15:09:00,262.5,12,13.5,2025-06-12T21:10:00,,,142.0,2025-06-12T00:00:00,81,,269.5,569.36,27.0,26.4,26.9,26.6,26.2,25.3,29.3,,10.3,2025-06-19T00:00:00,,,27,,1,,,,32.4,,24.2,,8.2,,28,,0,,,24.2,,30,,0,,,,,7.8,,,,,,,,,,0,,,,,,,0,,,,,142.0,2025-06-12T00:00:00,,1,,,0,,4,,8,,3,,,,,,,,12,0,,,0,,,,,,,-999.9,50.0,2025-06-12T20:43:00,53,2025-06-30T08:56:00,98,2025-06-13T02:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,0,,,,,,,,,,9,,0,,,13,,8,,,,-99.5,,,,,,,,,,40,,0,,,7.0,0,,0,,2025-06-16T12:10:00,,
2025-07-01,998.8,1004.2,1008.0,2025-07-02T08:56:00,989.7,2025-07-30T03:58:00,27.6,34.2,2025-07-05T13:37:00,22.8,2025-07-09T22:54:00,24.3,1.0,60,17.2,30,2025-07-24T15:13:00,495.5,14,21.5,2025-07-28T15:57:00,,,184.0,2025-07-19T00:00:00,83,,234.8,413.98,27.2,26.8,27.5,27.5,27.5,26.9,29.4,,9.7,2025-07-25T00:00:00,,,22,,0,,,,31.7,,24.3,,7.3,,28,,0,,,24.7,,29,,0,,,,,8.5,,,,,,,1.0,,,1,,,,,,,1,,,,,184.0,2025-07-19T00:00:00,,1,,,1,,7,,13,,5,,,,,,,,14,1,,,1,,,,,,,-999.9,79.5,2025-07-28T15:43:00,49,2025-07-05T15:00:00,99,2025-07-30T01:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-99.5,,0,,,,,,,,,,8,,0,,,18,,5,,,,-99.5,,,,,,,,,,40,,1,,,9.1,1,,0,,2025-07-24T15:20:00,,
2025-08-01,1005.4,1010.8,1009.9,2025-08-18T20:42:00,994.7,2025-08-01T03:58:00,28.0,34.5,2025-08-23T10:41:00,23.1,2025-08-27T06:03:00,23.9,0.9,140,17.6,30,2025-08-13T06:04:00,79.0,10,11.0,2025-08-13T06:18:00,,,38.5,2025-08-13T00:00:00,79,,254.9,554.72,28.2,27.7,28.3,28.3,28.2,27.6,29.2,,10.3,2025-08-23T00:00:00,,,29,,0,,,,32.4,,24.3,,8.1,,31,,0,,,26.7,,31,,0,,,,,6.0,,,,,,,,,,0,,,,,,,0,,,,,38.5,2025-08-13T00:00:00,,0,,,0,,2,,9,,1,,,,,,,,10,0,,,0,,,,,,,-999.9,17.0,2025-08-13T05:42:00,50,2025-08-18T14:03:00,99,2025-08-30T00:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,2,,,,,,,,,,4,,0,,,7,,20,,,,-99.5,,,,,,,,,,40,,1,,,7.7,0,,0,,2025-08-13T06:10:00,,
2025-09-01,1007.1,1012.5,1014.1,2025-09-26T09:22:00,1001.2,2025-09-23T02:59:00,27.8,33.9,2025-09-06T09:49:00,22.2,2025-09-27T05:31:00,24.1,1.0,130,15.9,290,2025-09-10T01:19:00,533.0,10,18.0,2025-09-23T16:33:00,,,293.5,2025-09-23T00:00:00,81,,259.7,566.15,27.8,27.4,28.0,28.0,28.0,27.8,29.2,,10.9,2025-09-27T00:00:00,,,29,,0,,,,32.5,,23.9,,8.7,,30,,0,,,25.4,,30,,0,,,,,6.3,,,,,,,,,,0,,,,,,,0,,,,720.0,293.5,2025-09-23T00:00:00,,0,,,0,,4,,10,,3,,,,,,,,10,0,,,0,,,,,,,-999.9,56.0,2025-09-23T15:48:00,48,2025-09-04T10:07:00,99,2025-09-25T05:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,0,,,,,,,,,,4,,1,,,12,,13,,,,-99.5,,,,,,,,,,60,,0,,,6.0,0,,0,,2025-09-21T13:31:00,,
2025-10-01,1010.1,1015.5,1016.4,2025-10-29T09:47:00,1003.5,2025-10-21T15:29:00,26.2,34.4,2025-10-03T12:17:00,20.7,2025-10-30T04:27:00,22.9,1.1,50,15.3,50,2025-10-22T10:41:00,58.0,10,3.5,2025-10-19T09:39:00,,,15.0,2025-10-19T00:00:00,83,,236.7,441.09,25.5,25.2,26.0,26.3,26.9,27.2,28.3,,12.7,2025-10-03T00:00:00,,,18,,0,,,,30.5,,22.8,,7.7,,24,,0,,,22.5,,31,,0,,,,,5.9,,,,,,,,,,0,,,,,,,0,,,,,15.0,2025-10-19T00:00:00,,0,,,0,,3,,9,,0,,,,,,,,10,0,,,0,,,,,,,-999.9,10.5,2025-10-19T09:31:00,50,2025-10-16T12:10:00,99,2025-10-21T01:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-99.5,,1,,,,,,,,,,3,,1,,,12,,15,,,,-99.5,,,,,,,,,,50,,0,,,8.5,0,,0,,2025-10-22T10:08:00,,
