,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,GloblRad,EvapA,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2004-01-01,,,,,,,19.2,26.8,2004-01-01 00:00:00,14.6,2004-01-01 00:00:00,,-9995,,,,,,,,0.0,,,,,2.3,,,,,,,,
2004-01-02,,,,,,,20.9,29.5,2004-01-02 00:00:00,15.8,2004-01-02 00:00:00,,-9995,,,,,,,,0.0,,,,,7.6,,,,,,,,
2004-01-03,,,,,,,20.5,28.7,2004-01-03 00:00:00,15.2,2004-01-03 00:00:00,,-9995,,,,,,,,0.0,,,,,0.1,,,,,,,,
2004-01-04,,,,,,,20.8,28.4,2004-01-04 00:00:00,15.8,2004-01-04 00:00:00,,-9995,,,,,,,,0.0,,,,,0.0,,,,,,,,
2004-01-05,,,,,,,20.8,29.5,2004-01-05 00:00:00,15.4,2004-01-05 00:00:00,,-9995,,,,,,,,0.0,,,,,1.6,,,,,,,,
2004-01-06,,,,,,,20.5,29.0,2004-01-06 00:00:00,15.7,2004-01-06 00:00:00,,-9995,,,,,,,,0.0,,,,,5.5,,,,,,,,
2004-01-07,,,,,,,20.2,29.1,2004-01-07 00:00:00,14.6,2004-01-07 00:00:00,,-9995,,,,,,,,0.0,,,,,7.2,,,,,,,,
2004-01-08,,,,,,,20.0,28.3,2004-01-08 00:00:00,14.0,2004-01-08 00:00:00,,-9995,,,,,,,,0.0,,,,,7.5,,,,,,,,
2004-01-09,,,,,,,21.0,29.1,2004-01-09 00:00:00,16.1,2004-01-09 00:00:00,,-9995,,,,,,,,0.0,,,,,6.3,,,,,,,,
2004-01-10,,,,,,,20.3,28.9,2004-01-10 00:00:00,14.6,2004-01-10 00:00:00,,-9995,,,,,,,,0.0,,,,,6.5,,,,,,,,
