,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
1994-01-01,,,,,,,14.5,25.4,1994-01-05 14:00:00,5.9,1994-01-21 20:00:00,11.2,3.8,90.0,30.5,67.5,1994-01-21 07:00:00,79.5,9,,,,,,,82,30.6,64.9,189.69,,15.6,15.6,16.0,17.2,18.8
1994-02-01,,,,,,,14.6,25.5,1994-02-11 14:00:00,9.9,1994-02-12 19:00:00,12.3,3.5,90.0,18.0,270.0,1994-02-11 15:00:00,252.0,17,,,,,,,87,21.3,47.0,150.22,,15.8,15.9,16.1,16.7,17.8
1994-03-01,,,,,,,15.0,24.9,1994-03-21 14:00:00,7.9,1994-03-03 23:00:00,11.9,3.5,67.5,19.8,90.0,1994-03-20 13:00:00,192.5,15,,,,,,,83,33.7,75.1,199.64,,15.7,15.7,15.8,16.2,17.0
1994-04-01,,,,,,,22.7,33.2,1994-04-25 14:00:00,14.4,1994-04-14 09:00:00,18.9,2.7,270.0,17.0,270.0,1994-04-25 13:00:00,58.0,9,,,,,,,80,72.4,104.6,325.03,,22.6,22.5,22.0,20.8,19.4
1994-05-01,,,,,,,24.9,32.9,1994-05-14 15:00:00,16.2,1994-05-04 23:59:59,19.9,3.0,90.0,20.4,292.5,1994-05-14 19:00:00,253.5,8,,,,,,,75,88.2,106.4,374.99,,24.7,24.6,24.4,23.6,22.4
1994-06-01,,,,,,,27.6,34.6,1994-06-24 13:00:00,19.6,1994-06-01 17:00:00,22.1,3.3,270.0,21.8,292.5,1994-06-12 15:00:00,117.5,6,,,,,,,73,133.2,172.3,489.22,,28.0,27.9,27.5,26.2,24.4
1994-07-01,,,,,,,27.7,34.7,1994-07-08 12:00:00,23.3,1994-07-06 04:00:00,23.4,2.6,90.0,36.4,112.5,1994-07-10 23:00:00,63.0,8,,,,,,,78,124.9,169.0,486.51,,29.5,29.4,29.2,28.1,26.3
1994-08-01,,,,,,,27.1,35.9,1994-08-02 14:00:00,22.6,1994-08-21 17:00:00,23.1,4.2,270.0,32.0,270.0,1994-08-08 12:00:00,443.5,13,,,,,,,80,122.6,171.0,464.33,,28.2,28.2,28.0,27.6,26.9
1994-09-01,,,,,,,24.2,33.4,1994-09-09 14:00:00,16.3,1994-09-30 04:00:00,18.9,3.3,90.0,18.9,67.5,1994-09-01 13:00:00,184.5,6,,,,,,,74,99.7,177.9,414.83,,26.2,26.2,26.4,26.7,26.7
1994-10-01,,,,,,,21.5,31.0,1994-10-17 13:00:00,14.5,1994-10-30 23:59:59,17.2,4.1,90.0,27.5,315.0,1994-10-10 08:00:00,198.5,5,,,,,,,78,74.0,146.1,342.71,,23.2,23.2,23.6,24.3,25.0
1994-11-01,,,,,,,20.5,29.4,1994-11-13 14:00:00,14.9,1994-11-07 03:00:00,16.2,4.2,90.0,17.7,90.0,1994-11-15 11:00:00,0.0,0,,,,,,,78,77.7,182.7,355.19,,21.0,21.0,21.3,21.8,22.7
1994-12-01,,,,,,,18.3,28.8,1994-12-11 13:00:00,12.9,1994-12-23 06:00:00,15.8,4.1,90.0,20.4,90.0,1994-12-16 16:00:00,61.5,9,,,,,,,86,43.8,53.0,179.25,,19.5,19.5,19.9,20.8,21.8
1995-01-01,,,,,,,13.7,26.0,1995-01-22 13:00:00,4.8,1995-01-06 03:00:00,10.2,3.8,90.0,22.8,90.0,1995-01-29 16:00:00,93.5,14,,,,,,,81,49.3,108.2,225.15,,15.3,15.3,15.9,17.3,19.3
