,StnPres,SeaPres,Tx,Td,RH,WS,WD,WSGust,WDGust,Precp,SunShine,GloblRad,EvapA,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,H_VMC010,H_VMC020,H_VMC030,H_VMC040,H_VMC050,H_VMC060,H_VMC070,H_VMC080,H_VMC090,H_VMC100,H_VMC110,H_VMC120
2026-01-01 01:00:00,917.9,1018.0,14.0,12.9,92.0,0.0,,1.2,250.0,0.0,0.0,0.0,,15.1,16.5,17.3,17.5,19.1,20.5,17.2,11.2,12.3,8.1,7.5,12.1,35.0,36.9,36.3,36.3,40.7,49.0
2026-01-01 02:00:00,917.7,1017.6,14.3,13.4,94.0,0.3,240.0,1.3,240.0,0.0,0.0,0.0,,15.2,16.5,17.3,17.4,19.1,20.5,17.2,11.3,12.3,8.1,7.5,12.1,35.0,37.0,36.3,36.3,40.7,49.0
2026-01-01 03:00:00,917.2,1017.1,14.0,13.0,93.0,0.0,,1.1,240.0,0.0,0.0,0.0,,15.3,16.5,17.2,17.3,19.1,20.5,17.2,11.3,12.3,8.1,7.5,12.1,34.9,37.0,36.3,36.3,40.7,49.0
2026-01-01 04:00:00,917.1,1017.0,14.0,13.0,93.0,0.0,,1.2,240.0,0.0,0.0,0.0,,15.3,16.5,17.2,17.3,19.1,20.5,17.2,11.3,12.3,8.1,7.5,12.1,35.0,37.0,36.3,36.3,40.7,49.0
2026-01-01 05:00:00,917.4,1017.3,13.9,12.7,92.0,0.6,250.0,1.1,250.0,0.0,0.0,0.0,,15.3,16.5,17.1,17.3,19.1,20.5,17.2,11.3,12.2,8.1,7.5,12.1,35.0,37.0,36.3,36.3,40.7,49.0
2026-01-01 06:00:00,917.9,1018.0,13.8,12.6,92.0,0.0,,0.6,50.0,0.0,0.0,0.0,,15.3,16.4,17.1,17.2,19.1,20.5,17.2,11.3,12.3,8.1,7.5,12.1,35.0,37.0,36.3,36.3,40.7,48.9
2026-01-01 07:00:00,918.9,1019.1,13.7,12.2,90.0,0.0,,1.2,250.0,0.0,0.0,0.0,,15.3,16.4,17.1,17.2,19.1,20.5,17.2,11.3,12.3,8.1,7.5,12.1,35.0,37.0,36.3,36.3,40.7,49.0
2026-01-01 08:00:00,919.5,1019.6,14.6,12.6,88.0,0.0,,0.0,,0.0,0.0,0.12,,15.4,16.4,17.1,17.2,19.1,20.5,17.2,11.3,12.3,8.1,7.5,12.1,35.0,37.0,36.4,36.3,40.7,49.0
2026-01-01 09:00:00,919.8,1019.4,15.5,13.0,84.0,0.0,,0.7,130.0,0.0,0.0,0.26,,15.8,16.5,17.1,17.1,19.1,20.5,17.2,11.2,12.3,8.1,7.5,12.1,35.0,37.0,36.3,36.3,40.7,49.0
2026-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01 11:00:00,919.5,1017.8,19.3,11.9,61.0,0.4,50.0,1.8,50.0,0.0,1.0,1.52,,17.9,17.2,17.3,17.1,19.1,20.5,17.1,11.2,12.3,8.1,7.5,12.1,34.9,37.0,36.3,36.3,40.7,49.0
2026-01-01 12:00:00,918.9,1017.3,18.8,13.6,71.0,1.4,210.0,4.0,250.0,0.0,1.0,2.06,,19.6,17.7,17.5,17.1,19.1,20.5,17.1,11.2,12.3,8.0,7.5,12.1,34.9,36.9,36.3,36.3,40.7,48.9
2026-01-01 13:00:00,918.1,1016.0,20.3,13.5,64.0,1.3,230.0,4.6,220.0,0.0,1.0,2.0,,20.4,18.3,17.8,17.2,19.1,20.5,17.1,11.2,12.3,8.0,7.5,12.1,34.9,36.9,36.3,36.3,40.7,48.9
2026-01-01 14:00:00,917.7,1015.5,20.3,13.5,64.0,1.0,180.0,4.5,150.0,0.0,1.0,2.52,,20.4,18.8,18.1,17.3,19.1,20.5,16.9,11.2,12.2,8.0,7.5,12.1,34.9,36.9,36.3,36.3,40.7,48.9
2026-01-01 15:00:00,917.5,1015.3,20.2,13.0,63.0,0.6,160.0,3.8,250.0,0.0,1.0,1.89,,19.4,18.9,18.4,17.4,19.1,20.5,16.9,11.2,12.2,8.0,7.5,12.1,34.9,36.9,36.2,36.3,40.7,48.9
