,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,Td,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2014-01-01,,,,,,,14.5,25.0,2014-01-03 12:00:00,4.9,2014-01-22 06:00:00,9.9,0.9,112.5,4.3,360.0,2014-01-25 14:00:00,0.0,0,,,,,,,76.0,,,372.13,,,,,,
2014-02-01,,,,,,,15.1,27.6,2014-02-03 14:00:00,4.5,2014-02-21 03:00:00,12.9,0.8,292.5,4.0,315.0,2014-02-21 13:00:00,47.5,14,,,,,,,88.0,,,278.72,,,,,,
2014-03-01,,,,,,,17.8,30.9,2014-03-29 15:00:00,10.3,2014-03-21 11:00:00,12.5,0.8,292.5,5.5,202.5,2014-03-29 15:00:00,63.5,4,,,,,,,79.0,,,276.18,,,,,,
2014-04-01,,,,,,,21.7,29.2,2014-04-22 12:00:00,15.5,2014-04-05 06:00:00,,0.9,292.5,4.1,225.0,2014-04-15 14:00:00,26.0,4,,,,,,,,,,367.68,,,,,,
2014-05-01,,,,,,,24.6,31.1,2014-05-12 12:00:00,19.2,2014-05-10 04:00:00,21.8,1.0,90.0,6.6,225.0,2014-05-20 16:00:00,224.0,10,,,,,,,84.0,,,258.64,,,,,,
2014-06-01,,,,,,,25.9,32.7,2014-06-22 14:00:00,21.6,2014-06-06 06:00:00,24.6,0.9,90.0,5.0,202.5,2014-06-16 15:00:00,296.0,16,,,,,,,93.0,,,423.33,,,,,,
2014-07-01,,,,,,,25.4,33.7,2014-07-12 15:00:00,0.0,2014-07-01 01:00:00,25.0,0.9,180.0,6.5,180.0,2014-07-23 10:00:00,394.0,10,,,,,,,93.0,,,331.54,,,,,,
2014-08-01,,,,,9999.0,1900-01-01 00:00:00,26.0,33.1,2014-08-01 15:00:00,20.4,2014-08-21 06:00:00,24.8,0.9,90.0,4.5,225.0,2014-08-14 11:00:00,347.0,20,,,,,,,94.0,,,504.15,,,,,,
2014-09-01,,,,,9999.0,1900-01-01 00:00:00,26.2,34.8,2014-09-15 13:00:00,21.5,2014-09-24 06:00:00,24.9,0.8,180.0,5.0,225.0,2014-09-22 02:00:00,189.0,14,,,,,,,93.0,,,458.84,,,,,,
2014-10-01,,,,,9999.0,,23.1,32.3,2014-10-21 14:00:00,17.1,2014-10-15 05:00:00,19.9,0.8,180.0,3.4,22.5,2014-10-22 12:00:00,0.0,0,,,,,,,84.0,,,467.12,,,,,,
2014-11-01,,,,,9999.0,,20.9,30.5,2014-11-02 13:00:00,14.3,2014-11-20 05:00:00,18.4,0.7,112.5,4.2,337.5,2014-11-02 15:00:00,7.5,4,,,,,,,87.0,,,310.01,,,,,,
2014-12-01,,,,,9999.0,,15.2,26.4,2014-12-01 10:00:00,6.9,2014-12-17 22:00:00,13.4,0.8,112.5,4.0,67.5,2014-12-25 23:59:59,35.0,9,,,,,,,90.0,,,232.8,,,,,,
2015-01-01,,,,,9999.0,,15.1,27.6,2015-01-05 15:00:00,6.2,2015-01-23 07:00:00,12.0,0.8,112.5,4.0,315.0,2015-01-22 13:00:00,11.0,3,,,,,,,83.0,,,287.65,,,,,,
