,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2007-01-01,-9999.7,-9999.7,,-9999.7,,12.7,-99.7,,-99.7,,-9997,-9997.0,,0.1,40,-99.7,-999.7,,452.5,47.7,,,,,,,,,,,,,,,,,,,,,,55.5,2007-01-18T00:00:00,,1,,,1,,,,,,,,,,25,1,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-02-01,-9999.7,-9999.7,,-9999.7,,14.5,-99.7,,-99.7,,-9997,-9997.0,,0.1,40,-99.7,-999.7,,116.5,102.8,,,,,,,,,,,,,,,,,,,,,,28.0,2007-02-20T00:00:00,,1,,,1,,,,,,,,,,14,1,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-03-01,-9999.7,-9999.7,,-9999.7,,16.0,-99.7,,-99.7,,-9997,-9997.0,,0.1,70,-99.7,-999.7,,348.5,102.2,,,,,,,,,,,,,,,,,,,,,,63.0,2007-03-08T00:00:00,,1,,,1,,,,,,,,,,22,1,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-04-01,-9999.7,-9999.7,,-9999.7,,16.9,-99.7,,-99.7,,-9997,-9997.0,,0.1,50,-99.7,-999.7,,254.5,105.1,,,,,,,,,,,,,,,,,,,,,,43.0,2007-04-10T00:00:00,,1,,,1,,,,,,,,,,20,1,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-05-01,-9999.7,-9999.7,,-9999.7,,21.4,-99.7,,-99.7,,-9997,-9997.0,,0.1,60,-99.7,-999.7,,170.0,180.1,,,,,,,,,,,,,,,,,,,,,,24.5,2007-05-19T00:00:00,,1,,,1,,,,,,,,,,18,1,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-06-01,-9999.7,-9999.7,,-9999.7,,23.7,-99.7,,-99.7,,-9997,-9997.0,,0.0,60,-99.7,-999.7,,848.0,140.5,,,,,,,,,,,,,,,,,,,,,,153.0,2007-06-15T00:00:00,,1,,,1,,,,,,,,,,20,1,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-07-01,-9999.7,-9999.7,,-9999.7,,25.6,-99.7,,-99.7,,-9997,,,0.1,60,-99.7,-999.7,,31.0,229.7,,,,,,,,,,,,,,,,,,,,,,18.0,2007-07-15T00:00:00,,1,,,1,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-08-01,-9999.7,-9999.7,,-9999.7,,24.5,-99.7,,-99.7,,-9997,,,0.2,100,-99.7,-999.7,,612.5,173.1,,,,,,,,,,,,,,,,,,,,,,115.5,2007-08-18T00:00:00,,1,,,1,,,,,,,,,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-09-01,-9999.7,-9999.7,,-9999.7,,23.1,-99.7,,-99.7,,-9997,-9997.0,,0.2,100,-99.7,-999.7,,821.0,114.9,,,,,,,,,,,,,,,,,,,,,,205.5,2007-09-18T00:00:00,,1,,,1,,,,,,,,,,19,1,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-10-01,-9999.7,-9999.7,,-9999.7,,20.0,-99.7,,-99.7,,-9997,-9997.0,,0.1,70,-99.7,-999.7,,809.5,46.7,,,,,,,,,,,,,,,,,,,,,,383.0,2007-10-06T00:00:00,,1,,,1,,,,,,,,,,24,1,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-11-01,-9999.7,-9999.7,,-9999.7,,16.5,-99.7,,-99.7,,-9997,,,0.1,50,-99.7,-999.7,,1399.0,20.2,,,,,,,,,,,,,,,,,,,,,,225.5,2007-11-26T00:00:00,,0,,,0,,,,,,,,,,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2007-12-01,-9999.7,-9999.7,,-9999.7,,15.0,-99.7,,-99.7,,-9997,,,0.1,70,-99.7,-999.7,,152.0,32.1,,,,,,,,,,,,,,,,,,,,,,30.0,2007-12-24T00:00:00,,0,,,0,,,,,,,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
