,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp
2021-01-01,942.9,944.9,2021-01-01 00:01:00,940.4,2021-01-01 15:05:00,8.9,13.1,2021-01-01 13:21:00,6.5,2021-01-01 00:04:00,97,86,2021-01-01 12:11:00,5.3,76.0,11.0,53.0,2021-01-01 03:55:00,0.0
2021-01-02,942.0,943.1,2021-01-02 03:34:00,940.8,2021-01-02 14:21:00,9.7,11.5,2021-01-02 23:01:00,7.2,2021-01-02 06:01:00,100,100,2021-01-02 00:01:00,7.4,89.0,14.3,32.0,2021-01-02 04:57:00,2.0
2021-01-03,942.0,943.6,2021-01-03 07:56:00,940.4,2021-01-03 14:01:00,12.7,16.9,2021-01-03 13:02:00,9.2,2021-01-03 00:01:00,99,86,2021-01-03 13:08:00,5.1,55.0,13.7,91.0,2021-01-03 00:09:00,6.5
2021-01-04,940.3,942.5,2021-01-04 08:29:00,938.1,2021-01-04 14:31:00,14.4,16.0,2021-01-04 21:35:00,12.9,2021-01-04 04:41:00,100,100,2021-01-04 00:01:00,5.8,34.0,13.2,37.0,2021-01-04 09:41:00,40.0
2021-01-05,939.7,941.6,2021-01-05 21:31:00,937.9,2021-01-05 13:31:00,11.7,14.7,2021-01-05 00:18:00,9.8,2021-01-05 21:26:00,100,100,2021-01-05 00:01:00,8.8,39.0,18.7,39.0,2021-01-05 18:47:00,41.0
2021-01-06,939.1,941.4,2021-01-06 08:22:00,936.2,2021-01-06 14:01:00,10.9,12.9,2021-01-06 04:42:00,9.3,2021-01-06 23:21:00,100,100,2021-01-06 00:01:00,7.7,57.0,16.5,64.0,2021-01-06 07:17:00,43.5
2021-01-07,940.5,942.6,2021-01-07 23:35:00,938.3,2021-01-07 02:25:00,8.4,11.7,2021-01-07 00:05:00,5.2,2021-01-07 23:45:00,100,100,2021-01-07 00:01:00,9.1,44.0,19.3,26.0,2021-01-07 11:29:00,86.5
2021-01-08,942.3,943.7,2021-01-08 20:51:00,940.5,2021-01-08 13:54:00,3.6,5.3,2021-01-08 00:01:00,2.6,2021-01-08 17:02:00,100,94,2021-01-08 23:31:00,6.4,3.0,17.6,15.0,2021-01-08 00:26:00,27.0
2021-01-09,942.6,944.1,2021-01-09 09:11:00,940.5,2021-01-09 14:12:00,4.6,6.7,2021-01-09 23:13:00,3.6,2021-01-09 00:04:00,96,90,2021-01-09 20:43:00,5.8,52.0,13.7,85.0,2021-01-09 23:07:00,0.5
2021-01-10,941.9,943.6,2021-01-10 10:22:00,940.0,2021-01-10 13:32:00,8.6,13.5,2021-01-10 10:21:00,6.3,2021-01-10 00:34:00,94,77,2021-01-10 10:22:00,7.3,76.0,13.2,74.0,2021-01-10 03:07:00,0.0
2021-01-11,941.5,943.4,2021-01-11 09:25:00,939.5,2021-01-11 14:53:00,8.2,10.1,2021-01-11 04:35:00,5.6,2021-01-11 23:16:00,100,100,2021-01-11 00:01:00,6.2,43.0,14.8,11.0,2021-01-11 15:49:00,32.0
2021-01-12,940.2,942.2,2021-01-12 09:45:00,938.7,2021-01-12 15:01:00,6.5,9.8,2021-01-12 13:05:00,3.4,2021-01-12 07:25:00,94,77,2021-01-12 13:05:00,4.9,98.0,12.1,348.0,2021-01-12 01:44:00,1.0
2021-01-13,938.1,939.7,2021-01-13 08:41:00,935.5,2021-01-13 15:12:00,9.9,15.8,2021-01-13 13:42:00,6.2,2021-01-13 00:09:00,86,63,2021-01-13 11:21:00,4.3,7.0,9.9,106.0,2021-01-13 08:19:00,0.0
2021-01-14,937.0,938.6,2021-01-14 00:01:00,935.5,2021-01-14 13:51:00,11.8,17.0,2021-01-14 12:33:00,7.6,2021-01-14 04:57:00,85,62,2021-01-14 12:33:00,4.5,100.0,10.4,117.0,2021-01-14 10:36:00,0.0
2021-01-15,936.0,937.6,2021-01-15 09:38:00,933.8,2021-01-15 15:01:00,14.4,20.2,2021-01-15 12:35:00,10.1,2021-01-15 00:01:00,79,47,2021-01-15 12:54:00,3.4,89.0,8.8,96.0,2021-01-15 19:05:00,0.0
2021-01-16,938.5,941.9,2021-01-16 23:32:00,936.4,2021-01-16 02:34:00,12.5,17.6,2021-01-16 09:55:00,8.9,2021-01-16 22:44:00,95,74,2021-01-16 10:01:00,8.2,46.0,17.6,34.0,2021-01-16 22:27:00,22.0
2021-01-17,943.8,946.0,2021-01-17 09:41:00,941.5,2021-01-17 00:03:00,8.9,10.7,2021-01-17 00:41:00,7.1,2021-01-17 11:27:00,100,100,2021-01-17 00:01:00,7.7,47.0,16.5,30.0,2021-01-17 01:09:00,45.5
2021-01-18,941.9,943.7,2021-01-18 00:03:00,939.8,2021-01-18 14:36:00,9.4,13.1,2021-01-18 13:11:00,6.9,2021-01-18 06:31:00,97,85,2021-01-18 15:05:00,6.5,45.0,13.2,39.0,2021-01-18 00:19:00,0.0
2021-01-19,940.5,942.2,2021-01-19 09:21:00,939.3,2021-01-19 14:35:00,10.8,15.2,2021-01-19 11:11:00,8.3,2021-01-19 00:03:00,95,79,2021-01-19 11:26:00,8.9,105.0,14.8,98.0,2021-01-19 08:57:00,0.0
2021-01-20,939.1,940.8,2021-01-20 09:41:00,937.5,2021-01-20 14:41:00,14.9,17.4,2021-01-20 11:51:00,12.4,2021-01-20 00:03:00,97,86,2021-01-20 11:51:00,7.2,113.0,14.3,111.0,2021-01-20 08:28:00,0.0
2021-01-21,936.9,938.9,2021-01-21 09:12:00,934.8,2021-01-21 14:41:00,19.9,25.4,2021-01-21 13:04:00,15.7,2021-01-21 05:52:00,81,56,2021-01-21 19:31:00,2.9,119.0,8.8,102.0,2021-01-21 03:26:00,0.0
2021-01-22,933.4,935.5,2021-01-22 00:01:00,931.2,2021-01-22 15:04:00,17.5,18.6,2021-01-22 00:24:00,16.7,2021-01-22 23:23:00,99,84,2021-01-22 00:11:00,5.8,85.0,12.6,85.0,2021-01-22 09:12:00,6.5
2021-01-23,934.4,938.4,2021-01-23 23:31:00,931.8,2021-01-23 01:21:00,15.4,17.0,2021-01-23 00:18:00,13.0,2021-01-23 23:58:00,100,100,2021-01-23 00:01:00,3.6,352.0,11.5,32.0,2021-01-23 23:10:00,7.5
2021-01-24,938.6,940.1,2021-01-24 09:01:00,937.2,2021-01-24 14:35:00,11.0,13.1,2021-01-24 06:46:00,10.2,2021-01-24 18:32:00,100,100,2021-01-24 00:01:00,6.1,55.0,12.6,49.0,2021-01-24 02:12:00,3.5
2021-01-25,938.3,940.4,2021-01-25 09:51:00,936.7,2021-01-25 15:01:00,13.1,17.1,2021-01-25 11:11:00,10.5,2021-01-25 00:01:00,97,80,2021-01-25 11:21:00,3.4,15.0,9.3,87.0,2021-01-25 00:01:00,0.0
2021-01-26,937.3,938.6,2021-01-26 23:42:00,936.0,2021-01-26 14:42:00,14.6,20.2,2021-01-26 11:02:00,11.4,2021-01-26 00:13:00,96,74,2021-01-26 11:02:00,3.7,23.0,13.2,51.0,2021-01-26 22:26:00,14.5
2021-01-27,938.0,939.7,2021-01-27 09:12:00,936.0,2021-01-27 14:43:00,12.7,14.0,2021-01-27 11:31:00,11.7,2021-01-27 21:01:00,100,100,2021-01-27 00:01:00,5.8,40.0,13.7,36.0,2021-01-27 01:01:00,14.0
2021-01-28,940.6,943.6,2021-01-28 22:41:00,938.1,2021-01-28 01:41:00,10.5,13.4,2021-01-28 00:03:00,7.7,2021-01-28 21:25:00,99,93,2021-01-28 22:04:00,5.2,6.0,14.8,56.0,2021-01-28 20:58:00,1.0
2021-01-29,943.0,944.5,2021-01-29 09:24:00,941.5,2021-01-29 14:31:00,9.7,13.3,2021-01-29 12:51:00,7.7,2021-01-29 06:34:00,91,78,2021-01-29 12:55:00,8.2,82.0,14.8,77.0,2021-01-29 03:43:00,0.0
2021-01-30,942.3,943.9,2021-01-30 09:11:00,940.4,2021-01-30 14:32:00,12.4,17.8,2021-01-30 13:41:00,8.6,2021-01-30 00:17:00,90,66,2021-01-30 13:44:00,6.3,97.0,13.2,97.0,2021-01-30 01:33:00,0.0
2021-01-31,941.5,943.6,2021-01-31 09:01:00,939.8,2021-01-31 14:42:00,15.1,20.8,2021-01-31 13:11:00,11.1,2021-01-31 03:11:00,84,54,2021-01-31 12:24:00,2.7,135.0,9.9,143.0,2021-01-31 00:51:00,0.0
