,StnPres,Tx,RH,WS,WD,WSGust,WDGust,Precp
2012-01-01 01:00:00,1012.1,14.5,,6.3,3.0,,,0.0
2012-01-01 02:00:00,1011.5,15.5,,7.6,15.0,,,0.0
2012-01-01 03:00:00,1011.6,15.8,,8.6,18.0,,,0.0
2012-01-01 04:00:00,1011.5,15.8,,8.4,17.0,,,0.0
2012-01-01 05:00:00,1012.2,15.3,,7.1,7.0,,,0.0
2012-01-01 06:00:00,1012.6,15.7,,9.0,16.0,,,0.0
2012-01-01 07:00:00,1013.0,15.7,,8.6,16.0,,,0.0
2012-01-01 08:00:00,1013.6,15.9,,8.4,17.0,,,0.0
2012-01-01 09:00:00,1014.3,15.9,,8.6,17.0,,,0.0
2012-01-01 10:00:00,1014.2,16.1,,7.6,16.0,,,0.0
2012-01-01 11:00:00,1013.1,16.5,,7.6,15.0,,,0.0
2012-01-01 12:00:00,1012.1,15.4,,8.7,15.0,,,0.0
2012-01-01 13:00:00,1011.2,15.2,,7.9,15.0,,,0.0
2012-01-01 14:00:00,1011.4,14.2,,9.8,10.0,,,0.0
2012-01-01 15:00:00,1011.4,14.7,,10.1,13.0,,,0.5
2012-01-01 16:00:00,1011.9,15.0,,9.9,16.0,,,0.0
2012-01-01 17:00:00,1012.6,15.2,,9.7,18.0,,,0.0
2012-01-01 18:00:00,1013.0,15.1,,8.4,12.0,,,0.0
2012-01-01 19:00:00,1013.5,15.2,,10.6,19.0,,,0.0
2012-01-01 20:00:00,1014.0,15.3,,7.1,20.0,,,0.0
2012-01-01 21:00:00,1013.9,15.4,,9.7,19.0,,,0.0
2012-01-01 22:00:00,1013.3,15.0,,9.6,20.0,,,0.0
2012-01-01 23:00:00,1013.1,15.0,,10.5,16.0,,,0.0
2012-01-02 00:00:00,1012.7,14.9,,8.2,21.0,,,0.0
2012-01-02 01:00:00,1012.7,14.7,,7.0,24.0,,,0.0
2012-01-02 02:00:00,1012.6,14.6,,5.9,24.0,,,0.0
2012-01-02 03:00:00,1012.1,14.7,,4.0,29.0,,,0.0
2012-01-02 04:00:00,1012.3,14.7,,6.7,20.0,,,0.0
2012-01-02 05:00:00,1012.7,14.9,,5.2,24.0,,,0.0
2012-01-02 06:00:00,1013.1,15.1,,5.8,21.0,,,0.0
2012-01-02 07:00:00,1013.3,15.4,,4.6,41.0,,,0.0
2012-01-02 08:00:00,1013.6,15.2,,3.7,47.0,,,0.0
2012-01-02 09:00:00,1013.7,15.7,,3.4,60.0,,,0.0
2012-01-02 10:00:00,1013.0,15.5,,1.0,97.0,,,0.0
2012-01-02 11:00:00,1011.9,15.9,,0.6,112.0,,,0.0
2012-01-02 12:00:00,1010.9,14.7,,4.5,240.0,,,0.0
2012-01-02 13:00:00,1010.0,14.9,,4.1,237.0,,,0.0
2012-01-02 14:00:00,1009.5,15.1,,1.6,257.0,,,0.0
2012-01-02 15:00:00,1009.7,14.7,,2.8,312.0,,,0.0
2012-01-02 16:00:00,1010.1,15.3,,2.7,329.0,,,0.0
2012-01-02 17:00:00,1010.2,15.5,,2.6,45.0,,,0.0
2012-01-02 18:00:00,1011.0,15.6,,2.5,39.0,,,0.0
2012-01-02 19:00:00,1011.2,15.4,,1.9,25.0,,,0.0
2012-01-02 20:00:00,1011.1,15.3,,0.3,27.0,,,0.0
2012-01-02 21:00:00,1010.8,15.9,,2.4,73.0,,,0.0
2012-01-02 22:00:00,1010.5,15.8,,3.6,64.0,,,0.0
2012-01-02 23:00:00,1010.3,16.4,,3.3,61.0,,,0.0
2012-01-03 00:00:00,1010.0,16.2,,4.3,56.0,,,0.0
2012-01-03 01:00:00,1009.9,16.6,,4.6,61.0,,,0.0
2012-01-03 02:00:00,1009.9,16.3,,3.8,63.0,,,0.0
2012-01-03 03:00:00,1009.6,15.7,,0.8,117.0,,,0.0
2012-01-03 04:00:00,1009.9,15.2,,1.8,74.0,,,0.0
2012-01-03 05:00:00,1009.7,15.2,,3.1,64.0,,,0.5
2012-01-03 06:00:00,1009.8,15.8,,3.8,60.0,,,0.0
2012-01-03 07:00:00,1010.4,15.9,,3.0,345.0,,,0.0
2012-01-03 08:00:00,1011.1,15.8,,4.1,13.0,,,0.0
2012-01-03 09:00:00,1011.2,16.4,,3.0,330.0,,,0.0
2012-01-03 10:00:00,1011.2,17.2,,0.8,38.0,,,0.0
2012-01-03 11:00:00,1010.6,15.5,,3.2,356.0,,,0.5
2012-01-03 12:00:00,1009.3,15.3,,3.5,41.0,,,0.0
2012-01-03 13:00:00,1008.9,15.0,,5.0,21.0,,,0.5
2012-01-03 14:00:00,1008.5,14.5,,7.2,20.0,,,0.5
2012-01-03 15:00:00,1009.2,14.6,,7.9,18.0,,,0.0
2012-01-03 16:00:00,1009.6,14.4,,6.6,19.0,,,0.5
2012-01-03 17:00:00,1010.5,13.8,,9.7,14.0,,,0.0
2012-01-03 18:00:00,1011.2,13.8,,9.0,18.0,,,0.0
2012-01-03 19:00:00,1011.7,14.7,,5.9,21.0,,,0.0
2012-01-03 20:00:00,1012.1,13.9,,8.9,17.0,,,0.0
2012-01-03 21:00:00,1012.4,13.9,,10.2,16.0,,,0.5
2012-01-03 22:00:00,1012.7,13.2,,11.8,15.0,,,1.0
2012-01-03 23:00:00,1013.2,12.6,,11.6,14.0,,,0.5
2012-01-04 00:00:00,1013.4,12.1,,10.3,7.0,,,0.0
2012-01-04 01:00:00,1013.5,12.1,,9.2,3.0,,,0.5
2012-01-04 02:00:00,1013.4,11.2,,12.7,14.0,,,0.0
2012-01-04 03:00:00,1013.4,11.6,,10.7,9.0,,,0.5
2012-01-04 04:00:00,1014.2,11.3,,11.2,357.0,,,0.5
2012-01-04 05:00:00,1014.9,11.1,,11.4,355.0,,,0.0
2012-01-04 06:00:00,1015.7,10.6,,11.1,4.0,,,0.5
2012-01-04 07:00:00,1016.4,10.8,,11.3,357.0,,,0.0
2012-01-04 08:00:00,1017.2,10.6,,9.9,8.0,,,0.0
