,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-01-01,1020.6,1022.7,2023-01-01T09:34:00,1018.6,2023-01-01T14:17:00,19.1,22.3,2023-01-01T12:21:00,17.0,2023-01-01T00:01:00,100.0,95.0,2023-01-01T16:15:00,2.0,85.0,9.9,76.0,2023-01-01T12:50:00,2.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02,1020.6,1022.6,2023-01-02T21:02:00,1017.7,2023-01-02T16:39:00,18.5,21.2,2023-01-02T10:54:00,16.2,2023-01-02T23:45:00,100.0,98.0,2023-01-02T16:39:00,1.6,88.0,11.0,80.0,2023-01-02T20:40:00,2.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-03,1022.0,1023.5,2023-01-03T09:02:00,1020.7,2023-01-03T04:52:00,16.0,18.1,2023-01-03T09:21:00,14.3,2023-01-03T22:34:00,100.0,100.0,2023-01-03T00:01:00,1.8,99.0,9.9,83.0,2023-01-03T11:25:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-04,1021.8,1024.3,2023-01-04T09:23:00,1019.9,2023-01-04T16:13:00,16.2,18.3,2023-01-04T23:37:00,14.3,2023-01-04T00:08:00,100.0,100.0,2023-01-04T00:01:00,1.7,103.0,9.3,75.0,2023-01-04T15:04:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-05,1020.1,1022.1,2023-01-05T07:42:00,1017.9,2023-01-05T15:01:00,19.4,22.8,2023-01-05T10:31:00,17.8,2023-01-05T07:52:00,100.0,100.0,2023-01-05T00:01:00,1.0,96.0,6.6,89.0,2023-01-05T10:49:00,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-06,1020.0,1021.8,2023-01-06T09:21:00,1018.5,2023-01-06T14:41:00,18.3,20.1,2023-01-06T13:11:00,17.2,2023-01-06T22:53:00,100.0,100.0,2023-01-06T00:01:00,0.6,112.0,7.7,75.0,2023-01-06T12:27:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-07,1019.5,1021.0,2023-01-07T08:33:00,1017.6,2023-01-07T14:52:00,18.1,22.3,2023-01-07T09:31:00,17.2,2023-01-07T07:01:00,68.0,54.0,2023-01-07T12:15:00,2.0,86.0,10.4,70.0,2023-01-07T15:03:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-08,1017.8,1020.1,2023-01-08T09:14:00,1015.5,2023-01-08T15:02:00,20.6,26.3,2023-01-08T11:12:00,17.4,2023-01-08T00:31:00,67.0,48.0,2023-01-08T14:11:00,1.6,88.0,9.3,70.0,2023-01-08T00:06:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-09,1016.6,1018.2,2023-01-09T20:56:00,1014.7,2023-01-09T13:51:00,20.5,26.0,2023-01-09T12:45:00,16.7,2023-01-09T23:11:00,85.0,58.0,2023-01-09T13:43:00,0.7,88.0,6.6,111.0,2023-01-09T22:18:00,3.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-10,1016.0,1018.3,2023-01-10T09:43:00,1012.9,2023-01-10T14:31:00,19.7,26.6,2023-01-10T14:02:00,16.9,2023-01-10T02:56:00,97.0,80.0,2023-01-10T14:44:00,2.1,86.0,8.8,77.0,2023-01-10T05:06:00,3.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
