,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2023-01-01,966.2,974.9,2023-01-24T09:31:00,955.4,2023-01-14T15:25:00,14.4,25.7,2023-01-13T14:36:00,4.4,2023-01-24T23:43:00,78,31,2023-01-31T01:40:00,0.4,113,5.7,112,2023-01-03T13:21:00,37.5,,,,,,,,,,,,,,,,,,,,,,,23.0,2023-01-24T00:00:00,,1,,,1,,3.0,1,,2023-01-24T02:00:00,,,0,,10,1,,,97,2023-01-05T04:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-02-01,965.8,977.0,2023-02-26T08:47:00,958.6,2023-02-06T15:04:00,15.0,28.2,2023-02-13T11:37:00,7.0,2023-02-15T05:03:00,79,30,2023-02-01T11:34:00,0.4,116,7.4,69,2023-02-19T15:53:00,42.0,,,,,,,,,,,,,,,,,,,,,,,19.0,2023-02-06T00:00:00,,1,,,1,,5.0,1,,2023-02-06T04:00:00,,,0,,10,1,,,97,2023-02-09T09:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-03-01,963.9,973.6,2023-03-02T10:00:00,953.1,2023-03-22T15:57:00,16.6,30.3,2023-03-23T12:53:00,8.8,2023-03-03T03:42:00,77,18,2023-03-06T10:13:00,0.3,121,6.8,334,2023-03-12T20:36:00,50.0,,,,,,,,,,,,,,,,,,,,,,,20.0,2023-03-25T00:00:00,,1,,,1,,6.0,1,,2023-03-25T21:00:00,,,0,,10,1,,,99,2023-03-14T01:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-04-01,960.0,968.6,2023-04-08T08:15:00,950.6,2023-04-20T01:35:00,19.3,29.7,2023-04-16T14:15:00,13.1,2023-04-07T08:40:00,84,37,2023-04-16T08:52:00,0.2,0,7.2,80,2023-04-08T00:38:00,187.0,,,,,,,,,,,,,,,,,,,,,,,64.0,2023-04-19T00:00:00,,1,,,1,,26.5,1,,2023-04-19T16:00:00,,,0,,12,1,,,98,2023-04-02T09:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-05-01,958.0,964.2,2023-05-02T08:37:00,947.9,2023-05-31T16:29:00,22.3,32.4,2023-05-05T13:50:00,14.8,2023-05-10T04:02:00,83,45,2023-05-29T13:47:00,0.1,0,10.5,243,2023-05-22T14:31:00,328.5,,,,,,,,,,,,,,,,,,,,,,,151.0,2023-05-31T00:00:00,,1,,,1,,44.0,1,,2023-05-31T16:00:00,,,0,,13,1,,,98,2023-05-01T06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-06-01,956.2,961.5,2023-06-27T21:11:00,947.8,2023-06-01T04:25:00,24.8,31.9,2023-06-29T12:16:00,20.3,2023-06-14T20:35:00,87,56,2023-06-29T12:38:00,0.1,0,5.7,354,2023-06-01T08:28:00,463.0,,,,,,,,,,,,,,,,,,,,,,,122.5,2023-06-24T00:00:00,,1,,,1,,52.5,1,,2023-06-29T17:00:00,,,0,,18,1,,,98,2023-06-01T06:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-07-01,955.7,961.6,2023-07-22T22:17:00,942.4,2023-07-28T03:48:00,25.9,33.6,2023-07-07T14:03:00,21.4,2023-07-23T15:18:00,82,48,2023-07-27T22:40:00,0.2,0,8.6,55,2023-07-26T06:52:00,245.0,,,,,,,,,,,,,,,,,,,,,,,66.5,2023-07-21T00:00:00,,1,,,1,,24.5,1,,2023-07-21T19:00:00,,,0,,14,1,,,98,2023-07-01T00:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2023-08-01,953.0,959.1,2023-08-20T21:47:00,944.9,2023-08-03T17:53:00,25.5,33.8,2023-08-10T14:20:00,21.1,2023-08-18T05:31:00,84,53,2023-08-29T23:45:00,0.5,118,11.8,217,2023-08-04T04:19:00,328.5,,,,,,,,,,,,,,,,,,,,,,,77.0,2023-08-11T00:00:00,,1,,,1,,48.5,1,,2023-08-11T15:00:00,,,0,,21,1,,,98,2023-08-01T23:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2023-09-01,956.9,961.8,2023-09-16T08:59:00,940.8,2023-09-03T18:35:00,25.3,33.4,2023-09-22T13:45:00,19.2,2023-09-10T01:26:00,79,44,2023-09-11T14:00:00,0.2,0,11.3,25,2023-09-03T18:24:00,185.0,,,,,,,,,,,,,,,,,,,,,,,43.5,2023-09-18T00:00:00,,1,,,1,,43.5,1,,2023-09-18T16:00:00,,,0,,11,1,,,98,2023-09-06T19:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-10-01,961.9,967.4,2023-10-21T09:21:00,948.3,2023-10-05T15:55:00,22.4,30.9,2023-10-06T13:40:00,17.2,2023-10-28T09:05:00,80,45,2023-10-26T10:45:00,0.2,0,8.8,121,2023-10-05T16:16:00,201.5,,,,,,,,,,,,,,,,,,,,,,,65.5,2023-10-04T00:00:00,,1,,,1,,20.0,1,,2023-10-07T22:00:00,,,0,,14,1,,,98,2023-10-08T06:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
