,StnPres,Tx,RH,WS,WD,WSGust,WDGust,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-01-01 01:00:00,1012.6,16.3,93.0,0.4,109.0,3.7,126.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 02:00:00,1012.0,16.7,92.0,0.7,115.0,5.4,128.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 03:00:00,1011.7,16.6,93.0,0.7,108.0,3.4,124.0,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 04:00:00,1011.2,17.0,93.0,1.5,115.0,4.2,121.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 05:00:00,1011.4,17.1,91.0,2.2,118.0,6.2,124.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 06:00:00,1011.7,17.2,91.0,2.0,119.0,7.3,100.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 07:00:00,1012.3,17.4,90.0,1.0,112.0,4.9,140.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 08:00:00,1012.6,17.8,87.0,1.5,118.0,5.2,117.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 09:00:00,1012.3,18.7,83.0,1.3,106.0,5.6,133.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 10:00:00,1012.1,19.6,80.0,1.9,122.0,5.0,133.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 11:00:00,1011.8,20.7,71.0,2.2,117.0,6.2,120.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 12:00:00,1010.5,21.6,67.0,2.1,107.0,7.3,133.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 13:00:00,1009.5,21.4,65.0,2.5,111.0,7.9,122.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 14:00:00,1009.1,21.5,67.0,2.6,116.0,7.9,116.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 15:00:00,1009.0,20.7,71.0,2.7,120.0,7.6,111.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 16:00:00,1009.4,20.2,71.0,2.6,117.0,8.1,117.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 17:00:00,1009.7,19.9,71.0,2.8,116.0,6.6,114.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 18:00:00,1009.9,19.5,73.0,2.6,116.0,6.7,125.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 19:00:00,1010.6,19.4,74.0,2.3,117.0,5.7,130.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 20:00:00,1010.6,19.2,77.0,3.1,119.0,8.1,112.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 21:00:00,1010.7,18.9,79.0,2.7,117.0,7.1,119.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 22:00:00,1011.2,18.9,79.0,2.9,119.0,6.9,131.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-01 23:00:00,1011.1,18.6,83.0,2.8,119.0,6.4,132.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 00:00:00,1011.2,18.5,84.0,2.8,116.0,6.3,128.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 01:00:00,1010.7,18.5,84.0,2.1,116.0,5.9,59.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 02:00:00,1010.7,18.3,84.0,1.3,116.0,4.8,124.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 03:00:00,1010.7,18.0,89.0,1.7,115.0,5.0,127.0,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 04:00:00,1010.4,18.0,88.0,2.1,116.0,5.5,104.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 05:00:00,1011.3,18.0,86.0,1.0,116.0,5.5,107.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 06:00:00,1011.4,17.7,90.0,1.8,117.0,3.8,140.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 07:00:00,1012.1,17.7,91.0,0.5,118.0,4.1,129.0,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02 08:00:00,1012.7,18.1,90.0,1.1,115.0,3.9,128.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
