,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2010-01-01,993.4,1002.0,2010-01-13T21:46:00,986.7,2010-01-04T14:18:00,14.2,26.4,2010-01-20T12:10:00,4.2,2010-01-15T06:39:00,82.0,27.0,2010-01-19T13:53:00,1.3,60.0,13.3,42.0,2010-01-16T13:29:00,143.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-02-01,990.1,997.6,2010-02-12T21:53:00,981.3,2010-02-26T14:47:00,15.1,28.1,2010-02-26T11:08:00,7.2,2010-02-19T06:29:00,89.0,32.0,2010-02-24T12:32:00,1.1,69.0,14.5,33.0,2010-02-13T08:42:00,294.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-03-01,990.6,1002.2,2010-03-10T09:04:00,981.5,2010-03-23T15:27:00,17.3,28.4,2010-03-15T11:49:00,5.7,2010-03-10T18:46:00,79.0,32.0,2010-03-30T11:47:00,1.1,31.0,13.8,52.0,2010-03-26T09:11:00,82.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-04-01,988.4,995.3,2010-04-15T23:50:00,980.3,2010-04-11T15:11:00,18.3,29.7,2010-04-12T12:32:00,11.0,2010-04-15T18:26:00,84.0,39.0,2010-04-26T11:04:00,1.1,20.0,15.7,19.0,2010-04-13T16:06:00,193.0,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-05-01,982.9,990.5,2010-05-01T10:02:00,973.3,2010-05-23T05:00:00,22.9,32.4,2010-05-22T12:55:00,15.4,2010-05-01T04:23:00,82.0,33.0,2010-05-31T16:47:00,0.8,15.0,11.7,209.0,2010-05-24T15:27:00,266.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-06-01,982.0,985.8,2010-06-08T07:47:00,975.6,2010-06-25T04:14:00,24.2,33.1,2010-06-27T11:49:00,17.0,2010-06-01T05:00:00,84.0,41.0,2010-06-07T12:51:00,0.9,222.0,12.2,270.0,2010-06-24T13:33:00,321.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-07-01,982.1,986.6,2010-07-17T08:20:00,976.1,2010-07-05T16:06:00,27.4,34.9,2010-07-03T13:58:00,22.2,2010-07-16T05:26:00,76.0,41.0,2010-07-18T10:30:00,1.1,225.0,15.6,243.0,2010-07-06T16:30:00,98.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-08-01,981.9,988.6,2010-08-19T08:52:00,973.0,2010-08-31T04:51:00,27.6,36.2,2010-08-03T12:42:00,21.8,2010-08-31T03:40:00,77.0,36.0,2010-08-03T13:13:00,1.0,62.0,10.7,15.0,2010-08-07T17:38:00,186.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-09-01,982.8,989.3,2010-09-21T21:55:00,960.7,2010-09-19T14:34:00,26.1,33.9,2010-09-08T13:28:00,21.2,2010-09-26T05:44:00,80.0,39.0,2010-09-19T22:39:00,0.9,49.0,18.8,60.0,2010-09-19T14:34:00,181.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-10-01,986.4,996.1,2010-10-30T09:12:00,974.6,2010-10-22T21:49:00,22.0,31.1,2010-10-11T12:28:00,13.9,2010-10-27T05:05:00,84.0,51.0,2010-10-01T14:22:00,1.6,65.0,13.1,81.0,2010-10-17T13:14:00,240.5,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-11-01,989.8,995.5,2010-11-15T09:43:00,982.8,2010-11-21T14:35:00,18.6,25.8,2010-11-12T11:36:00,12.5,2010-11-10T03:29:00,80.0,37.0,2010-11-12T10:49:00,1.7,67.0,14.7,35.0,2010-11-17T13:34:00,52.0,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2010-12-01,989.3,996.5,2010-12-26T09:25:00,982.8,2010-12-12T06:17:00,14.3,25.2,2010-12-05T13:31:00,2.7,2010-12-28T06:44:00,75.0,18.0,2010-12-29T12:34:00,1.1,59.0,14.5,101.0,2010-12-16T01:20:00,99.0,-999.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
