,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRad,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunShine,SunshineDuration.Totalf,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil5cm,WindDirection.Prevailingf,WindSpeed.Meanf
2018-01-01,996.1,997.8,2018-01-01T09:33:00,993.9,2018-01-01T16:17:00,15.1,18.0,2018-01-01T13:22:00,13.0,2018-01-01T00:10:00,74,65.0,2018-01-01T13:23:00,3.9,54,13.9,76.0,2018-01-01T02:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,83.0,2018-01-01T21:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,994.5,996.5,2018-01-02T09:20:00,992.0,2018-01-02T14:52:00,17.8,22.8,2018-01-02T14:13:00,15.0,2018-01-02T05:20:00,72,50.0,2018-01-02T13:53:00,2.8,41,9.1,74.0,2018-01-02T03:03:00,0.0,,,,,,,,,,,,,,,,,,,,,,86.0,2018-01-02T05:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,994.4,996.9,2018-01-03T09:22:00,991.8,2018-01-03T15:11:00,18.1,23.7,2018-01-03T12:49:00,13.4,2018-01-03T05:55:00,72,49.0,2018-01-03T12:22:00,1.6,58,7.9,42.0,2018-01-03T16:49:00,0.0,,,,,,,,,,,,,,,,,,,,,,84.0,2018-01-03T06:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,993.3,995.4,2018-01-04T09:14:00,991.1,2018-01-04T16:03:00,16.7,19.5,2018-01-04T12:39:00,14.7,2018-01-04T06:47:00,88,75.0,2018-01-04T11:37:00,1.3,238,6.0,232.0,2018-01-04T09:13:00,0.5,,,,,,,,,,,,,,,,,,,,,,98.0,2018-01-04T23:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,993.3,995.7,2018-01-05T09:36:00,991.9,2018-01-05T04:27:00,14.3,15.0,2018-01-05T00:01:00,13.7,2018-01-05T12:27:00,94,83.0,2018-01-05T23:01:00,2.8,41,14.5,40.0,2018-01-05T19:44:00,4.0,,,,,,,,,,,,,,,,,,,,,,98.0,2018-01-05T04:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,991.7,993.0,2018-01-06T21:32:00,989.2,2018-01-06T13:38:00,15.0,15.8,2018-01-06T23:58:00,14.3,2018-01-06T06:38:00,92,82.0,2018-01-06T04:34:00,3.5,42,14.3,41.0,2018-01-06T00:26:00,16.0,,,,,,,,,,,,,,,,,,,,,,97.0,2018-01-06T20:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,991.4,994.9,2018-01-07T07:48:00,988.2,2018-01-07T20:36:00,15.4,16.2,2018-01-07T06:18:00,14.6,2018-01-07T07:53:00,95,87.0,2018-01-07T10:23:00,2.7,39,10.2,44.0,2018-01-07T06:49:00,54.0,,,,,,,,,,,,,,,,,,,,,,98.0,2018-01-07T03:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,991.1,997.3,2018-01-08T23:29:00,988.1,2018-01-08T15:11:00,15.3,17.4,2018-01-08T14:40:00,10.2,2018-01-08T23:34:00,95,88.0,2018-01-08T15:58:00,2.4,2,9.5,42.0,2018-01-08T21:00:00,95.0,,,,,,,,,,,,,,,,,,,,,,97.0,2018-01-08T04:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,998.7,1001.0,2018-01-09T21:51:00,995.8,2018-01-09T14:29:00,8.5,10.7,2018-01-09T12:34:00,7.2,2018-01-09T06:43:00,86,70.0,2018-01-09T13:48:00,2.5,35,8.6,43.0,2018-01-09T13:03:00,25.5,,,,,,,,,,,,,,,,,,,,,,96.0,2018-01-10T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,1001.5,1003.6,2018-01-10T09:14:00,999.6,2018-01-10T14:37:00,9.1,11.8,2018-01-10T10:58:00,7.0,2018-01-10T00:27:00,63,38.0,2018-01-10T15:39:00,2.3,49,9.7,15.0,2018-01-10T12:18:00,0.0,,,,,,,,,,,,,,,,,,,,,,87.0,2018-01-10T07:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,1002.8,,,,,9.3,,,,,60,,,2.8,53,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,1004.7,1006.1,2018-01-12T09:10:00,1002.3,2018-01-12T14:04:00,8.3,11.0,2018-01-12T13:04:00,5.8,2018-01-12T06:07:00,58,47.0,2018-01-12T09:51:00,3.1,70,14.2,45.0,2018-01-12T11:18:00,0.0,,,,,,,,,,,,,,,,,,,,,,71.0,2018-01-12T06:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,1002.1,1004.6,2018-01-13T08:12:00,999.4,2018-01-13T14:43:00,10.4,13.4,2018-01-13T13:03:00,7.4,2018-01-13T05:30:00,59,46.0,2018-01-13T02:20:00,4.0,50,14.7,69.0,2018-01-13T14:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,76.0,2018-01-13T23:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,997.7,,,,,13.4,,,,,68,,,1.7,42,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,993.8,996.7,2018-01-15T09:10:00,991.2,2018-01-15T15:18:00,15.5,23.1,2018-01-15T14:21:00,10.4,2018-01-15T04:46:00,71,45.0,2018-01-15T14:22:00,1.1,28,6.9,46.0,2018-01-15T10:55:00,0.0,,,,,,,,,,,,,,,,,,,,,,97.0,2018-01-15T23:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,990.7,993.3,2018-01-16T09:20:00,988.6,2018-01-16T15:59:00,17.1,22.8,2018-01-16T13:24:00,12.5,2018-01-16T02:36:00,73,46.0,2018-01-16T13:00:00,1.3,179,7.0,226.0,2018-01-16T02:54:00,0.0,,,,,,,,,,,,,,,,,,,,,,95.0,2018-01-16T02:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
