,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2017-01-01,996.5,999.0,2017-01-01 09:30:00,994.5,2017-01-01 15:13:00,20.2,27.3,2017-01-01 14:23:00,16.3,2017-01-01 06:29:00,78,48,2017-01-01 13:47:00,1.3,13.0,9.2,66.0,2017-01-01 00:36:00,0.0,,,,,,
2017-01-02,996.2,998.4,2017-01-02 08:50:00,994.7,2017-01-02 15:23:00,18.9,23.8,2017-01-02 11:38:00,15.9,2017-01-02 03:10:00,88,62,2017-01-02 11:39:00,1.3,18.0,7.5,13.0,2017-01-02 13:01:00,0.0,,,,,,
2017-01-03,995.6,998.0,2017-01-03 09:36:00,993.7,2017-01-03 14:30:00,19.5,21.8,2017-01-03 13:25:00,18.2,2017-01-03 06:06:00,87,76,2017-01-03 14:31:00,4.1,38.0,14.5,29.0,2017-01-03 12:04:00,0.0,,,,,,
2017-01-04,993.7,995.7,2017-01-04 08:57:00,991.7,2017-01-04 13:55:00,20.8,25.5,2017-01-04 12:14:00,18.0,2017-01-04 03:09:00,83,63,2017-01-04 12:22:00,1.1,40.0,8.6,23.0,2017-01-04 09:40:00,0.0,,,,,,
2017-01-05,992.8,994.8,2017-01-05 09:51:00,990.8,2017-01-05 15:03:00,19.8,23.3,2017-01-05 12:46:00,16.4,2017-01-05 04:52:00,84,68,2017-01-05 12:53:00,0.7,234.0,4.5,235.0,2017-01-05 10:52:00,0.0,,,,,,
2017-01-06,992.0,993.8,2017-01-06 09:11:00,990.2,2017-01-06 15:28:00,19.5,22.5,2017-01-06 11:34:00,17.8,2017-01-06 01:03:00,91,73,2017-01-06 12:00:00,1.1,4.0,6.5,102.0,2017-01-06 10:54:00,0.0,,,,,,
2017-01-07,989.8,991.8,2017-01-07 09:58:00,987.5,2017-01-07 13:55:00,20.2,24.3,2017-01-07 12:19:00,18.2,2017-01-07 22:03:00,87,67,2017-01-07 12:21:00,0.8,215.0,4.8,245.0,2017-01-07 13:16:00,0.0,,,,,,
2017-01-08,990.5,992.4,2017-01-08 22:48:00,988.3,2017-01-08 14:12:00,18.9,20.6,2017-01-08 00:39:00,16.1,2017-01-08 22:03:00,84,73,2017-01-08 03:57:00,2.2,2.0,9.9,53.0,2017-01-08 23:08:00,0.0,,,,,,
2017-01-09,993.9,995.9,2017-01-09 09:51:00,992.0,2017-01-09 00:29:00,15.7,18.1,2017-01-09 10:51:00,14.3,2017-01-09 23:48:00,79,71,2017-01-09 10:53:00,4.0,43.0,12.0,23.0,2017-01-09 11:25:00,0.0,,,,,,
2017-01-10,995.3,997.7,2017-01-10 09:26:00,993.2,2017-01-10 15:26:00,16.7,20.6,2017-01-10 14:44:00,14.1,2017-01-10 03:35:00,74,63,2017-01-10 13:21:00,3.3,42.0,10.6,38.0,2017-01-10 20:02:00,0.0,,,,,,
