,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2025-01-01,1017.4,1019.1,2025-01-01T00:01:00,1015.2,2025-01-01T15:46:00,17.0,18.2,2025-01-01T10:37:00,15.6,2025-01-01T02:18:00,77.0,64.0,2025-01-01T00:23:00,4.4,64.0,14.5,69.0,2025-01-01T00:52:00,4.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-02,1018.2,1020.5,2025-01-02T08:45:00,1016.0,2025-01-02T14:34:00,17.2,19.0,2025-01-02T13:39:00,15.4,2025-01-02T02:11:00,82.0,72.0,2025-01-02T13:28:00,6.2,57.0,14.2,43.0,2025-01-02T19:45:00,3.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-03,1020.4,1021.8,2025-01-03T09:19:00,1019.0,2025-01-03T00:02:00,16.5,17.1,2025-01-03T10:16:00,16.0,2025-01-03T05:47:00,69.0,61.0,2025-01-03T19:19:00,7.2,55.0,17.0,46.0,2025-01-03T10:32:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-04,1018.6,1021.4,2025-01-04T08:49:00,1016.3,2025-01-04T22:49:00,18.1,20.7,2025-01-04T13:19:00,15.9,2025-01-04T03:05:00,66.0,53.0,2025-01-04T11:54:00,7.0,65.0,17.0,60.0,2025-01-04T10:56:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-05,1018.1,1019.4,2025-01-05T22:18:00,1016.8,2025-01-05T14:37:00,17.6,19.3,2025-01-05T09:03:00,16.6,2025-01-05T14:00:00,82.0,71.0,2025-01-05T01:12:00,2.5,58.0,8.2,330.0,2025-01-05T12:26:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-06,1019.8,1021.6,2025-01-06T09:56:00,1018.0,2025-01-06T14:40:00,16.6,18.4,2025-01-06T12:10:00,14.4,2025-01-06T23:37:00,66.0,55.0,2025-01-06T13:21:00,6.0,64.0,15.8,54.0,2025-01-06T21:46:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-07,1019.7,1021.3,2025-01-07T20:05:00,1018.0,2025-01-07T13:20:00,15.9,18.4,2025-01-07T12:19:00,14.4,2025-01-07T05:24:00,62.0,51.0,2025-01-07T11:21:00,6.8,60.0,17.2,66.0,2025-01-07T00:40:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-08,1019.5,1021.5,2025-01-08T23:21:00,1017.7,2025-01-08T13:30:00,16.5,18.1,2025-01-08T12:21:00,15.4,2025-01-08T00:01:00,76.0,65.0,2025-01-08T00:23:00,5.4,62.0,13.1,55.0,2025-01-08T07:36:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-09,1023.7,1028.7,2025-01-09T23:46:00,1020.9,2025-01-09T03:21:00,14.9,16.8,2025-01-09T00:02:00,12.9,2025-01-09T23:57:00,68.0,60.0,2025-01-09T10:48:00,7.8,57.0,17.5,54.0,2025-01-09T16:58:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-10,1029.0,1031.3,2025-01-10T09:27:00,1027.5,2025-01-10T15:33:00,12.2,13.4,2025-01-10T21:18:00,11.3,2025-01-10T06:15:00,70.0,62.0,2025-01-10T01:24:00,8.1,50.0,17.5,45.0,2025-01-10T12:18:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-11,1027.6,1029.4,2025-01-11T09:10:00,1025.8,2025-01-11T15:06:00,13.1,14.5,2025-01-11T10:37:00,12.3,2025-01-11T15:28:00,70.0,53.0,2025-01-11T23:00:00,6.5,57.0,17.6,69.0,2025-01-11T01:42:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-12,1026.0,1028.4,2025-01-12T09:17:00,1023.5,2025-01-12T15:02:00,13.9,16.3,2025-01-12T13:35:00,12.3,2025-01-12T02:40:00,53.0,34.0,2025-01-12T13:45:00,4.4,51.0,10.3,62.0,2025-01-12T17:46:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-13,1022.4,1025.4,2025-01-13T00:01:00,1020.1,2025-01-13T15:02:00,16.2,20.0,2025-01-13T13:48:00,12.5,2025-01-13T00:02:00,52.0,41.0,2025-01-13T12:51:00,5.6,64.0,14.2,75.0,2025-01-13T11:06:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
