,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRad,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunShine,SunshineDuration.Totalf,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil5cm,WindDirection.Prevailingf,WindSpeed.Meanf
2017-01-01,1016.2,1018.5,2017-01-01T08:26:00,1014.1,2017-01-01T15:31:00,19.2,22.1,2017-01-01T11:31:00,15.5,2017-01-01T06:41:00,88,69,2017-01-01T11:16:00,1.8,3,10.4,7,2017-01-01T14:05:00,0.0,,,,,,,,,,,,,,,,,,,,,,93,2017-01-01T07:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02,1015.3,1017.5,2017-01-02T08:36:00,1013.3,2017-01-02T15:24:00,20.3,22.0,2017-01-02T15:11:00,17.8,2017-01-02T23:53:00,87,77,2017-01-02T15:05:00,2.0,7,10.1,5,2017-01-02T11:44:00,0.0,,,,,,,,,,,,,,,,,,,,,,92,2017-01-02T23:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,1014.7,1017.0,2017-01-03T09:31:00,1012.7,2017-01-03T14:54:00,20.2,23.0,2017-01-03T13:31:00,17.0,2017-01-03T01:21:00,85,73,2017-01-03T14:53:00,2.5,19,11.6,1,2017-01-03T12:43:00,0.0,,,,,,,,,,,,,,,,,,,,,,93,2017-01-03T02:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04,1013.3,1015.3,2017-01-04T09:23:00,1011.3,2017-01-04T14:41:00,20.6,22.5,2017-01-04T13:24:00,18.1,2017-01-04T03:44:00,89,82,2017-01-04T13:13:00,1.9,4,6.7,5,2017-01-04T16:46:00,0.0,,,,,,,,,,,,,,,,,,,,,,93,2017-01-04T22:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,1012.4,1014.1,2017-01-05T09:42:00,1010.5,2017-01-05T15:12:00,20.1,21.7,2017-01-05T11:24:00,18.2,2017-01-05T23:56:00,90,81,2017-01-05T11:24:00,1.7,182,5.6,178,2017-01-05T04:32:00,0.0,,,,,,,,,,,,,,,,,,,,,,94,2017-01-05T04:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,1011.3,1013.0,2017-01-06T08:52:00,1009.2,2017-01-06T15:32:00,20.0,22.1,2017-01-06T12:01:00,18.0,2017-01-06T01:02:00,91,82,2017-01-06T09:42:00,2.4,18,9.6,3,2017-01-06T13:58:00,0.0,,,,,,,,,,,,,,,,,,,,,,97,2017-01-06T05:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-07,1009.3,1011.3,2017-01-07T09:23:00,1007.2,2017-01-07T14:31:00,20.0,22.8,2017-01-07T12:24:00,18.7,2017-01-07T23:22:00,92,77,2017-01-07T12:33:00,1.5,10,5.9,311,2017-01-07T07:50:00,0.0,,,,,,,,,,,,,,,,,,,,,,95,2017-01-07T05:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-08,1009.0,1011.0,2017-01-08T09:18:00,1006.5,2017-01-08T15:03:00,20.3,23.0,2017-01-08T11:51:00,18.1,2017-01-08T23:22:00,83,74,2017-01-08T15:03:00,2.4,8,10.5,13,2017-01-08T16:24:00,0.0,,,,,,,,,,,,,,,,,,,,,,92,2017-01-08T06:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-09,1011.8,1013.8,2017-01-09T23:11:00,1009.7,2017-01-09T14:51:00,18.3,21.7,2017-01-09T11:38:00,15.6,2017-01-09T23:55:00,72,59,2017-01-09T11:55:00,3.2,23,14.4,20,2017-01-09T13:51:00,0.0,,,,,,,,,,,,,,,,,,,,,,85,2017-01-09T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,1014.2,1016.5,2017-01-10T09:56:00,1011.7,2017-01-10T14:32:00,17.6,23.0,2017-01-10T15:33:00,14.5,2017-01-10T04:32:00,73,57,2017-01-10T11:45:00,2.7,21,11.1,14,2017-01-10T13:16:00,0.0,,,,,,,,,,,,,,,,,,,,,,80,2017-01-10T04:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
