,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2017-01-01,1007.8,1016.5,2017-01-22T09:40:00,999.1,2017-01-08T14:57:00,16.6,25.5,2017-01-29T16:00:00,8.9,2017-01-27T07:07:00,85.0,46.0,2017-01-29T15:20:00,1.1,12.0,12.0,5.0,2017-01-20T12:57:00,29.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-02-01,1008.3,1017.6,2017-02-14T09:18:00,999.7,2017-02-05T15:32:00,15.1,26.8,2017-02-21T13:08:00,6.5,2017-02-12T07:16:00,82.0,41.0,2017-02-14T12:56:00,1.2,21.0,11.4,360.0,2017-02-11T13:28:00,93.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-03-01,1004.9,1012.7,2017-03-27T10:21:00,997.2,2017-03-13T14:51:00,16.8,27.0,2017-03-31T10:10:00,6.7,2017-03-27T05:43:00,87.0,32.0,2017-03-26T21:52:00,1.1,15.0,12.4,360.0,2017-03-02T14:22:00,148.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-04-01,1001.4,1011.6,2017-04-02T09:28:00,991.0,2017-04-10T16:14:00,21.2,33.0,2017-04-10T14:47:00,8.5,2017-04-03T00:44:00,81.0,25.0,2017-04-02T09:54:00,1.4,25.0,17.0,238.0,2017-04-11T00:05:00,230.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-05-01,998.7,1005.1,2017-05-06T09:41:00,991.0,2017-05-31T16:37:00,24.4,32.7,2017-05-29T15:13:00,17.5,2017-05-01T05:12:00,87.0,45.0,2017-05-01T13:02:00,0.8,1.0,10.6,238.0,2017-05-24T12:09:00,155.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-06-01,996.0,1001.1,2017-06-28T22:42:00,988.9,2017-06-02T02:43:00,27.1,34.8,2017-06-13T14:17:00,21.8,2017-06-15T09:55:00,84.0,47.0,2017-06-30T11:08:00,1.8,252.0,18.4,232.0,2017-06-14T02:51:00,612.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-07-01,996.4,1002.4,2017-07-17T22:22:00,965.8,2017-07-29T22:04:00,27.6,34.3,2017-07-23T12:50:00,22.3,2017-07-05T03:27:00,84.0,55.0,2017-07-23T17:02:00,0.9,9.0,20.5,235.0,2017-07-30T02:00:00,256.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-08-01,995.2,1002.4,2017-08-27T22:37:00,982.7,2017-08-22T03:45:00,28.6,37.0,2017-08-29T13:50:00,23.2,2017-08-28T05:41:00,80.0,44.0,2017-08-29T16:34:00,1.3,250.0,16.7,245.0,2017-08-10T13:16:00,45.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-09-01,997.9,1003.3,2017-09-29T21:16:00,989.5,2017-09-01T14:40:00,27.5,36.0,2017-09-27T12:40:00,20.6,2017-09-18T06:12:00,83.0,34.0,2017-09-20T16:48:00,0.5,1.0,9.5,15.0,2017-09-13T09:17:00,69.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-10-01,1000.3,1011.1,2017-10-30T08:52:00,988.1,2017-10-14T04:46:00,24.6,36.3,2017-10-09T13:15:00,13.9,2017-10-31T04:51:00,78.0,44.0,2017-10-08T11:04:00,1.3,15.0,16.4,66.0,2017-10-13T07:18:00,34.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-11-01,1004.1,1011.3,2017-11-24T09:28:00,997.2,2017-11-18T03:25:00,21.1,31.6,2017-11-07T11:14:00,13.9,2017-11-01T06:11:00,87.0,54.0,2017-11-07T11:15:00,1.0,9.0,15.4,359.0,2017-11-18T18:58:00,44.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2017-12-01,1007.4,1015.3,2017-12-20T09:58:00,1002.2,2017-12-23T14:12:00,16.4,25.7,2017-12-14T13:17:00,8.4,2017-12-21T04:22:00,81.0,47.0,2017-12-21T13:41:00,1.2,37.0,14.9,32.0,2017-12-17T00:35:00,26.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
