,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2023-01-01,981.9,986.9,2023-01-18T06:43:00,971.4,2023-01-14T15:25:00,15.4,27.7,2023-01-13T14:21:00,6.0,2023-01-29T07:03:00,94,49,2023-01-30T14:06:00,2.0,8,16.3,49,2023-01-24T14:36:00,5.5,,,,,,,,,,,,,,,,,,,,,,,3.5,2023-01-02T00:00:00,,0,,,0,,1.0,0,,2023-01-10T02:00:00,,,0,,3,0,,,100,2023-01-30T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-02-01,981.2,991.0,2023-02-26T09:42:00,974.7,2023-02-06T15:14:00,16.5,31.9,2023-02-13T13:21:00,8.8,2023-02-01T01:21:00,92,47,2023-02-01T11:51:00,2.1,52,12.2,6,2023-02-18T13:02:00,7.5,,,,,,,,,,,,,,,,,,,,,,,7.5,2023-02-06T00:00:00,,0,,,0,,5.0,0,,2023-02-06T09:00:00,,,0,,1,0,,,100,2023-02-19T04:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-03-01,979.8,988.1,2023-03-04T09:11:00,970.2,2023-03-22T15:14:00,18.4,31.3,2023-03-23T14:14:00,8.9,2023-03-06T06:02:00,87,39,2023-03-05T12:51:00,2.1,7,13.9,227,2023-03-22T13:23:00,14.0,,,,,,,,,,,,,,,,,,,,,,,10.0,2023-03-26T00:00:00,,0,,,0,,3.0,0,,2023-03-26T06:00:00,,,0,,4,0,,,100,2023-03-01T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-04-01,975.9,982.9,2023-04-08T10:14:00,965.9,2023-04-20T04:11:00,21.6,29.4,2023-04-29T13:04:00,14.8,2023-04-08T21:53:00,94,57,2023-04-16T16:44:00,1.8,10,14.0,186,2023-04-20T02:58:00,220.5,,,,,,,,,,,,,,,,,,,,,,,148.5,2023-04-20T00:00:00,,0,,,0,,35.5,0,,2023-04-20T09:00:00,,,0,,7,0,,,100,2023-04-02T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-05-01,974.0,980.7,2023-05-02T08:32:00,961.1,2023-05-31T15:24:00,24.3,33.7,2023-05-30T12:45:00,17.2,2023-05-08T07:31:00,95,52,2023-05-06T13:12:00,1.9,16,14.0,2,2023-05-31T15:24:00,214.0,,,,,,,,,,,,,,,,,,,,,,,67.0,2023-05-19T00:00:00,,0,,,0,,28.5,0,,2023-05-23T02:00:00,,,0,,10,0,,,100,2023-05-27T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-06-01,972.4,977.4,2023-06-27T20:31:00,961.8,2023-06-01T04:43:00,26.5,33.3,2023-06-02T14:01:00,21.4,2023-06-27T05:15:00,96,60,2023-06-24T13:11:00,1.8,47,14.6,17,2023-06-01T11:16:00,138.0,,,,,,,,,,,,,,,,,,,,,,,54.5,2023-06-11T00:00:00,,0,,,0,,38.0,0,,2023-06-11T13:00:00,,,0,,20,0,,,100,2023-06-16T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-07-01,971.9,978.1,2023-07-02T22:13:00,958.6,2023-07-28T02:05:00,27.1,34.2,2023-07-17T13:10:00,21.1,2023-07-13T05:34:00,90,53,2023-07-07T15:31:00,2.0,194,11.8,299,2023-07-04T15:01:00,171.0,,,,,,,,,,,,,,,,,,,,,,,50.0,2023-07-16T00:00:00,,0,,,0,,32.5,0,,2023-07-17T19:00:00,,,0,,13,0,,,100,2023-07-01T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-08-01,969.3,974.1,2023-08-21T21:53:00,963.0,2023-08-30T15:34:00,27.0,33.8,2023-08-30T13:15:00,21.2,2023-08-27T05:32:00,95,66,2023-08-12T16:53:00,2.2,179,14.0,208,2023-08-04T00:50:00,359.0,,,,,,,,,,,,,,,,,,,,,,,102.5,2023-08-05T00:00:00,,0,,,0,,41.0,0,,2023-08-05T09:00:00,,,0,,19,0,,,100,2023-08-25T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2023-09-01,972.8,978.4,2023-09-16T09:51:00,952.2,2023-09-03T18:55:00,26.0,32.6,2023-09-29T14:52:00,20.9,2023-09-12T05:31:00,99,81,2023-09-19T12:51:00,1.4,2,10.1,208,2023-09-06T12:53:00,153.0,,,,,,,,,,,,,,,,,,,,,,,87.0,2023-09-05T00:00:00,,0,,,0,,47.5,0,,2023-09-05T17:00:00,,,0,,9,0,,,100,2023-09-24T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2023-10-01,977.2,983.1,2023-10-22T10:04:00,960.2,2023-10-05T13:32:00,23.9,32.6,2023-10-01T13:51:00,17.1,2023-10-26T06:19:00,98,74,2023-10-03T08:51:00,1.9,1,20.5,35,2023-10-04T23:18:00,32.0,,,,,,,,,,,,,,,,,,,,,,,10.0,2023-10-28T00:00:00,,0,,,0,,9.5,0,,2023-10-28T07:00:00,,,0,,5,0,,,100,2023-10-19T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
