,StnPres,Tx,RH,WS,WD,Precp,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-01-01 01:00:00,971.7,14.7,91,0.9,224.0,0.0,,,,,,
2023-01-01 02:00:00,971.3,14.2,93,0.8,193.0,0.0,,,,,,
2023-01-01 03:00:00,971.4,13.4,98,0.6,235.0,0.0,,,,,,
2023-01-01 04:00:00,971.4,13.6,97,0.9,148.0,0.0,,,,,,
2023-01-01 05:00:00,971.3,13.7,97,1.1,258.0,0.0,,,,,,
2023-01-01 06:00:00,971.8,13.4,99,0.5,55.0,0.0,,,,,,
2023-01-01 07:00:00,972.5,13.9,98,0.0,0.0,0.0,,,,,,
2023-01-01 08:00:00,973.0,14.4,96,0.0,0.0,0.0,,,,,,
2023-01-01 09:00:00,973.3,15.5,91,0.9,110.0,0.0,,,,,,
2023-01-01 10:00:00,973.2,16.9,90,0.4,51.0,0.5,,,,,,
2023-01-01 11:00:00,972.8,18.4,86,0.3,51.0,0.0,,,,,,
2023-01-01 12:00:00,972.3,17.1,90,1.1,6.0,0.0,,,,,,
2023-01-01 13:00:00,971.5,17.8,88,0.0,0.0,0.0,,,,,,
2023-01-01 14:00:00,971.1,17.9,86,0.9,304.0,0.0,,,,,,
2023-01-01 15:00:00,971.1,17.7,87,0.8,311.0,0.0,,,,,,
2023-01-01 16:00:00,971.1,18.0,87,0.4,8.0,0.0,,,,,,
2023-01-01 17:00:00,971.4,16.9,93,0.6,328.0,0.0,,,,,,
2023-01-01 18:00:00,971.3,16.5,96,1.0,294.0,0.0,,,,,,
2023-01-01 19:00:00,972.0,16.1,97,1.2,270.0,0.0,,,,,,
2023-01-01 20:00:00,971.8,15.9,98,1.9,99.0,0.0,,,,,,
2023-01-01 21:00:00,972.3,15.8,99,1.0,146.0,0.0,,,,,,
2023-01-01 22:00:00,972.7,15.5,100,0.1,0.0,0.0,,,,,,
2023-01-01 23:00:00,972.5,15.6,100,1.6,228.0,0.0,,,,,,
2023-01-02 00:00:00,972.6,15.4,100,0.5,228.0,0.0,,,,,,
