,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2025-01-01,1008.3,1009.6,2025-01-01T09:38:00,1006.5,2025-01-01T14:40:00,16.3,18.4,2025-01-01T11:47:00,14.7,2025-01-01T05:29:00,86.0,70.0,2025-01-01T01:11:00,0.3,323.0,2.0,301.0,2025-01-01T13:43:00,9.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-02,1007.9,1010.0,2025-01-02T10:05:00,1005.4,2025-01-02T14:45:00,17.3,19.7,2025-01-02T14:13:00,15.9,2025-01-02T06:46:00,91.0,77.0,2025-01-02T14:16:00,0.5,308.0,3.4,318.0,2025-01-02T05:52:00,8.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-03,1007.7,1009.3,2025-01-03T09:24:00,1005.8,2025-01-03T15:05:00,17.1,23.6,2025-01-03T14:06:00,12.1,2025-01-03T23:57:00,78.0,52.0,2025-01-03T13:50:00,1.1,92.0,7.6,331.0,2025-01-03T13:08:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-04,1008.5,1010.5,2025-01-04T09:28:00,1006.4,2025-01-04T15:19:00,17.8,26.3,2025-01-04T14:29:00,12.2,2025-01-04T00:01:00,79.0,49.0,2025-01-04T14:27:00,1.2,84.0,4.5,331.0,2025-01-04T13:49:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-05,1009.3,1011.4,2025-01-05T01:16:00,1006.7,2025-01-05T14:43:00,17.3,22.8,2025-01-05T13:34:00,14.1,2025-01-05T03:40:00,86.0,65.0,2025-01-05T13:35:00,1.0,311.0,6.5,308.0,2025-01-05T15:01:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-06,1008.3,1010.1,2025-01-06T08:14:00,1005.6,2025-01-06T16:53:00,16.7,24.2,2025-01-06T14:07:00,11.3,2025-01-06T23:07:00,77.0,43.0,2025-01-06T14:08:00,1.5,93.0,7.7,302.0,2025-01-06T13:04:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-07,1009.3,1010.9,2025-01-07T09:27:00,1007.9,2025-01-07T13:55:00,16.8,24.8,2025-01-07T14:20:00,10.9,2025-01-07T04:12:00,75.0,46.0,2025-01-07T13:37:00,1.0,88.0,4.5,298.0,2025-01-07T14:24:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-08,1009.9,1011.7,2025-01-08T23:06:00,1007.5,2025-01-08T14:38:00,17.3,24.3,2025-01-08T14:16:00,14.0,2025-01-08T04:00:00,77.0,41.0,2025-01-08T14:18:00,1.0,80.0,6.0,284.0,2025-01-08T15:05:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-09,1011.4,1015.3,2025-01-09T23:48:00,1008.8,2025-01-09T14:17:00,16.7,21.6,2025-01-09T13:04:00,13.4,2025-01-09T23:12:00,74.0,55.0,2025-01-09T12:53:00,1.2,313.0,5.6,316.0,2025-01-09T17:19:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-10,1016.0,1018.1,2025-01-10T08:26:00,1013.5,2025-01-10T14:54:00,14.3,19.3,2025-01-10T13:20:00,11.5,2025-01-10T06:46:00,66.0,49.0,2025-01-10T14:06:00,1.6,293.0,7.1,293.0,2025-01-10T11:45:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-11,1016.6,1018.1,2025-01-11T08:54:00,1014.6,2025-01-11T15:11:00,14.3,19.3,2025-01-11T11:27:00,11.0,2025-01-11T07:12:00,73.0,53.0,2025-01-11T12:34:00,1.2,286.0,7.1,323.0,2025-01-11T13:30:00,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-12,1015.1,1017.3,2025-01-12T00:01:00,1011.8,2025-01-12T15:06:00,13.7,21.0,2025-01-12T14:01:00,7.8,2025-01-12T23:52:00,66.0,30.0,2025-01-12T16:47:00,1.4,304.0,8.2,320.0,2025-01-12T16:21:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-13,1013.4,1015.8,2025-01-13T07:53:00,1010.5,2025-01-13T15:02:00,14.5,24.6,2025-01-13T15:05:00,6.7,2025-01-13T06:16:00,70.0,31.0,2025-01-13T13:01:00,1.4,86.0,4.9,338.0,2025-01-13T14:06:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-14,1013.0,1014.7,2025-01-14T08:38:00,1010.0,2025-01-14T14:59:00,16.7,25.0,2025-01-14T13:04:00,9.8,2025-01-14T06:29:00,75.0,36.0,2025-01-14T13:01:00,1.2,82.0,4.9,276.0,2025-01-14T13:28:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-01-15,1013.4,1014.9,2025-01-15T01:40:00,1011.4,2025-01-15T14:46:00,14.3,17.5,2025-01-15T11:38:00,10.1,2025-01-15T23:07:00,87.0,71.0,2025-01-15T15:51:00,1.1,120.0,6.9,71.0,2025-01-15T16:04:00,7.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
