,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2025-02-05,-99.8,1016.8,2025-02-05T00:34:00,1012.6,2025-02-05T14:46:00,-99.8,17.8,2025-02-05T15:24:00,10.4,2025-02-05T06:48:00,-99.8,45.0,2025-02-05T10:26:00,-99.8,-99.8,7.9,352.0,2025-02-05T14:56:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-06,-99.8,1016.0,2025-02-06T08:58:00,1012.0,2025-02-06T14:01:00,-99.8,19.1,2025-02-06T12:21:00,13.7,2025-02-06T00:34:00,-99.8,54.0,2025-02-06T14:13:00,-99.8,-99.8,7.2,10.0,2025-02-06T22:27:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-07,-99.8,1019.5,2025-02-07T23:19:00,1014.3,2025-02-07T04:46:00,-99.8,15.9,2025-02-07T00:01:00,11.5,2025-02-07T23:58:00,-99.8,63.0,2025-02-07T18:01:00,-99.8,-99.8,19.4,27.0,2025-02-07T19:44:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-08,-99.8,1021.0,2025-02-08T10:02:00,1017.7,2025-02-08T15:15:00,-99.8,11.8,2025-02-08T09:24:00,9.0,2025-02-08T20:00:00,-99.8,57.0,2025-02-08T13:50:00,-99.8,-99.8,21.4,39.0,2025-02-08T10:40:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-09,-99.8,1021.5,2025-02-09T08:09:00,1015.8,2025-02-09T15:05:00,-99.8,14.4,2025-02-09T11:35:00,10.0,2025-02-09T23:06:00,-99.8,59.0,2025-02-09T11:41:00,-99.8,-99.8,14.9,31.0,2025-02-09T17:15:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-10,-99.8,1019.7,2025-02-10T08:47:00,1015.2,2025-02-10T15:28:00,-99.8,18.7,2025-02-10T13:37:00,8.8,2025-02-10T05:18:00,-99.8,59.0,2025-02-10T10:02:00,-99.8,-99.8,11.6,350.0,2025-02-10T15:13:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-11,-99.8,1017.5,2025-02-11T08:27:00,1012.8,2025-02-11T15:58:00,-99.8,18.1,2025-02-11T11:53:00,11.5,2025-02-11T06:48:00,-99.8,71.0,2025-02-11T09:05:00,-99.8,-99.8,10.0,358.0,2025-02-11T15:11:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-12,-99.8,1015.9,2025-02-12T08:45:00,1012.2,2025-02-12T14:50:00,-99.8,19.0,2025-02-12T13:41:00,14.7,2025-02-12T00:34:00,-99.8,86.0,2025-02-12T13:35:00,-99.8,-99.8,8.3,355.0,2025-02-12T19:06:00,21.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-13,-99.8,1016.8,2025-02-13T09:50:00,1012.4,2025-02-13T15:28:00,-99.8,16.9,2025-02-13T01:24:00,13.3,2025-02-13T09:12:00,-99.8,75.0,2025-02-13T14:56:00,-99.8,-99.8,14.5,32.0,2025-02-13T17:07:00,24.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-14,-99.8,1015.3,2025-02-14T08:20:00,1011.6,2025-02-14T15:18:00,-99.8,18.2,2025-02-14T12:02:00,14.3,2025-02-14T03:30:00,-99.8,77.0,2025-02-14T12:03:00,-99.8,-99.8,9.6,2.0,2025-02-14T14:28:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-15,-99.8,1013.2,2025-02-15T00:14:00,1008.7,2025-02-15T14:54:00,-99.8,18.6,2025-02-15T15:13:00,14.8,2025-02-15T02:29:00,-99.8,83.0,2025-02-15T14:22:00,-99.8,-99.8,7.0,353.0,2025-02-15T16:18:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-16,-99.8,1015.4,2025-02-16T22:56:00,1011.1,2025-02-16T14:55:00,-99.8,19.9,2025-02-16T11:45:00,14.6,2025-02-16T00:57:00,-99.8,79.0,2025-02-16T14:12:00,-99.8,-99.8,12.7,354.0,2025-02-16T14:44:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-17,-99.8,1017.5,2025-02-17T23:16:00,1013.1,2025-02-17T14:48:00,-99.8,20.5,2025-02-17T10:25:00,15.0,2025-02-17T06:58:00,-99.8,43.0,2025-02-17T10:02:00,-99.8,-99.8,15.9,7.0,2025-02-17T14:31:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-18,-99.8,1019.3,2025-02-18T09:00:00,1015.2,2025-02-18T15:18:00,-99.8,18.5,2025-02-18T12:13:00,14.1,2025-02-18T23:57:00,-99.8,69.0,2025-02-18T12:07:00,-99.8,-99.8,17.5,1.0,2025-02-18T14:45:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-19,-99.8,1019.3,2025-02-19T09:27:00,1015.4,2025-02-19T13:34:00,-99.8,20.2,2025-02-19T12:08:00,13.5,2025-02-19T02:12:00,-99.8,63.0,2025-02-19T12:09:00,-99.8,-99.8,9.9,350.0,2025-02-19T14:39:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-20,-99.8,1019.4,2025-02-20T07:40:00,1015.6,2025-02-20T16:12:00,-99.8,18.1,2025-02-20T09:57:00,15.0,2025-02-20T00:01:00,-99.8,80.0,2025-02-20T09:58:00,-99.8,-99.8,10.6,350.0,2025-02-20T13:32:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-21,-99.8,1020.3,2025-02-21T22:29:00,1017.1,2025-02-21T15:59:00,-99.8,16.0,2025-02-21T12:23:00,13.4,2025-02-21T06:21:00,-99.8,81.0,2025-02-21T19:29:00,-99.8,-99.8,15.7,22.0,2025-02-21T15:32:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-22,-99.8,1021.1,2025-02-22T22:49:00,1015.9,2025-02-22T14:11:00,-99.8,18.9,2025-02-22T09:40:00,13.9,2025-02-22T04:50:00,-99.8,66.0,2025-02-22T09:40:00,-99.8,-99.8,14.9,354.0,2025-02-22T14:44:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-23,-99.8,1023.7,2025-02-23T09:44:00,1019.2,2025-02-23T02:47:00,-99.8,16.1,2025-02-23T14:44:00,12.7,2025-02-23T06:02:00,-99.8,78.0,2025-02-23T21:13:00,-99.8,-99.8,18.4,32.0,2025-02-23T23:54:00,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-24,-99.8,1026.0,2025-02-24T09:07:00,1020.7,2025-02-24T16:43:00,-99.8,15.9,2025-02-24T13:19:00,12.4,2025-02-24T22:07:00,-99.8,60.0,2025-02-24T14:48:00,-99.8,-99.8,18.4,36.0,2025-02-24T07:29:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-25,-99.8,1023.9,2025-02-25T08:40:00,1019.7,2025-02-25T14:14:00,-99.8,18.9,2025-02-25T13:08:00,11.5,2025-02-25T05:19:00,-99.8,62.0,2025-02-25T13:10:00,-99.8,-99.8,9.0,352.0,2025-02-25T16:17:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-26,-99.8,1022.2,2025-02-26T00:01:00,1016.6,2025-02-26T15:57:00,-99.8,17.9,2025-02-26T13:15:00,14.1,2025-02-26T00:01:00,-99.8,83.0,2025-02-26T13:12:00,-99.8,-99.8,10.3,356.0,2025-02-26T15:18:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-27,-99.8,1018.5,2025-02-27T09:54:00,1013.8,2025-02-27T17:59:00,-99.8,20.6,2025-02-27T16:47:00,13.6,2025-02-27T08:46:00,-99.8,72.0,2025-02-27T16:48:00,-99.8,-99.8,7.1,358.0,2025-02-27T11:22:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-02-28,-99.8,1016.0,2025-02-28T08:45:00,1012.4,2025-02-28T16:17:00,-99.8,23.0,2025-02-28T15:26:00,15.0,2025-02-28T06:25:00,-99.8,62.0,2025-02-28T15:13:00,-99.8,-99.8,5.6,347.0,2025-02-28T15:07:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-01,-99.8,1014.8,2025-03-01T09:06:00,1009.5,2025-03-01T15:18:00,-99.8,27.4,2025-03-01T16:24:00,16.7,2025-03-01T06:26:00,-99.8,53.0,2025-03-01T16:21:00,-99.8,-99.8,8.2,352.0,2025-03-01T11:57:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-02,-99.8,1011.8,2025-03-02T08:19:00,1007.2,2025-03-02T15:49:00,-99.8,27.2,2025-03-02T12:44:00,19.2,2025-03-02T05:42:00,-99.8,56.0,2025-03-02T11:46:00,-99.8,-99.8,4.5,310.0,2025-03-02T12:28:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-02,-99.8,1011.8,2025-03-02T08:19:00,1007.2,2025-03-02T15:49:00,-99.8,27.2,2025-03-02T12:44:00,19.2,2025-03-02T05:42:00,-99.8,56.0,2025-03-02T11:46:00,-99.8,-99.8,4.5,310.0,2025-03-02T12:28:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-03,-99.8,1010.0,2025-03-03T23:09:00,1004.6,2025-03-03T15:05:00,-99.8,28.4,2025-03-03T14:49:00,18.2,2025-03-03T23:40:00,-99.8,69.0,2025-03-03T14:47:00,-99.8,-99.8,8.7,233.0,2025-03-03T15:38:00,1.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-04,-99.8,1010.7,2025-03-04T23:54:00,1004.5,2025-03-04T14:29:00,-99.8,27.1,2025-03-04T09:53:00,16.5,2025-03-04T16:38:00,-99.8,62.0,2025-03-04T09:52:00,-99.8,-99.8,17.5,301.0,2025-03-04T16:33:00,39.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-05,-99.8,1012.9,2025-03-05T08:42:00,1007.7,2025-03-05T02:38:00,-99.8,19.7,2025-03-05T00:01:00,14.8,2025-03-05T14:14:00,-99.8,85.0,2025-03-05T23:33:00,-99.8,-99.8,14.2,37.0,2025-03-05T16:11:00,28.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-06,-99.8,1017.2,2025-03-06T20:45:00,1011.5,2025-03-06T00:09:00,-99.8,17.1,2025-03-06T00:01:00,12.5,2025-03-06T08:03:00,-99.8,78.0,2025-03-06T21:31:00,-99.8,-99.8,20.8,24.0,2025-03-06T16:49:00,1.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-07,-99.8,1016.9,2025-03-07T21:57:00,1012.9,2025-03-07T14:18:00,-99.8,17.6,2025-03-07T14:07:00,13.2,2025-03-07T00:01:00,-99.8,63.0,2025-03-07T12:06:00,-99.8,-99.8,15.7,31.0,2025-03-07T00:26:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-08,-99.8,1018.4,2025-03-08T08:20:00,1014.4,2025-03-08T15:40:00,-99.8,17.7,2025-03-08T11:18:00,12.6,2025-03-08T03:47:00,-99.8,68.0,2025-03-08T11:18:00,-99.8,-99.8,15.2,4.0,2025-03-08T13:14:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-09,-99.8,1019.8,2025-03-09T10:35:00,1015.2,2025-03-09T15:41:00,-99.8,18.8,2025-03-09T12:41:00,14.3,2025-03-09T00:56:00,-99.8,71.0,2025-03-09T09:26:00,-99.8,-99.8,14.9,355.0,2025-03-09T16:30:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-10,-99.8,1018.9,2025-03-10T09:07:00,1015.2,2025-03-10T15:16:00,-99.8,18.5,2025-03-10T12:45:00,15.6,2025-03-10T23:52:00,-99.8,81.0,2025-03-10T13:02:00,-99.8,-99.8,8.0,4.0,2025-03-10T04:27:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-11,-99.8,1016.5,2025-03-11T09:02:00,1009.8,2025-03-11T16:06:00,-99.8,25.6,2025-03-11T14:55:00,14.5,2025-03-11T05:48:00,-99.8,59.0,2025-03-11T14:50:00,-99.8,-99.8,7.2,346.0,2025-03-11T12:00:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-12,-99.8,1013.1,2025-03-12T09:46:00,1008.0,2025-03-12T17:03:00,-99.8,30.2,2025-03-12T15:27:00,17.7,2025-03-12T04:07:00,-99.8,46.0,2025-03-12T15:20:00,-99.8,-99.8,5.1,254.0,2025-03-12T15:51:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-13,-99.8,1013.3,2025-03-13T11:36:00,1009.1,2025-03-13T01:11:00,-99.8,23.5,2025-03-13T07:21:00,17.4,2025-03-13T11:41:00,-99.8,80.0,2025-03-13T00:36:00,-99.8,-99.8,11.6,24.0,2025-03-13T11:59:00,41.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-14,-99.8,1014.3,2025-03-14T09:33:00,1009.2,2025-03-14T16:13:00,-99.8,24.9,2025-03-14T14:12:00,17.1,2025-03-14T05:55:00,-99.8,68.0,2025-03-14T14:03:00,-99.8,-99.8,11.5,30.0,2025-03-14T10:13:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-15,-99.8,1013.2,2025-03-15T23:58:00,1008.2,2025-03-15T15:44:00,-99.8,23.8,2025-03-15T09:27:00,14.5,2025-03-15T23:34:00,-99.8,74.0,2025-03-15T15:58:00,-99.8,-99.8,13.8,37.0,2025-03-15T23:06:00,15.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-16,-99.8,1015.7,2025-03-16T10:05:00,1011.8,2025-03-16T02:47:00,-99.8,16.4,2025-03-16T13:12:00,13.1,2025-03-16T06:49:00,-99.8,40.0,2025-03-16T21:21:00,-99.8,-99.8,20.8,39.0,2025-03-16T15:10:00,2.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-17,-99.8,1018.5,2025-03-17T09:11:00,1013.4,2025-03-17T01:15:00,-99.8,14.3,2025-03-17T00:04:00,12.0,2025-03-17T21:51:00,-99.8,46.0,2025-03-17T00:04:00,-99.8,-99.8,17.3,18.0,2025-03-17T04:22:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-18,-99.8,1018.9,2025-03-18T11:06:00,1016.2,2025-03-18T03:10:00,-99.8,15.9,2025-03-18T12:33:00,10.0,2025-03-18T23:46:00,-99.8,39.0,2025-03-18T15:29:00,-99.8,-99.8,13.7,28.0,2025-03-18T11:45:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-19,-99.8,1020.9,2025-03-19T09:38:00,1017.6,2025-03-19T15:07:00,-99.8,19.4,2025-03-19T10:49:00,9.6,2025-03-19T00:12:00,-99.8,42.0,2025-03-19T10:40:00,-99.8,-99.8,13.2,358.0,2025-03-19T13:52:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-20,-99.8,1021.8,2025-03-20T08:01:00,1017.6,2025-03-20T14:53:00,-99.8,19.2,2025-03-20T10:27:00,11.5,2025-03-20T02:26:00,-99.8,43.0,2025-03-20T10:15:00,-99.8,-99.8,13.7,355.0,2025-03-20T13:48:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-21,-99.8,1020.2,2025-03-21T07:41:00,1016.0,2025-03-21T15:35:00,-99.8,21.3,2025-03-21T11:43:00,11.4,2025-03-21T06:11:00,-99.8,33.0,2025-03-21T09:12:00,-99.8,-99.8,10.8,357.0,2025-03-21T12:57:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-22,-99.8,1018.8,2025-03-22T07:56:00,1014.0,2025-03-22T15:40:00,-99.8,21.4,2025-03-22T10:56:00,13.4,2025-03-22T05:06:00,-99.8,43.0,2025-03-22T09:34:00,-99.8,-99.8,6.8,350.0,2025-03-22T16:22:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-23,-99.8,1016.1,2025-03-23T07:55:00,1010.8,2025-03-23T15:52:00,-99.8,23.9,2025-03-23T14:47:00,14.9,2025-03-23T05:57:00,-99.8,34.0,2025-03-23T14:00:00,-99.8,-99.8,5.1,143.0,2025-03-23T23:40:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2025-03-24,-99.8,1011.6,2025-03-24T00:01:00,1006.9,2025-03-24T15:57:00,-99.8,26.1,2025-03-24T11:18:00,16.9,2025-03-24T05:45:00,-99.8,40.0,2025-03-24T09:53:00,-99.8,-99.8,7.2,262.0,2025-03-24T12:24:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
