,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp
2013-01-01,1015.7,1017.8,2013-01-01 09:22:00,1014.2,2013-01-01 14:54:00,13.8,18.1,2013-01-01 15:02:00,9.1,2013-01-01 02:31:00,91,69,2013-01-01 14:54:00,1.8,345.0,4.4,343.0,2013-01-01 16:50:00,0.0
2013-01-02,1015.6,1017.5,2013-01-02 09:31:00,1014.2,2013-01-02 02:59:00,17.4,21.0,2013-01-02 14:50:00,14.1,2013-01-02 00:46:00,99,93,2013-01-02 14:50:00,3.9,2.0,12.0,5.0,2013-01-02 16:41:00,0.0
2013-01-03,1017.0,1018.4,2013-01-03 10:46:00,1015.5,2013-01-03 15:17:00,15.8,17.9,2013-01-03 10:33:00,13.6,2013-01-03 23:31:00,99,98,2013-01-03 16:17:00,5.5,8.0,11.8,10.0,2013-01-03 00:30:00,2.0
2013-01-04,1014.5,1017.5,2013-01-04 00:01:00,1011.8,2013-01-04 15:32:00,16.4,20.1,2013-01-04 13:16:00,13.5,2013-01-04 01:16:00,97,80,2013-01-04 13:16:00,4.4,4.0,10.3,22.0,2013-01-04 02:10:00,0.0
2013-01-05,1012.6,1014.4,2013-01-05 08:54:00,1010.3,2013-01-05 13:34:00,17.1,20.8,2013-01-05 12:10:00,15.4,2013-01-05 21:19:00,98,84,2013-01-05 11:46:00,4.9,4.0,11.3,355.0,2013-01-05 14:37:00,0.0
2013-01-06,1012.8,1015.0,2013-01-06 09:01:00,1010.2,2013-01-06 14:34:00,17.3,21.5,2013-01-06 10:46:00,14.2,2013-01-06 05:29:00,99,91,2013-01-06 10:34:00,4.2,8.0,10.5,2.0,2013-01-06 12:58:00,0.0
2013-01-07,1012.1,1014.7,2013-01-07 09:31:00,1009.3,2013-01-07 14:16:00,18.7,22.4,2013-01-07 12:31:00,17.2,2013-01-07 00:34:00,98,88,2013-01-07 12:31:00,4.4,7.0,9.3,7.0,2013-01-07 15:49:00,0.0
2013-01-08,1012.1,1014.4,2013-01-08 09:17:00,1010.1,2013-01-08 14:04:00,17.6,19.3,2013-01-08 12:37:00,16.1,2013-01-08 23:46:00,99,96,2013-01-08 12:37:00,4.5,6.0,8.5,7.0,2013-01-08 07:10:00,0.0
2013-01-09,1013.6,1014.9,2013-01-09 08:31:00,1011.5,2013-01-09 13:47:00,15.4,18.3,2013-01-09 11:02:00,14.4,2013-01-09 06:09:00,97,84,2013-01-09 11:02:00,6.0,9.0,12.5,9.0,2013-01-09 10:00:00,0.0
2013-01-10,1014.5,1016.5,2013-01-10 08:36:00,1013.0,2013-01-10 15:20:00,16.0,19.5,2013-01-10 13:42:00,13.9,2013-01-10 23:48:00,90,75,2013-01-10 12:18:00,4.8,8.0,9.4,9.0,2013-01-10 04:00:00,0.0
