,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2015-01-01,1019.2,1025.3,2015-01-02T09:25:00,1011.7,2015-01-06T13:13:00,16.2,23.5,2015-01-06T11:31:00,9.6,2015-01-24T06:35:00,77.0,41.0,2015-01-22T23:52:00,3.3,25.0,16.9,23.0,2015-01-30T18:49:00,9.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-02-01,1018.1,1025.8,2015-02-01T09:22:00,1011.6,2015-02-25T15:41:00,17.1,26.3,2015-02-26T09:38:00,8.6,2015-02-13T06:42:00,81.0,39.0,2015-02-15T10:21:00,2.9,23.0,17.7,30.0,2015-02-05T14:27:00,6.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-03-01,1016.6,1024.3,2015-03-25T10:13:00,1008.9,2015-03-03T14:15:00,20.0,31.5,2015-03-19T10:20:00,13.2,2015-03-13T00:41:00,84.0,45.0,2015-03-19T10:11:00,2.6,23.0,15.9,352.0,2015-03-23T12:51:00,4.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-04-01,1013.4,1019.7,2015-04-11T21:11:00,1006.5,2015-04-02T15:24:00,23.5,33.4,2015-04-19T13:01:00,12.0,2015-04-15T05:21:00,83.0,16.0,2015-04-14T09:35:00,2.6,7.0,16.0,17.0,2015-04-08T01:52:00,57.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-05-01,1009.3,1014.0,2015-05-15T09:21:00,1004.0,2015-05-28T15:51:00,26.5,33.2,2015-05-15T10:11:00,21.7,2015-05-05T05:02:00,93.0,61.0,2015-05-02T11:34:00,2.0,2.0,11.6,350.0,2015-05-10T13:34:00,403.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-06-01,1008.0,1011.8,2015-06-03T09:21:00,1003.6,2015-06-17T16:53:00,29.0,34.5,2015-06-11T12:22:00,23.6,2015-06-01T05:05:00,84.0,0.0,2015-06-13T21:12:00,2.0,156.0,12.4,217.0,2015-06-24T16:50:00,64.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-07-01,1004.8,1013.6,2015-07-28T21:51:00,995.0,2015-07-10T18:14:00,28.3,34.1,2015-07-28T13:17:00,23.6,2015-07-22T07:16:00,85.0,52.0,2015-07-21T14:15:00,2.5,355.0,16.7,5.0,2015-07-10T12:17:00,74.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-08-01,1005.0,1013.1,2015-08-02T07:36:00,963.2,2015-08-08T06:23:00,27.6,35.0,2015-08-10T12:37:00,22.9,2015-08-30T06:23:00,89.0,51.0,2015-08-03T08:51:00,2.6,172.0,37.3,354.0,2015-08-08T04:43:00,394.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-09-01,1009.0,1015.2,2015-09-17T09:47:00,980.2,2015-09-28T20:32:00,27.0,33.0,2015-09-05T12:46:00,21.3,2015-09-19T05:33:00,86.0,45.0,2015-09-10T09:42:00,2.5,5.0,33.4,328.0,2015-09-28T20:37:00,255.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-10-01,1012.8,1021.0,2015-10-31T09:03:00,1002.1,2015-10-20T01:32:00,25.1,32.5,2015-10-01T09:51:00,19.5,2015-10-14T04:41:00,85.0,54.0,2015-10-12T12:03:00,2.4,22.0,16.1,26.0,2015-10-09T16:01:00,30.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-11-01,1016.3,1023.6,2015-11-28T09:22:00,1011.9,2015-11-23T15:11:00,23.6,32.4,2015-11-18T11:42:00,13.0,2015-11-28T05:33:00,88.0,39.0,2015-11-26T20:59:00,2.4,11.0,16.1,20.0,2015-11-26T09:52:00,1.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-12-01,1018.8,1026.3,2015-12-28T08:57:00,1010.7,2015-12-10T03:05:00,19.2,28.3,2015-12-23T12:51:00,11.3,2015-12-17T18:51:00,88.0,48.0,2015-12-17T14:13:00,3.2,22.0,16.1,48.0,2015-12-17T19:28:00,40.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
