,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2020-01-01,848.6,855.8,2020-01-01T09:23:00,842.2,2020-01-27T04:54:00,11.3,20.7,2020-01-07T09:51:00,0.7,2020-01-31T00:15:00,75,9,2020-01-13T21:25:00,0.9,101,10.1,174,2020-01-27T20:56:00,32.5,,,,,,,,,,,,,,,,,,,,,,,24.0,2020-01-26T00:00:00,,0,,,0,,5.5,0,,2020-01-26T09:00:00,,,0,,3,0,,,99,2020-01-01T06:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-02-01,850.3,856.0,2020-02-21T10:06:00,845.4,2020-02-29T15:04:00,12.2,24.1,2020-02-16T12:31:00,1.4,2020-02-01T04:06:00,77,19,2020-02-01T06:02:00,1.0,103,9.6,169,2020-02-16T12:10:00,28.5,,,,,,,,,,,,,,,,,,,,,,,19.5,2020-02-13T00:00:00,,0,,,0,,5.5,0,,2020-02-13T16:00:00,,,0,,4,0,,,98,2020-02-13T21:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-03-01,847.5,850.8,2020-03-17T08:36:00,841.5,2020-03-09T15:23:00,15.0,26.2,2020-03-27T11:53:00,4.9,2020-03-16T05:34:00,82,29,2020-03-09T10:46:00,0.9,60,11.7,146,2020-03-09T11:14:00,119.0,,,,,,,,,,,,,,,,,,,,,,,37.5,2020-03-27T00:00:00,,0,,,0,,17.0,0,,2020-03-27T17:00:00,,,0,,12,0,,,99,2020-03-15T05:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-04-01,847.9,852.7,2020-04-02T10:18:00,843.7,2020-04-12T14:37:00,14.8,27.3,2020-04-19T12:41:00,3.8,2020-04-13T05:37:00,84,15,2020-04-16T07:13:00,0.7,85,8.0,174,2020-04-19T10:25:00,104.5,,,,,,,,,,,,,,,,,,,,,,,32.0,2020-04-06T00:00:00,,0,,,0,,12.5,0,,2020-04-06T21:00:00,,,0,,13,0,,,98,2020-04-02T07:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-05-01,845.3,849.1,2020-05-31T09:35:00,839.4,2020-05-22T17:24:00,18.7,29.0,2020-05-03T11:37:00,13.5,2020-05-01T02:14:00,86,18,2020-05-03T11:22:00,0.7,50,9.6,162,2020-05-20T16:18:00,522.0,,,,,,,,,,,,,,,,,,,,,,,200.0,2020-05-22T00:00:00,,0,,,0,,27.0,0,,2020-05-22T03:00:00,,,0,,21,0,,,99,2020-05-23T09:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-06-01,845.8,850.3,2020-06-14T21:41:00,842.6,2020-06-30T16:36:00,19.7,27.4,2020-06-13T10:42:00,14.3,2020-06-09T20:03:00,86,42,2020-06-03T06:58:00,0.7,58,8.1,146,2020-06-06T07:49:00,188.0,,,,,,,,,,,,,,,,,,,,,,,42.5,2020-06-07T00:00:00,,0,,,0,,19.0,0,,2020-06-23T17:00:00,,,0,,17,0,,,99,2020-06-14T02:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-07-01,845.6,849.1,2020-07-21T22:21:00,842.2,2020-07-15T03:52:00,19.9,27.8,2020-07-19T12:15:00,14.0,2020-07-26T23:40:00,87,46,2020-07-10T08:00:00,0.7,88,10.3,13,2020-07-19T14:10:00,415.5,,,,,,,,,,,,,,,,,,,,,,,99.5,2020-07-26T00:00:00,,0,,,0,,77.0,0,,2020-07-26T18:00:00,,,0,,26,0,,,98,2020-07-01T04:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-08-01,844.3,851.3,2020-08-12T21:25:00,839.4,2020-08-27T13:34:00,19.5,27.5,2020-08-01T12:07:00,14.5,2020-08-13T05:39:00,90,48,2020-08-18T10:01:00,0.8,21,11.2,121,2020-08-28T01:53:00,274.5,,,,,,,,,,,,,,,,,,,,,,,63.5,2020-08-27T00:00:00,,0,,,0,,27.0,0,,2020-08-19T18:00:00,,,0,,26,0,,,99,2020-08-30T06:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-09-01,845.6,850.5,2020-09-19T08:55:00,838.7,2020-09-01T05:09:00,19.0,27.0,2020-09-18T11:54:00,13.2,2020-09-06T20:39:00,89,34,2020-09-07T12:24:00,0.7,65,6.7,58,2020-09-14T11:55:00,200.0,,,,,,,,,,,,,,,,,,,,,,,47.0,2020-09-18T00:00:00,,0,,,0,,30.0,0,,2020-09-18T20:00:00,,,0,,17,0,,,99,2020-09-26T07:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2020-10-01,846.7,851.5,2020-10-29T08:57:00,841.3,2020-10-22T04:03:00,18.2,27.4,2020-10-12T12:23:00,12.3,2020-10-31T20:05:00,88,46,2020-10-11T10:41:00,0.6,54,5.3,74,2020-10-16T14:58:00,46.0,,,,,,,,,,,,,,,,,,,,,,,11.5,2020-10-17T00:00:00,,0,,,0,,5.0,0,,2020-10-17T17:00:00,,,0,,12,0,,,99,2020-10-22T02:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
