,StnPres,Tx,RH,WS,WD,WSGust,WDGust,Precp,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2022-01-01 01:00:00,921.3,11.7,100,0.7,256.0,,,0.0,,,,,,
2022-01-01 02:00:00,921.0,12.6,97,0.9,241.0,,,0.0,,,,,,
2022-01-01 03:00:00,920.8,12.3,98,0.4,103.0,,,0.0,,,,,,
2022-01-01 04:00:00,920.7,12.3,99,1.0,208.0,,,0.0,,,,,,
2022-01-01 05:00:00,920.8,12.7,96,0.7,63.0,,,0.0,,,,,,
2022-01-01 06:00:00,921.1,12.9,96,0.6,165.0,,,0.0,,,,,,
2022-01-01 07:00:00,921.3,13.6,91,1.0,130.0,,,0.0,,,,,,
2022-01-01 08:00:00,921.8,14.6,87,0.4,106.0,,,0.0,,,,,,
2022-01-01 09:00:00,922.3,15.3,84,0.5,66.0,,,0.0,,,,,,
2022-01-01 10:00:00,922.6,15.1,89,1.2,12.0,,,0.0,,,,,,
2022-01-01 11:00:00,922.4,15.1,85,1.1,47.0,,,0.0,,,,,,
2022-01-01 12:00:00,921.6,15.9,74,0.7,30.0,,,0.0,,,,,,
2022-01-01 13:00:00,920.7,16.7,70,1.3,274.0,,,0.0,,,,,,
2022-01-01 14:00:00,920.1,17.3,66,1.5,355.0,,,0.0,,,,,,
2022-01-01 15:00:00,919.8,16.7,68,1.1,4.0,,,0.0,,,,,,
2022-01-01 16:00:00,919.9,16.6,67,0.8,87.0,,,0.0,,,,,,
2022-01-01 17:00:00,920.0,15.8,70,0.0,0.0,,,0.0,,,,,,
2022-01-01 18:00:00,920.3,14.5,68,0.7,37.0,,,0.0,,,,,,
2022-01-01 19:00:00,920.4,13.3,76,0.2,0.0,,,0.0,,,,,,
2022-01-01 20:00:00,920.5,13.1,75,1.2,160.0,,,0.0,,,,,,
2022-01-01 21:00:00,920.2,14.5,79,1.2,95.0,,,0.0,,,,,,
2022-01-01 22:00:00,920.2,14.7,72,1.0,91.0,,,0.0,,,,,,
2022-01-01 23:00:00,919.9,13.8,73,1.0,88.0,,,0.0,,,,,,
2022-01-02 00:00:00,919.8,14.3,65,0.2,0.0,,,0.0,,,,,,
2022-01-02 01:00:00,919.6,13.7,69,0.1,0.0,,,0.0,,,,,,
2022-01-02 02:00:00,919.1,13.8,67,1.3,241.0,,,0.0,,,,,,
2022-01-02 03:00:00,918.8,13.6,69,1.5,225.0,,,0.0,,,,,,
2022-01-02 04:00:00,918.8,13.1,73,1.3,223.0,,,0.0,,,,,,
2022-01-02 05:00:00,918.9,13.3,73,0.7,148.0,,,0.0,,,,,,
2022-01-02 06:00:00,919.4,12.6,75,1.1,143.0,,,0.0,,,,,,
2022-01-02 07:00:00,919.8,12.9,74,1.1,105.0,,,0.0,,,,,,
2022-01-02 08:00:00,920.1,13.1,75,0.6,124.0,,,0.0,,,,,,
2022-01-02 09:00:00,920.4,17.5,54,1.2,38.0,,,0.0,,,,,,
2022-01-02 10:00:00,920.5,17.9,58,1.8,360.0,,,0.0,,,,,,
2022-01-02 11:00:00,920.1,18.3,49,2.0,4.0,,,0.0,,,,,,
2022-01-02 12:00:00,919.4,18.6,51,2.5,23.0,,,0.0,,,,,,
2022-01-02 13:00:00,918.6,18.9,49,2.0,310.0,,,0.0,,,,,,
2022-01-02 14:00:00,918.2,18.9,54,1.3,324.0,,,0.0,,,,,,
2022-01-02 15:00:00,917.8,19.4,56,1.5,294.0,,,0.0,,,,,,
2022-01-02 16:00:00,917.9,18.0,71,1.5,279.0,,,0.0,,,,,,
2022-01-02 17:00:00,918.4,15.7,86,1.5,243.0,,,0.0,,,,,,
2022-01-02 18:00:00,918.9,14.1,94,0.7,184.0,,,0.0,,,,,,
2022-01-02 19:00:00,918.9,14.3,90,0.8,152.0,,,0.0,,,,,,
2022-01-02 20:00:00,919.2,14.8,86,0.9,131.0,,,0.0,,,,,,
2022-01-02 21:00:00,919.2,13.9,87,0.9,217.0,,,0.0,,,,,,
2022-01-02 22:00:00,919.2,14.2,84,0.5,140.0,,,0.0,,,,,,
2022-01-02 23:00:00,919.2,14.2,85,0.9,155.0,,,0.0,,,,,,
2022-01-03 00:00:00,919.2,15.1,80,0.9,263.0,,,0.0,,,,,,
2022-01-03 01:00:00,919.2,14.1,86,0.7,175.0,,,0.0,,,,,,
2022-01-03 02:00:00,918.8,15.0,80,1.1,259.0,,,0.0,,,,,,
2022-01-03 03:00:00,918.4,14.3,84,0.7,196.0,,,0.0,,,,,,
2022-01-03 04:00:00,918.1,13.8,85,0.9,209.0,,,0.0,,,,,,
2022-01-03 05:00:00,918.1,13.6,85,0.6,159.0,,,0.0,,,,,,
2022-01-03 06:00:00,918.6,13.8,79,0.9,151.0,,,0.0,,,,,,
2022-01-03 07:00:00,918.9,13.9,79,1.2,136.0,,,0.0,,,,,,
2022-01-03 08:00:00,919.4,14.1,80,0.9,138.0,,,0.0,,,,,,
2022-01-03 09:00:00,919.6,18.5,59,1.2,69.0,,,0.0,,,,,,
2022-01-03 10:00:00,919.9,19.0,56,1.5,25.0,,,0.0,,,,,,
2022-01-03 11:00:00,919.7,18.5,64,1.6,55.0,,,0.0,,,,,,
2022-01-03 12:00:00,919.0,18.3,70,1.3,310.0,,,0.0,,,,,,
2022-01-03 13:00:00,918.2,19.0,54,1.6,310.0,,,0.0,,,,,,
2022-01-03 14:00:00,917.4,18.4,58,1.3,299.0,,,0.0,,,,,,
