,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-01-01,892.5,893.7,2023-01-01T09:53:00,891.1,2023-01-01T13:58:00,15.1,19.5,2023-01-01T11:42:00,12.7,2023-01-01T04:45:00,86.0,64.0,2023-01-01T11:41:00,1.0,94.0,5.0,279.0,2023-01-01T13:38:00,1.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02,892.5,894.3,2023-01-02T08:57:00,891.3,2023-01-02T16:02:00,13.9,15.6,2023-01-02T12:20:00,11.2,2023-01-02T23:48:00,98.0,81.0,2023-01-02T01:01:00,0.7,106.0,4.2,93.0,2023-01-02T21:38:00,12.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-03,891.8,892.7,2023-01-03T08:57:00,890.6,2023-01-03T16:17:00,13.9,19.4,2023-01-03T15:30:00,10.5,2023-01-03T03:05:00,88.0,62.0,2023-01-03T10:02:00,1.6,94.0,10.3,272.0,2023-01-03T11:37:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-04,892.0,893.3,2023-01-04T22:34:00,890.8,2023-01-04T13:30:00,14.7,21.2,2023-01-04T13:04:00,11.0,2023-01-04T05:34:00,76.0,42.0,2023-01-04T13:05:00,1.4,95.0,7.3,273.0,2023-01-04T13:39:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-05,892.6,894.3,2023-01-05T09:12:00,890.4,2023-01-05T14:52:00,14.5,21.6,2023-01-05T14:47:00,9.2,2023-01-05T06:12:00,69.0,34.0,2023-01-05T13:12:00,1.8,92.0,6.6,287.0,2023-01-05T12:50:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-06,891.7,893.8,2023-01-06T08:58:00,889.4,2023-01-06T15:35:00,14.8,21.8,2023-01-06T15:03:00,9.5,2023-01-06T06:20:00,70.0,43.0,2023-01-06T11:06:00,1.7,93.0,7.2,274.0,2023-01-06T13:13:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-07,890.1,891.7,2023-01-07T22:07:00,888.2,2023-01-07T14:23:00,15.3,22.3,2023-01-07T13:25:00,11.2,2023-01-07T05:59:00,73.0,43.0,2023-01-07T13:27:00,1.2,93.0,6.9,241.0,2023-01-07T14:25:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-08,891.2,892.6,2023-01-08T21:48:00,890.0,2023-01-08T04:03:00,14.9,20.9,2023-01-08T10:39:00,11.1,2023-01-08T07:33:00,76.0,48.0,2023-01-08T10:43:00,1.6,94.0,8.8,293.0,2023-01-08T13:59:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-09,890.7,892.0,2023-01-09T09:09:00,889.2,2023-01-09T15:30:00,14.9,19.9,2023-01-09T12:32:00,11.1,2023-01-09T06:56:00,76.0,55.0,2023-01-09T11:34:00,1.4,97.0,8.0,291.0,2023-01-09T14:07:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-10,889.3,891.0,2023-01-10T00:02:00,887.5,2023-01-10T15:20:00,15.1,18.9,2023-01-10T10:11:00,13.1,2023-01-10T07:32:00,92.0,71.0,2023-01-10T12:53:00,0.7,245.0,5.0,281.0,2023-01-10T10:51:00,3.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-11,888.7,890.2,2023-01-11T08:11:00,886.9,2023-01-11T15:24:00,16.4,21.0,2023-01-11T12:40:00,13.8,2023-01-11T07:12:00,85.0,57.0,2023-01-11T13:36:00,1.0,53.0,7.1,258.0,2023-01-11T14:16:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-12,887.9,889.2,2023-01-12T00:02:00,886.3,2023-01-12T14:47:00,16.7,21.2,2023-01-12T13:31:00,12.9,2023-01-12T07:21:00,84.0,61.0,2023-01-12T13:31:00,1.1,261.0,5.9,265.0,2023-01-12T17:10:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-13,886.1,888.0,2023-01-13T00:02:00,884.4,2023-01-13T14:50:00,17.3,23.7,2023-01-13T13:36:00,12.7,2023-01-13T07:32:00,77.0,53.0,2023-01-13T13:36:00,1.3,250.0,7.9,276.0,2023-01-13T12:16:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-14,884.2,885.8,2023-01-14T09:00:00,882.2,2023-01-14T15:51:00,17.4,25.1,2023-01-14T13:00:00,12.9,2023-01-14T07:05:00,74.0,44.0,2023-01-14T12:51:00,1.4,94.0,7.8,284.0,2023-01-14T13:12:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-15,884.8,886.7,2023-01-15T23:50:00,882.7,2023-01-15T13:55:00,16.3,22.4,2023-01-15T13:11:00,12.0,2023-01-15T07:02:00,72.0,46.0,2023-01-15T12:42:00,1.3,89.0,8.0,286.0,2023-01-15T14:29:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-16,888.1,890.1,2023-01-16T23:59:00,886.6,2023-01-16T15:21:00,14.1,18.1,2023-01-16T12:16:00,9.7,2023-01-17T00:00:00,84.0,56.0,2023-01-16T16:57:00,1.2,244.0,6.6,272.0,2023-01-16T12:41:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-17,890.3,892.2,2023-01-17T21:57:00,887.9,2023-01-17T14:37:00,13.2,21.0,2023-01-17T11:18:00,9.7,2023-01-17T00:06:00,79.0,31.0,2023-01-17T11:51:00,1.2,259.0,8.6,274.0,2023-01-17T15:12:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-18,891.5,893.1,2023-01-18T07:43:00,889.4,2023-01-18T15:20:00,12.6,19.0,2023-01-18T13:02:00,6.2,2023-01-18T06:54:00,68.0,39.0,2023-01-18T12:37:00,1.5,83.0,7.9,271.0,2023-01-18T13:41:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-19,890.9,892.6,2023-01-19T09:33:00,888.8,2023-01-19T15:01:00,13.8,21.4,2023-01-19T14:31:00,9.3,2023-01-19T06:57:00,65.0,33.0,2023-01-19T13:59:00,1.2,88.0,8.5,288.0,2023-01-19T15:15:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-20,890.7,892.6,2023-01-20T09:03:00,888.8,2023-01-20T13:19:00,14.7,23.2,2023-01-20T11:23:00,9.4,2023-01-20T00:22:00,61.0,27.0,2023-01-20T11:24:00,1.6,93.0,6.7,271.0,2023-01-20T16:07:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
