,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2021-01-01,1018.5,1024.9,2021-01-01T08:27:00,1009.0,2021-01-22T16:00:00,15.3,22.8,2021-01-23T14:33:00,7.9,2021-01-10T06:01:00,79,48,2021-01-09T11:07:00,4.1,2,20.0,16,2021-01-17T12:32:00,1.5,,,,,,,,,,,,,,,,,,,,,,,1.0,2021-01-12T00:00:00,,1,,,1,,0.5,1,,2021-01-07T09:00:00,,,0,,2,1,,,99,2021-01-23T04:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-02-01,1016.2,1024.1,2021-02-18T21:57:00,1007.6,2021-02-26T15:31:00,17.8,24.5,2021-02-26T15:14:00,11.1,2021-02-01T05:43:00,83,41,2021-02-18T23:27:00,3.1,7,16.6,11,2021-02-17T11:56:00,27.0,,,,,,,,,,,,,,,,,,,,,,,23.5,2021-02-11T00:00:00,,1,,,1,,7.5,1,,2021-02-11T05:00:00,,,0,,2,1,,,99,2021-02-11T06:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-03-01,1015.1,1022.3,2021-03-22T21:48:00,1004.9,2021-03-29T16:10:00,20.2,27.6,2021-03-28T09:24:00,13.5,2021-03-22T17:20:00,83,52,2021-03-25T03:13:00,3.3,2,19.2,9,2021-03-21T16:21:00,7.0,,,,,,,,,,,,,,,,,,,,,,,7.0,2021-03-24T00:00:00,,1,,,1,,2.0,1,,2021-03-24T04:00:00,,,0,,1,1,,,98,2021-03-12T07:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-04-01,1012.8,1019.9,2021-04-11T08:27:00,1004.6,2021-04-23T16:21:00,23.1,29.7,2021-04-01T12:27:00,16.8,2021-04-10T01:36:00,80,43,2021-04-06T10:18:00,3.2,8,15.7,6,2021-04-08T20:28:00,20.0,,,,,,,,,,,,,,,,,,,,,,,15.5,2021-04-29T00:00:00,,1,,,1,,6.5,1,,2021-04-29T07:00:00,,,0,,3,1,,,98,2021-04-29T07:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-05-01,1009.7,1016.1,2021-05-06T08:58:00,1003.2,2021-05-30T16:39:00,28.2,33.0,2021-05-24T11:49:00,20.7,2021-05-06T05:22:00,80,48,2021-05-01T10:26:00,2.5,188,17.1,6,2021-05-04T00:22:00,176.0,,,,,,,,,,,,,,,,,,,,,,,173.0,2021-05-30T00:00:00,,1,,,1,,65.5,1,,2021-05-30T17:00:00,,,0,,2,1,,,100,2021-05-30T16:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-06-01,1006.7,1012.3,2021-06-12T22:06:00,1000.9,2021-06-04T15:26:00,28.2,32.9,2021-06-02T09:49:00,23.2,2021-06-06T21:21:00,85,60,2021-06-10T14:50:00,2.1,144,11.0,249,2021-06-19T01:43:00,428.5,,,,,,,,,,,,,,,,,,,,,,,102.0,2021-06-28T00:00:00,,1,,,1,,39.0,1,,2021-06-16T05:00:00,,,0,,21,1,,,100,2021-06-22T14:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-07-01,1004.7,1013.1,2021-07-07T23:35:00,992.0,2021-07-23T16:40:00,29.0,33.3,2021-07-21T12:21:00,24.1,2021-07-31T09:54:00,84,60,2021-07-21T11:42:00,2.6,2,17.6,353,2021-07-22T13:02:00,194.0,,,,,,,,,,,,,,,,,,,,,,,62.5,2021-07-31T00:00:00,,1,,,1,,26.0,1,,2021-07-20T19:00:00,,,0,,13,0,,,100,2021-07-31T05:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-08-01,1006.9,1013.8,2021-08-16T09:59:00,994.8,2021-08-07T02:01:00,28.2,32.6,2021-08-28T10:12:00,23.8,2021-08-01T03:12:00,87,52,2021-08-20T11:13:00,1.8,3,17.1,196,2021-08-06T08:43:00,654.0,,,,,,,,,,,,,,,,,,,,,,,211.5,2021-08-06T00:00:00,,1,,,1,,56.5,1,,2021-08-01T08:00:00,,,0,,13,0,,,100,2021-08-05T06:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-09-01,1008.9,1014.9,2021-09-24T08:57:00,993.0,2021-09-12T04:22:00,29.2,33.5,2021-09-16T11:56:00,24.3,2021-09-15T01:19:00,82,57,2021-09-16T12:06:00,2.1,3,13.6,331,2021-09-12T12:49:00,20.5,,,,,,,,,,,,,,,,,,,,,,,9.0,2021-09-15T00:00:00,,1,,,1,,7.5,1,,2021-09-15T02:00:00,,,0,,8,1,,,98,2021-09-04T20:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-10-01,1011.6,1019.1,2021-10-29T08:56:00,993.6,2021-10-11T22:38:00,26.4,33.1,2021-10-11T13:05:00,20.4,2021-10-23T04:52:00,80,51,2021-10-19T14:47:00,2.8,1,18.9,345,2021-10-11T10:31:00,6.5,,,,,,,,,,,,,,,,,,,,,,,2.5,2021-10-12T00:00:00,,1,,,1,,1.0,1,,2021-10-14T11:00:00,,,0,,4,1,,,100,2021-10-28T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-11-01,1015.1,1020.2,2021-11-23T22:17:00,1008.1,2021-11-06T14:01:00,22.0,29.0,2021-11-06T09:19:00,14.7,2021-11-11T05:57:00,79,36,2021-11-11T10:55:00,3.4,2,16.7,359,2021-11-22T15:51:00,5.5,,,,,,,,,,,,,,,,,,,,,,,5.5,2021-11-13T00:00:00,,0,,,0,,2.5,0,,2021-11-13T05:00:00,,,0,,1,0,,,100,2021-11-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2021-12-01,1019.0,1026.7,2021-12-27T08:44:00,1011.1,2021-12-21T14:38:00,18.5,24.7,2021-12-16T15:55:00,11.5,2021-12-04T05:21:00,78,35,2021-12-04T10:22:00,4.0,5,20.5,2,2021-12-17T14:39:00,13.0,,,,,,,,,,,,,,,,,,,,,,,11.0,2021-12-21T00:00:00,,0,,,0,,3.0,0,,2021-12-21T17:00:00,,,0,,4,0,,,99,2021-12-10T06:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
