,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
1993-01-01,986.1,-9999.7,-99.8,-9999.7,-99.8,16.2,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,1.1,350.0,-99.7,-999.7,-99.8,18.0,182.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-02-01,985.4,-9999.7,-99.8,-9999.7,-99.8,18.4,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,1.2,350.0,-99.7,-999.7,-99.8,2.0,179.6,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-03-01,983.7,-9999.7,-99.8,-9999.7,-99.8,20.1,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,1.1,340.0,-99.7,-999.7,-99.8,67.5,131.4,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-04-01,981.3,-9999.7,-99.8,-9999.7,-99.8,22.7,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,1.1,350.0,-99.7,-999.7,-99.8,67.0,123.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-05-01,979.0,-9999.7,-99.8,-9999.7,-99.8,24.7,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,1.0,340.0,-99.7,-999.7,-99.8,362.0,115.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-06-01,977.1,-9999.7,-99.8,-9999.7,-99.8,25.1,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,0.7,350.0,-99.7,-999.7,-99.8,509.5,123.1,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-07-01,975.5,-9999.7,-99.8,-9999.7,-99.8,26.3,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,0.8,350.0,-99.7,-999.7,-99.8,165.5,157.2,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-08-01,976.0,-9999.7,-99.8,-9999.7,-99.8,26.0,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,0.8,350.0,-99.7,-999.7,-99.8,217.5,171.9,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-09-01,977.9,-9999.7,-99.8,-9999.7,-99.8,24.8,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,0.8,350.0,-99.7,-999.7,-99.8,141.5,175.2,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-10-01,981.8,-9999.7,-99.8,-9999.7,-99.8,23.4,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,0.7,350.0,-99.7,-999.7,-99.8,0.5,160.3,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-11-01,983.1,-9999.7,-99.8,-9999.7,-99.8,22.0,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,0.7,350.0,-99.7,-999.7,-99.8,41.5,135.7,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
1993-12-01,985.9,-9999.7,-99.8,-9999.7,-99.8,18.4,-99.7,-99.8,-99.7,-99.8,-99.8,-9997.0,-99.8,0.7,340.0,-99.7,-999.7,-99.8,10.0,163.4,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
