,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRad,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunShine,SunshineDuration.Totalf,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil5cm,WindDirection.Prevailingf,WindSpeed.Meanf
2016-01-01,1022.1,1024.1,2016-01-01T09:04:00,1020.1,2016-01-01T15:17:00,17.6,23.0,2016-01-01T14:03:00,13.2,2016-01-01T05:24:00,79,60.0,2016-01-01T12:29:00,2.5,4,10.4,335.0,2016-01-01T15:53:00,0.0,,,,,,,,,,,,,,,,,,,,,,89.0,2016-01-01T23:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-02,1019.9,1022.1,2016-01-03T00:00:00,1017.5,2016-01-02T15:42:00,18.9,22.2,2016-01-02T12:06:00,17.7,2016-01-02T07:00:00,88,69.0,2016-01-02T12:07:00,2.0,14,8.5,33.0,2016-01-02T11:14:00,2.0,,,,,,,,,,,,,,,,,,,,,,97.0,2016-01-02T23:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,1017.7,1019.9,2016-01-03T09:53:00,1015.3,2016-01-03T14:57:00,18.6,19.7,2016-01-03T16:23:00,17.9,2016-01-03T06:22:00,98,96.0,2016-01-03T05:13:00,1.8,4,6.5,335.0,2016-01-03T05:11:00,50.0,,,,,,,,,,,,,,,,,,,,,,99.0,2016-01-03T11:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,1016.5,1018.8,2016-01-04T09:28:00,1014.9,2016-01-04T15:45:00,20.9,24.6,2016-01-04T14:11:00,18.9,2016-01-04T06:22:00,92,80.0,2016-01-04T12:54:00,1.3,1,4.5,339.0,2016-01-04T13:32:00,0.0,,,,,,,,,,,,,,,,,,,,,,99.0,2016-01-04T03:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,1014.8,1016.3,2016-01-05T10:44:00,1013.0,2016-01-05T16:24:00,20.9,24.3,2016-01-05T13:17:00,19.1,2016-01-05T06:50:00,92,78.0,2016-01-05T12:52:00,1.3,2,6.4,323.0,2016-01-05T14:15:00,0.0,,,,,,,,,,,,,,,,,,,,,,98.0,2016-01-05T07:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,1015.5,1018.8,2016-01-06T09:31:00,1013.1,2016-01-06T04:05:00,19.4,23.2,2016-01-06T13:15:00,17.1,2016-01-07T00:00:00,90,78.0,2016-01-06T14:07:00,2.9,2,11.4,3.0,2016-01-06T17:19:00,6.0,,,,,,,,,,,,,,,,,,,,,,98.0,2016-01-06T09:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,1017.9,1019.9,2016-01-07T09:33:00,1016.5,2016-01-07T13:33:00,18.2,22.0,2016-01-07T13:06:00,16.8,2016-01-07T23:44:00,81,69.0,2016-01-07T13:06:00,3.1,5,12.1,332.0,2016-01-07T14:38:00,0.0,,,,,,,,,,,,,,,,,,,,,,87.0,2016-01-07T23:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,1017.2,1018.7,2016-01-08T22:49:00,1014.3,2016-01-08T14:56:00,17.5,21.0,2016-01-08T14:52:00,15.4,2016-01-08T23:26:00,82,67.0,2016-01-08T14:11:00,3.2,4,13.2,345.0,2016-01-08T18:29:00,0.5,,,,,,,,,,,,,,,,,,,,,,95.0,2016-01-08T05:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-09,1018.1,1020.0,2016-01-09T09:38:00,1016.1,2016-01-09T14:04:00,16.9,22.6,2016-01-09T13:42:00,13.6,2016-01-09T06:55:00,81,60.0,2016-01-09T13:43:00,2.5,4,9.6,350.0,2016-01-09T15:20:00,0.0,,,,,,,,,,,,,,,,,,,,,,93.0,2016-01-09T23:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10,1016.0,1018.7,2016-01-10T08:38:00,1013.8,2016-01-10T16:11:00,17.9,23.0,2016-01-10T12:57:00,14.4,2016-01-10T06:42:00,87,66.0,2016-01-10T12:19:00,2.6,6,9.4,338.0,2016-01-10T16:19:00,0.0,,,,,,,,,,,,,,,,,,,,,,94.0,2016-01-10T06:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
