,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2024-01-01,1013.7,1015.6,2024-01-01T09:45:00,1012.1,2024-01-01T15:06:00,19.5,26.0,2024-01-01T13:46:00,16.3,2024-01-01T23:33:00,64.0,43.0,2024-01-01T13:56:00,0.9,356.0,4.9,9.0,2024-01-01T15:41:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-02,1012.7,1014.5,2024-01-02T09:00:00,1009.9,2024-01-02T15:10:00,19.5,27.0,2024-01-02T13:55:00,14.9,2024-01-02T05:24:00,71.0,47.0,2024-01-02T13:56:00,0.4,348.0,4.8,353.0,2024-01-02T16:44:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-03,1013.0,1014.3,2024-01-03T23:20:00,1011.2,2024-01-03T14:29:00,18.4,23.3,2024-01-03T13:38:00,13.9,2024-01-04T00:00:00,74.0,57.0,2024-01-03T13:51:00,1.6,356.0,8.4,360.0,2024-01-03T11:58:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-04,1014.2,1016.0,2024-01-04T21:54:00,1012.6,2024-01-04T02:49:00,17.3,24.3,2024-01-04T15:36:00,12.0,2024-01-04T07:07:00,68.0,46.0,2024-01-04T15:36:00,0.5,339.0,4.0,343.0,2024-01-04T18:37:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-05,1015.0,1016.9,2024-01-05T09:30:00,1012.5,2024-01-05T13:39:00,18.9,26.1,2024-01-05T13:07:00,14.8,2024-01-05T01:04:00,71.0,40.0,2024-01-05T13:08:00,0.4,352.0,4.7,353.0,2024-01-05T16:20:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-06,1014.5,1016.7,2024-01-06T08:38:00,1011.8,2024-01-06T14:46:00,19.2,27.4,2024-01-06T14:19:00,13.8,2024-01-06T06:21:00,72.0,38.0,2024-01-06T14:19:00,0.5,341.0,5.8,5.0,2024-01-06T16:11:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-07,1015.6,1018.4,2024-01-07T09:48:00,1014.1,2024-01-07T14:51:00,18.8,26.2,2024-01-07T14:15:00,14.7,2024-01-07T05:32:00,68.0,40.0,2024-01-07T13:54:00,0.8,350.0,4.8,354.0,2024-01-07T16:33:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08,1013.8,1016.0,2024-01-08T08:47:00,1011.9,2024-01-08T15:18:00,19.0,25.4,2024-01-08T14:32:00,14.1,2024-01-08T06:13:00,69.0,43.0,2024-01-08T14:55:00,0.5,346.0,5.1,3.0,2024-01-08T16:24:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09,1011.0,1013.4,2024-01-09T00:06:00,1008.1,2024-01-09T15:21:00,20.5,27.5,2024-01-09T12:53:00,15.9,2024-01-09T03:55:00,75.0,45.0,2024-01-09T12:07:00,0.9,343.0,6.8,346.0,2024-01-09T12:25:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10,1012.2,1013.7,2024-01-10T21:05:00,1010.8,2024-01-10T14:54:00,18.8,25.0,2024-01-10T12:38:00,13.6,2024-01-10T23:57:00,67.0,46.0,2024-01-10T14:42:00,1.6,355.0,9.6,3.0,2024-01-10T13:49:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
