,StnPres,Tx,RH,WS,WD,Precp
2023-01-01 01:00:00,1019.0,16.9,95,0.9,360.0,0.0
2023-01-01 02:00:00,1019.1,16.8,97,0.8,352.0,0.0
2023-01-01 03:00:00,1018.8,16.7,99,0.4,41.0,0.0
2023-01-01 04:00:00,1018.6,16.6,99,0.5,55.0,0.0
2023-01-01 05:00:00,1018.7,16.4,99,1.1,355.0,0.0
2023-01-01 06:00:00,1019.2,16.6,99,0.4,2.0,0.0
2023-01-01 07:00:00,1019.7,16.8,99,1.1,5.0,0.0
2023-01-01 08:00:00,1020.1,17.3,99,1.1,25.0,0.0
2023-01-01 09:00:00,1020.7,17.8,96,1.3,28.0,0.0
2023-01-01 10:00:00,1020.4,18.9,91,2.0,25.0,0.0
2023-01-01 11:00:00,1019.9,19.8,87,1.4,11.0,0.0
2023-01-01 12:00:00,1019.3,20.1,85,1.5,1.0,0.0
2023-01-01 13:00:00,1018.3,20.0,88,3.2,342.0,0.0
2023-01-01 14:00:00,1018.0,19.6,88,4.1,344.0,0.0
2023-01-01 15:00:00,1017.5,19.3,89,2.2,355.0,0.0
2023-01-01 16:00:00,1017.6,18.6,92,3.3,2.0,0.0
2023-01-01 17:00:00,1018.0,18.3,94,2.9,355.0,0.0
2023-01-01 18:00:00,1018.5,18.0,96,2.0,358.0,0.0
2023-01-01 19:00:00,1018.9,17.9,97,1.9,3.0,0.0
2023-01-01 20:00:00,1019.7,18.0,96,2.6,2.0,0.0
2023-01-01 21:00:00,1019.6,18.0,96,1.9,33.0,0.0
2023-01-01 22:00:00,1019.9,18.1,96,1.8,15.0,0.0
2023-01-01 23:00:00,1019.7,18.1,96,2.0,5.0,0.0
2023-01-02 00:00:00,1019.8,18.1,96,1.8,22.0,0.0
