,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2014-01-01,1011.9,1018.6,2014-01-18T21:48:00,1003.8,2014-01-03T14:50:00,16.1,28.1,2014-01-03T11:46:00,5.3,2014-01-19T04:35:00,75,25,2014-01-25T15:33:00,1.3,89,9.0,311,2014-01-25T12:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2014-01-17T00:00:00,,1,,,1,,,,,,,,,,0,1,,,100,2014-01-30T04:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2014-02-01,1008.9,1018.5,2014-02-21T09:18:00,3.5,2014-02-06T23:31:00,17.2,30.0,2014-02-06T14:46:00,4.7,2014-02-21T05:53:00,82,34,2014-02-01T13:31:00,1.3,318,8.8,267,2014-02-26T13:56:00,15.5,,,,,,,,,,,,,,,,,,,,,,,5.0,2014-02-10T00:00:00,,1,,,1,,,,,,,,,,9,1,,,100,2014-02-24T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2014-03-01,1009.0,1015.6,2014-03-16T09:10:00,999.5,2014-03-31T18:31:00,20.2,32.7,2014-03-26T11:50:00,12.6,2014-03-15T06:11:00,79,37,2014-03-16T15:20:00,1.4,46,10.6,318,2014-03-31T02:46:00,31.0,,,,,,,,,,,,,,,,,,,,,,,31.0,2014-03-31T00:00:00,,1,,,1,,,,,,,,,,1,1,,,100,2014-03-20T01:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2014-04-01,1005.3,1011.3,2014-04-06T08:16:00,-3029.5,2014-04-10T22:32:00,23.7,33.0,2014-04-21T12:31:00,15.5,2014-04-05T04:46:00,81,19,2014-04-07T03:06:00,1.3,43,8.6,306,2014-04-27T15:41:00,10.0,,,,,,,,,,,,,,,,,,,,,,,7.0,2014-04-02T00:00:00,,0,,,0,,,,,,,,,,4,0,,,100,2014-04-06T05:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2014-05-01,1003.0,1009.5,2014-05-06T09:48:00,-3106.0,2014-05-27T01:06:00,25.7,33.5,2014-05-17T13:51:00,17.0,2014-05-06T06:35:00,86,10,2014-05-12T22:23:00,1.4,97,9.8,293,2014-05-12T16:30:00,135.0,,,,,,,,,,,,,,,,,,,,,,,25.0,2014-05-27T00:00:00,,0,,,0,,,,,,,,,,18,0,,,100,2014-05-25T23:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2014-06-01,997.6,1002.8,2014-06-30T21:41:00,-3115.5,2014-06-11T05:02:00,27.6,34.7,2014-06-28T11:41:00,23.0,2014-06-06T07:10:00,87,46,2014-06-01T14:53:00,1.6,102,11.9,296,2014-06-03T12:27:00,194.5,,,,,,,,,,,,,,,,,,,,,,,37.5,2014-06-03T00:00:00,,0,,,0,,,,,,,,,,18,0,,,100,2014-06-29T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2014-07-01,997.8,1004.5,2014-07-26T22:31:00,978.1,2014-07-23T00:31:00,28.7,35.8,2014-07-30T13:12:00,23.3,2014-07-18T19:41:00,85,50,2014-07-05T12:22:00,1.6,93,16.7,269,2014-07-23T07:25:00,245.5,,,,,,,,,,,,,,,,,,,,,,,79.0,2014-07-19T00:00:00,,0,,,0,,,,,,,,,,13,0,,,100,2014-07-18T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2014-08-01,1000.3,1007.2,2014-08-28T22:01:00,991.3,2014-08-01T14:41:00,27.6,35.0,2014-08-26T13:31:00,22.7,2014-08-29T18:16:00,87,10,2014-08-01T04:14:00,1.6,89,10.0,28,2014-08-29T17:16:00,584.0,,,,,,,,,,,,,,,,,,,,,,,174.5,2014-08-12T00:00:00,,0,,,0,,,,,,,,,,17,0,,,100,2014-08-02T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2014-09-01,1000.8,1006.1,2014-09-27T07:35:00,-3107.4,2014-09-16T01:31:00,27.9,35.7,2014-09-12T12:02:00,23.3,2014-09-04T17:34:00,87,52,2014-09-11T12:43:00,1.5,81,11.1,39,2014-09-21T10:22:00,146.0,,,,,,,,,,,,,,,,,,,,,,,35.0,2014-09-12T00:00:00,,0,,,0,,,,,,,,,,13,0,,,100,2014-09-27T05:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2014-10-01,1005.2,1011.0,2014-10-16T08:21:00,995.3,2014-10-10T14:13:00,24.7,34.1,2014-10-21T12:41:00,17.1,2014-10-15T05:56:00,81,31,2014-10-15T12:11:00,1.2,51,6.9,323,2014-10-11T12:05:00,50.0,,,,,,,,,,,,,,,,,,,,,,,48.0,2014-10-01T00:00:00,,0,,,0,,,,,,,,,,2,0,,,100,2014-10-19T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
