,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2006-01-01,1014.1,1017.1,2006-01-01 08:39:00,1012.0,2006-01-01 17:05:00,22.2,25.2,2006-01-01 11:54:00,20.3,2006-01-01 23:42:00,-9997,-9997,,3.6,32.0,11.9,6.0,2006-01-01 02:37:00,0.0,,,,,,
2006-01-02,1014.1,1016.8,2006-01-02 09:48:00,1011.9,2006-01-02 17:14:00,20.9,23.5,2006-01-02 11:41:00,19.2,2006-01-02 04:37:00,-9997,-9997,,5.1,62.0,14.2,93.0,2006-01-02 21:04:00,0.0,,,,,,
2006-01-03,1013.1,1015.7,2006-01-03 09:59:00,1010.7,2006-01-03 16:31:00,20.8,23.3,2006-01-03 12:54:00,18.9,2006-01-03 04:40:00,-9997,-9997,,4.8,63.0,14.0,58.0,2006-01-03 08:03:00,0.0,,,,,,
2006-01-04,1010.9,1014.4,2006-01-04 10:07:00,1008.0,2006-01-04 17:16:00,21.6,25.5,2006-01-04 14:22:00,18.1,2006-01-04 23:55:00,-9997,-9997,,2.9,63.0,9.6,75.0,2006-01-04 00:33:00,0.0,,,,,,
2006-01-05,1012.8,1016.0,2006-01-05 09:42:00,1010.0,2006-01-05 02:33:00,20.0,24.6,2006-01-05 09:50:00,16.9,2006-01-05 06:08:00,-9997,-9997,,4.7,49.0,18.1,72.0,2006-01-05 19:22:00,0.0,,,,,,
2006-01-06,1016.3,1019.0,2006-01-06 09:24:00,1014.4,2006-01-06 16:17:00,18.3,21.3,2006-01-06 13:44:00,15.9,2006-01-06 22:43:00,-9997,-9997,,4.2,27.0,15.9,53.0,2006-01-06 01:31:00,0.0,,,,,,
2006-01-07,1017.2,1019.2,2006-01-07 09:44:00,1015.7,2006-01-07 15:44:00,16.2,18.7,2006-01-07 13:31:00,15.1,2006-01-07 22:29:00,-9997,-9997,,5.0,36.0,15.8,79.0,2006-01-07 10:57:00,0.0,,,,,,
2006-01-08,1016.7,1020.0,2006-01-08 10:09:00,1014.1,2006-01-08 17:14:00,17.7,21.5,2006-01-08 11:18:00,14.5,2006-01-08 02:31:00,-9997,-9997,,2.6,3.0,12.8,69.0,2006-01-08 10:21:00,0.0,,,,,,
2006-01-09,1014.6,1017.7,2006-01-09 10:29:00,1012.2,2006-01-09 16:21:00,19.6,23.0,2006-01-09 12:17:00,16.2,2006-01-09 05:51:00,-9997,-9997,,3.7,60.0,14.6,76.0,2006-01-09 20:43:00,0.0,,,,,,
2006-01-10,1013.3,1015.9,2006-01-10 10:03:00,1011.2,2006-01-10 16:57:00,21.1,23.5,2006-01-10 13:41:00,19.4,2006-01-10 03:29:00,-9997,-9997,,5.1,53.0,15.1,34.0,2006-01-10 11:10:00,0.0,,,,,,
