,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2015-01-01,1007.2,1013.1,2015-01-02T09:47:00,999.9,2015-01-06T13:42:00,18.7,28.5,2015-01-06T12:41:00,11.1,2015-01-24T04:46:00,70.0,23.0,2015-01-23T12:26:00,1.1,1.0,8.8,199.0,2015-01-12T13:05:00,2.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-02-01,1006.1,1013.6,2015-02-02T09:02:00,0.6,2015-02-25T13:03:00,19.8,30.1,2015-02-28T14:11:00,9.1,2015-02-10T05:34:00,72.0,0.0,2015-02-26T00:01:00,1.1,1.0,12.7,220.0,2015-02-05T14:27:00,14.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-03-01,1004.7,1100.0,2015-03-02T00:13:00,100.1,2015-03-03T00:23:00,22.9,34.0,2015-03-19T13:02:00,15.4,2015-03-11T06:01:00,71.0,0.0,2015-03-03T00:21:00,1.1,19.0,8.6,235.0,2015-03-17T13:21:00,1.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-04-01,1001.5,1006.8,2015-04-11T20:22:00,995.3,2015-04-20T15:56:00,25.5,35.7,2015-04-05T13:52:00,16.0,2015-04-14T05:58:00,66.0,10.0,2015-04-16T13:23:00,1.3,1.0,10.4,198.0,2015-04-18T12:12:00,23.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-05-01,997.9,1003.0,2015-05-14T08:22:00,993.4,2015-05-28T16:11:00,27.4,35.7,2015-05-16T12:24:00,22.5,2015-05-05T05:17:00,74.0,33.0,2015-05-16T09:01:00,1.4,1.0,10.9,222.0,2015-05-31T11:47:00,495.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-06-01,996.8,1000.5,2015-06-01T22:41:00,992.3,2015-06-18T15:43:00,29.8,36.1,2015-06-19T12:43:00,24.0,2015-06-01T04:16:00,67.0,35.0,2015-06-08T12:31:00,1.4,2.0,11.2,233.0,2015-06-28T15:59:00,44.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-07-01,993.8,1002.5,2015-07-28T21:22:00,981.4,2015-07-10T15:44:00,28.1,36.0,2015-07-05T11:57:00,22.8,2015-07-27T16:46:00,75.0,34.0,2015-07-23T16:11:00,1.4,14.0,13.5,148.0,2015-07-19T14:16:00,456.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-08-01,994.3,1001.1,2015-08-02T08:02:00,963.3,2015-08-08T04:57:00,27.6,35.7,2015-08-04T14:11:00,22.3,2015-08-29T03:50:00,77.0,35.0,2015-08-04T15:11:00,1.5,11.0,26.8,303.0,2015-08-08T04:57:00,755.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-09-01,997.2,1003.2,2015-09-17T22:11:00,978.4,2015-09-28T18:41:00,27.4,35.3,2015-09-30T14:11:00,22.8,2015-09-28T03:34:00,76.0,44.0,2015-09-18T13:41:00,1.3,354.0,18.0,225.0,2015-09-28T22:27:00,213.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-10-01,1000.5,1007.8,2015-10-31T09:39:00,989.9,2015-10-19T15:37:00,26.5,34.6,2015-10-03T13:12:00,21.3,2015-10-17T06:26:00,77.0,45.0,2015-10-15T12:22:00,1.0,1.0,8.5,228.0,2015-10-29T16:57:00,154.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-11-01,1003.9,1010.8,2015-11-28T08:21:00,999.0,2015-11-25T15:02:00,25.1,33.5,2015-11-17T15:01:00,15.4,2015-11-27T02:12:00,74.0,35.0,2015-11-29T13:24:00,1.0,1.0,8.1,135.0,2015-11-09T15:29:00,2.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-12-01,1005.9,1013.3,2015-12-29T09:33:00,998.2,2015-12-10T05:47:00,21.4,30.6,2015-12-23T15:32:00,12.0,2015-12-17T05:42:00,76.0,37.0,2015-12-30T13:41:00,1.0,1.0,6.6,14.0,2015-12-01T06:50:00,67.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
