,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2021-01-01,1014.6,1021.0,2021-01-01T07:41:00,1005.0,2021-01-22T18:01:00,18.2,30.3,2021-01-18T13:36:00,8.8,2021-01-14T06:59:00,79,29,2021-01-15T11:55:00,2.0,4,11.5,139,2021-01-29T12:21:00,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2021-01-04T00:00:00,,1,,,1,,0.0,1,,,,,0,,0,1,,,100,2021-01-04T01:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-02-01,1012.5,1020.7,2021-02-19T09:31:00,1002.3,2021-02-11T14:36:00,20.8,31.0,2021-02-26T13:33:00,10.5,2021-02-17T01:23:00,79,21,2021-02-01T15:53:00,2.0,3,14.6,1,2021-02-11T05:31:00,30.0,,,,,,,,,,,,,,,,,,,,,,,30.0,2021-02-11T00:00:00,,0,,,0,,13.5,0,,2021-02-11T07:00:00,,,0,,1,0,,,100,2021-02-28T00:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-03-01,1011.3,1018.2,2021-03-22T22:35:00,1001.5,2021-03-30T14:23:00,23.7,32.2,2021-03-30T13:12:00,16.3,2021-03-25T06:18:00,82,45,2021-03-17T11:23:00,2.0,11,11.6,331,2021-03-24T16:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2021-03-05T00:00:00,,1,,,1,,0.0,1,,,,,0,,0,1,,,100,2021-03-05T04:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-04-01,1009.2,1016.0,2021-04-11T07:37:00,1000.0,2021-04-23T15:34:00,25.0,34.0,2021-04-23T14:56:00,17.8,2021-04-10T06:11:00,83,22,2021-04-18T05:48:00,2.0,19,12.0,226,2021-04-24T14:20:00,34.0,,,,,,,,,,,,,,,,,,,,,,,14.0,2021-04-24T00:00:00,,0,,,0,,13.5,0,,2021-04-24T04:00:00,,,0,,5,0,,,100,2021-04-29T01:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-05-01,1006.5,1012.1,2021-05-06T07:21:00,1000.7,2021-05-31T03:01:00,28.8,36.6,2021-05-14T12:45:00,20.8,2021-05-02T05:11:00,79,30,2021-05-14T14:36:00,2.5,3,18.8,217,2021-05-19T13:44:00,14.5,,,,,,,,,,,,,,,,,,,,,,,10.0,2021-05-30T00:00:00,,0,,,0,,5.0,0,,2021-05-30T22:00:00,,,0,,2,0,,,100,2021-05-04T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-06-01,1004.0,1008.7,2021-06-12T23:31:00,996.7,2021-06-04T16:35:00,27.9,36.5,2021-06-11T11:43:00,23.5,2021-06-28T10:52:00,90,43,2021-06-08T15:51:00,2.3,3,18.6,213,2021-06-06T00:38:00,991.5,,,,,,,,,,,,,,,,,,,,,,,159.0,2021-06-06T00:00:00,,0,,,0,,47.5,0,,2021-06-20T07:00:00,,,0,,24,0,,,100,2021-06-25T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-07-01,1001.5,1009.5,2021-07-07T22:43:00,987.5,2021-07-23T16:34:00,28.6,36.3,2021-07-11T14:13:00,24.1,2021-07-31T05:33:00,90,51,2021-07-10T15:22:00,2.1,1,16.8,325,2021-07-23T18:27:00,485.5,,,,,,,,,,,,,,,,,,,,,,,111.5,2021-07-31T00:00:00,,0,,,0,,32.5,0,,2021-07-31T15:00:00,,,0,,19,0,,,100,2021-07-20T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-08-01,1004.3,1011.0,2021-08-30T11:14:00,994.0,2021-08-06T13:00:00,27.9,34.8,2021-08-29T10:59:00,23.2,2021-08-22T05:41:00,93,0,2021-08-07T10:48:00,1.9,4,21.6,258,2021-08-07T13:33:00,1181.5,,,,,,,,,,,,,,,,,,,,,,,335.0,2021-08-07T00:00:00,,0,,,0,,79.0,0,,2021-08-07T11:00:00,,,0,,17,0,,,100,2021-08-04T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-09-01,1005.8,1012.0,2021-09-23T20:52:00,991.0,2021-09-12T01:47:00,28.4,40.3,2021-09-12T13:33:00,20.5,2021-09-03T09:42:00,91,50,2021-09-25T12:11:00,1.5,1,13.6,337,2021-09-12T14:08:00,115.5,,,,,,,,,,,,,,,,,,,,,,,24.5,2021-09-04T00:00:00,,0,,,0,,16.5,0,,2021-09-04T16:00:00,,,0,,12,0,,,100,2021-09-23T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2021-10-01,1008.3,1100.0,2021-10-25T18:11:00,990.6,2021-10-11T21:51:00,26.8,34.6,2021-10-03T10:31:00,21.2,2021-10-29T05:41:00,91,43,2021-10-03T10:31:00,1.5,39,20.0,79,2021-10-12T19:03:00,199.0,,,,,,,,,,,,,,,,,,,,,,,79.0,2021-10-12T00:00:00,,0,,,0,,17.0,0,,2021-10-12T08:00:00,,,0,,6,0,,,100,2021-10-28T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
