,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRad,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunShine,SunshineDuration.Totalf,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil5cm,WindDirection.Prevailingf,WindSpeed.Meanf
2016-01-01,1019.7,1021.8,2016-01-01T09:45:00,1017.9,2016-01-01T15:30:00,22.4,24.7,2016-01-01T13:06:00,20.8,2016-01-01T00:28:00,76,66,2016-01-01T11:43:00,4.8,47,18.7,56,2016-01-01T00:47:00,0.0,,,,,,,,,,,,,,,,,,,,,,92,2016-01-01T23:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-02,1017.6,1019.5,2016-01-02T00:08:00,1015.4,2016-01-02T14:27:00,21.5,22.8,2016-01-02T12:37:00,20.0,2016-01-02T19:44:00,94,87,2016-01-02T12:45:00,3.5,41,12.0,34,2016-01-02T06:49:00,38.5,,,,,,,,,,,,,,,,,,,,,,98,2016-01-02T22:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,1015.1,1017.2,2016-01-03T00:20:00,1012.4,2016-01-03T14:07:00,22.1,25.5,2016-01-03T12:16:00,20.3,2016-01-03T00:55:00,90,76,2016-01-03T10:07:00,3.5,39,12.5,35,2016-01-03T20:36:00,25.0,,,,,,,,,,,,,,,,,,,,,,98,2016-01-03T15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,1014.4,1016.7,2016-01-04T09:35:00,1012.5,2016-01-04T15:01:00,24.4,27.9,2016-01-04T14:38:00,22.0,2016-01-04T01:50:00,83,70,2016-01-04T10:31:00,2.7,39,11.3,60,2016-01-04T00:15:00,0.0,,,,,,,,,,,,,,,,,,,,,,92,2016-01-04T21:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,1013.0,1013.6,2016-01-05T21:12:00,1011.6,2016-01-05T17:36:00,24.7,24.8,2016-01-05T17:32:00,23.6,2016-01-05T18:50:00,84,86,2016-01-05T17:32:00,1.8,40,4.6,40,2016-01-05T23:55:00,0.0,,,,,,,,,,,,,,,,,,,,,,93,2016-01-05T22:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,1012.9,1015.5,2016-01-06T22:11:00,1011.1,2016-01-06T14:37:00,24.0,27.4,2016-01-06T12:38:00,23.0,2016-01-06T23:55:00,82,68,2016-01-06T12:41:00,3.9,44,12.8,52,2016-01-06T20:17:00,0.0,,,,,,,,,,,,,,,,,,,,,,87,2016-01-06T18:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,1015.2,1017.6,2016-01-07T09:51:00,1013.9,2016-01-07T14:17:00,22.4,24.8,2016-01-07T12:36:00,20.5,2016-01-07T23:55:00,79,68,2016-01-07T11:51:00,5.3,41,15.9,47,2016-01-07T03:37:00,5.5,,,,,,,,,,,,,,,,,,,,,,94,2016-01-07T18:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,1014.1,1015.8,2016-01-08T22:57:00,1012.5,2016-01-08T15:38:00,20.5,23.5,2016-01-08T12:25:00,18.0,2016-01-08T05:21:00,85,75,2016-01-08T12:26:00,3.6,39,16.3,49,2016-01-08T22:42:00,5.0,,,,,,,,,,,,,,,,,,,,,,93,2016-01-08T04:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-09,1015.7,1017.8,2016-01-09T09:21:00,1014.2,2016-01-09T03:57:00,22.1,24.0,2016-01-09T12:20:00,20.7,2016-01-09T00:40:00,74,67,2016-01-09T12:51:00,4.9,37,14.9,38,2016-01-09T02:59:00,0.0,,,,,,,,,,,,,,,,,,,,,,80,2016-01-09T00:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10,1013.4,1015.7,2016-01-10T00:00:00,1011.4,2016-01-10T15:23:00,22.7,25.3,2016-01-10T11:35:00,21.4,2016-01-10T05:00:00,77,66,2016-01-10T09:54:00,3.6,35,12.4,31,2016-01-10T01:21:00,0.0,,,,,,,,,,,,,,,,,,,,,,87,2016-01-10T13:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
