,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2026-01-01,1013.4,1017.1,2026-01-01T23:05:00,1011.4,2026-01-01T03:29:00,20.5,27.6,2026-01-01T12:48:00,16.1,2026-01-01T03:52:00,78.0,51.0,2026-01-01T14:44:00,1.0,346.0,5.3,238.0,2026-01-01T15:59:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-02,1019.4,1022.6,2026-01-02T23:27:00,1016.8,2026-01-02T02:08:00,17.2,23.0,2026-01-02T12:27:00,11.5,2026-01-02T23:59:00,75.0,57.0,2026-01-02T12:27:00,0.9,342.0,4.6,32.0,2026-01-02T10:35:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-03,1021.9,1023.8,2026-01-03T08:26:00,1019.7,2026-01-03T15:17:00,15.5,22.1,2026-01-03T11:20:00,9.3,2026-01-03T06:32:00,78.0,51.0,2026-01-03T11:22:00,1.0,253.0,5.9,253.0,2026-01-03T12:03:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-04,1020.4,1022.5,2026-01-04T08:24:00,1018.1,2026-01-04T14:23:00,17.5,24.7,2026-01-04T13:00:00,11.2,2026-01-04T06:44:00,75.0,38.0,2026-01-04T12:54:00,1.0,351.0,6.9,261.0,2026-01-04T14:10:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-05,1018.3,1020.1,2026-01-05T00:01:00,1015.8,2026-01-05T14:32:00,18.8,26.6,2026-01-05T13:12:00,12.0,2026-01-05T06:24:00,71.0,34.0,2026-01-05T13:13:00,1.1,1.0,6.4,256.0,2026-01-05T14:22:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-06,1019.4,1021.3,2026-01-06T21:35:00,1017.7,2026-01-06T15:35:00,16.7,22.8,2026-01-06T12:16:00,12.4,2026-01-06T06:33:00,77.0,54.0,2026-01-06T12:17:00,1.2,354.0,6.1,19.0,2026-01-06T12:20:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-07,1020.8,1022.2,2026-01-07T09:00:00,1019.2,2026-01-07T14:26:00,15.0,18.0,2026-01-07T14:06:00,12.2,2026-01-07T01:47:00,71.0,58.0,2026-01-07T16:08:00,1.0,354.0,5.0,4.0,2026-01-07T03:52:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-08,1020.7,1022.8,2026-01-08T08:41:00,1018.6,2026-01-08T14:18:00,16.9,23.1,2026-01-08T13:54:00,13.2,2026-01-08T06:21:00,67.0,49.0,2026-01-08T13:18:00,0.9,14.0,5.0,251.0,2026-01-08T14:41:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-09,1019.6,1021.8,2026-01-09T08:51:00,1017.5,2026-01-09T15:30:00,16.6,22.4,2026-01-09T15:16:00,13.5,2026-01-09T23:18:00,75.0,52.0,2026-01-09T13:08:00,0.8,355.0,4.4,255.0,2026-01-09T14:11:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-10,1018.4,1020.5,2026-01-10T23:24:00,1015.2,2026-01-10T14:35:00,17.9,24.4,2026-01-10T12:36:00,12.0,2026-01-10T05:47:00,77.0,53.0,2026-01-10T12:20:00,0.8,352.0,5.6,265.0,2026-01-10T14:58:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-11,1019.9,1021.3,2026-01-11T21:29:00,1017.9,2026-01-11T13:53:00,19.1,23.6,2026-01-11T10:40:00,14.4,2026-01-11T07:04:00,68.0,54.0,2026-01-11T17:49:00,1.3,243.0,6.1,253.0,2026-01-11T12:46:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-12,1019.2,1021.6,2026-01-12T09:15:00,1017.0,2026-01-12T14:43:00,20.0,25.5,2026-01-12T10:26:00,15.9,2026-01-12T06:04:00,71.0,37.0,2026-01-12T10:25:00,0.8,34.0,5.7,265.0,2026-01-12T13:51:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-13,1016.8,1018.6,2026-01-13T00:01:00,1014.7,2026-01-13T14:01:00,20.4,28.1,2026-01-13T12:55:00,15.0,2026-01-13T23:45:00,70.0,36.0,2026-01-13T12:47:00,0.9,360.0,5.3,155.0,2026-01-13T13:51:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-14,1016.6,1018.2,2026-01-14T09:32:00,1014.5,2026-01-14T15:49:00,19.2,26.4,2026-01-14T11:33:00,13.1,2026-01-14T06:51:00,79.0,45.0,2026-01-14T11:32:00,1.0,258.0,6.4,260.0,2026-01-14T14:56:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2026-01-15,1014.7,1017.3,2026-01-15T00:01:00,1012.5,2026-01-15T14:57:00,20.9,26.9,2026-01-15T14:14:00,15.6,2026-01-15T06:51:00,74.0,40.0,2026-01-15T10:52:00,0.8,255.0,5.3,260.0,2026-01-15T11:17:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
