,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp
2021-01-01,962.7,964.9,2021-01-01 08:03:00,960.7,2021-01-01 13:56:00,11.9,15.3,2021-01-01 12:30:00,10.1,2021-01-01 00:12:00,70,53,2021-01-01 11:46:00,0.8,8.0,5.2,30.0,2021-01-01 06:33:00,0.0
2021-01-02,961.6,963.1,2021-01-02 07:47:00,959.7,2021-01-02 14:07:00,14.6,18.9,2021-01-02 09:40:00,11.6,2021-01-02 05:07:00,72,49,2021-01-02 09:45:00,1.1,12.0,5.2,24.0,2021-01-02 12:19:00,0.0
2021-01-03,961.3,963.4,2021-01-03 08:52:00,959.4,2021-01-03 13:51:00,16.1,19.5,2021-01-03 10:47:00,13.3,2021-01-03 00:01:00,77,56,2021-01-03 10:31:00,1.1,10.0,4.6,22.0,2021-01-03 08:47:00,0.0
2021-01-04,959.5,961.6,2021-01-04 08:49:00,957.8,2021-01-04 14:41:00,18.0,22.8,2021-01-04 09:13:00,15.3,2021-01-04 01:05:00,79,48,2021-01-04 09:16:00,0.6,25.0,3.3,7.0,2021-01-04 12:05:00,0.0
2021-01-05,958.1,960.2,2021-01-05 08:52:00,956.0,2021-01-05 13:49:00,17.0,23.9,2021-01-05 08:47:00,15.2,2021-01-05 23:34:00,91,59,2021-01-05 08:53:00,1.1,13.0,5.8,10.0,2021-01-05 20:13:00,3.5
2021-01-06,958.2,960.8,2021-01-06 08:29:00,955.7,2021-01-06 14:50:00,16.0,19.8,2021-01-06 12:37:00,14.2,2021-01-06 06:22:00,84,64,2021-01-06 10:25:00,1.1,10.0,7.8,16.0,2021-01-06 06:36:00,0.0
2021-01-07,958.8,960.7,2021-01-07 21:07:00,957.1,2021-01-07 14:37:00,14.2,16.1,2021-01-07 10:40:00,12.1,2021-01-07 23:35:00,82,73,2021-01-07 22:14:00,1.4,11.0,8.2,22.0,2021-01-07 14:46:00,0.0
2021-01-08,960.7,962.4,2021-01-08 21:34:00,959.4,2021-01-08 03:16:00,10.8,12.3,2021-01-08 10:40:00,9.2,2021-01-08 22:08:00,77,67,2021-01-08 10:14:00,1.2,5.0,5.6,11.0,2021-01-08 02:44:00,0.0
2021-01-09,961.7,963.5,2021-01-09 09:08:00,959.9,2021-01-09 14:21:00,9.3,10.1,2021-01-09 11:37:00,8.6,2021-01-09 06:20:00,76,71,2021-01-09 11:40:00,1.0,8.0,5.2,19.0,2021-01-09 23:52:00,0.0
2021-01-10,961.9,963.7,2021-01-10 08:45:00,959.7,2021-01-10 15:01:00,11.3,15.0,2021-01-10 11:07:00,8.9,2021-01-10 05:23:00,69,54,2021-01-10 11:06:00,1.1,7.0,5.3,9.0,2021-01-10 10:17:00,0.5
2021-01-11,960.6,962.7,2021-01-11 08:45:00,958.4,2021-01-11 14:52:00,13.2,15.6,2021-01-11 09:57:00,10.8,2021-01-11 00:03:00,72,59,2021-01-11 11:42:00,0.6,8.0,3.4,355.0,2021-01-11 00:56:00,0.0
2021-01-12,959.6,961.0,2021-01-12 09:27:00,958.3,2021-01-12 14:28:00,11.2,12.2,2021-01-12 11:21:00,9.9,2021-01-12 23:18:00,84,76,2021-01-12 11:15:00,0.8,9.0,4.8,7.0,2021-01-12 07:58:00,0.0
2021-01-13,958.6,960.1,2021-01-13 08:46:00,956.7,2021-01-13 15:21:00,12.0,15.9,2021-01-13 12:01:00,9.7,2021-01-13 03:49:00,76,54,2021-01-13 10:20:00,0.8,15.0,3.6,31.0,2021-01-13 12:20:00,0.0
2021-01-14,957.7,959.4,2021-01-14 00:01:00,955.8,2021-01-14 13:45:00,14.0,18.8,2021-01-14 10:06:00,11.0,2021-01-14 06:19:00,70,45,2021-01-14 09:54:00,0.9,9.0,3.7,12.0,2021-01-14 17:39:00,0.0
2021-01-15,956.0,957.8,2021-01-15 09:06:00,953.9,2021-01-15 15:54:00,16.3,20.5,2021-01-15 08:35:00,13.7,2021-01-15 00:16:00,74,48,2021-01-15 08:40:00,0.7,4.0,3.4,25.0,2021-01-15 18:10:00,0.0
2021-01-16,957.4,959.4,2021-01-16 23:03:00,955.3,2021-01-16 13:51:00,16.7,20.0,2021-01-16 12:15:00,14.5,2021-01-16 23:43:00,74,53,2021-01-16 11:25:00,1.5,12.0,5.7,14.0,2021-01-16 20:16:00,0.0
2021-01-17,961.2,963.3,2021-01-17 20:57:00,959.0,2021-01-17 00:58:00,14.2,16.9,2021-01-17 11:49:00,12.0,2021-01-17 23:14:00,74,63,2021-01-17 11:17:00,2.1,10.0,9.3,7.0,2021-01-17 07:58:00,0.0
2021-01-18,961.3,962.8,2021-01-18 00:14:00,959.1,2021-01-18 15:17:00,13.4,16.8,2021-01-18 10:54:00,11.4,2021-01-18 06:46:00,76,61,2021-01-18 09:07:00,1.1,11.0,4.6,21.0,2021-01-18 12:23:00,0.0
2021-01-19,960.8,962.6,2021-01-19 09:07:00,959.3,2021-01-19 13:59:00,15.1,18.7,2021-01-19 12:25:00,12.5,2021-01-19 06:26:00,72,56,2021-01-19 11:36:00,1.1,10.0,5.5,41.0,2021-01-19 09:36:00,0.0
2021-01-20,959.7,961.2,2021-01-20 08:59:00,958.0,2021-01-20 14:52:00,17.8,20.0,2021-01-20 10:34:00,15.7,2021-01-20 00:01:00,84,70,2021-01-20 10:36:00,0.9,12.0,5.2,287.0,2021-01-20 21:51:00,0.0
2021-01-21,957.0,959.3,2021-01-21 00:01:00,954.9,2021-01-21 14:56:00,18.7,20.9,2021-01-21 12:11:00,17.7,2021-01-21 21:54:00,91,79,2021-01-21 02:20:00,0.6,11.0,3.2,29.0,2021-01-21 06:25:00,2.0
2021-01-22,952.4,955.0,2021-01-22 00:01:00,950.2,2021-01-22 14:16:00,19.5,24.6,2021-01-22 11:33:00,17.9,2021-01-22 00:01:00,98,78,2021-01-22 11:51:00,0.4,11.0,2.8,178.0,2021-01-22 13:27:00,7.5
2021-01-23,953.7,956.8,2021-01-23 22:57:00,951.0,2021-01-23 02:34:00,18.8,22.9,2021-01-23 10:11:00,17.3,2021-01-23 22:31:00,96,77,2021-01-23 10:18:00,0.8,10.0,3.2,28.0,2021-01-23 12:01:00,0.5
2021-01-24,958.2,959.8,2021-01-24 21:13:00,956.4,2021-01-24 02:48:00,16.1,20.2,2021-01-24 09:20:00,14.8,2021-01-24 23:48:00,93,77,2021-01-24 09:21:00,1.5,10.0,5.1,8.0,2021-01-24 06:57:00,1.5
