,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2020-01-01,976.5,985.6,2020-01-01T09:37:00,965.6,2020-01-26T15:15:00,17.7,25.1,2020-01-07T12:06:00,9.3,2020-01-31T22:57:00,87.0,50.0,2020-01-31T11:40:00,0.9,3.0,11.4,100.0,2020-01-08T15:32:00,69.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-02-01,978.7,986.0,2020-02-21T09:19:00,971.3,2020-02-16T04:04:00,17.7,27.5,2020-02-14T11:43:00,8.8,2020-02-01T04:40:00,87.0,55.0,2020-02-01T10:25:00,0.9,94.0,10.9,66.0,2020-02-05T14:22:00,76.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-03-01,973.2,980.7,2020-03-16T09:14:00,962.2,2020-03-09T16:01:00,19.8,30.0,2020-03-09T12:21:00,12.6,2020-03-16T02:12:00,90.0,39.0,2020-03-09T14:11:00,0.8,129.0,14.7,257.0,2020-03-09T21:36:00,91.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-04-01,973.8,978.3,2020-04-02T09:46:00,966.8,2020-04-19T16:12:00,20.0,30.0,2020-04-19T15:34:00,13.8,2020-04-13T05:47:00,87.0,45.0,2020-04-13T13:06:00,0.8,140.0,8.4,116.0,2020-04-28T14:34:00,79.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-05-01,967.6,973.7,2020-05-13T21:52:00,959.9,2020-05-22T15:43:00,24.4,34.3,2020-05-03T13:04:00,19.7,2020-05-01T02:10:00,91.0,39.0,2020-05-03T13:41:00,0.5,3.0,7.5,273.0,2020-05-18T10:33:00,355.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-06-01,967.0,973.1,2020-06-14T22:31:00,962.0,2020-06-21T16:44:00,26.3,34.4,2020-06-30T11:54:00,20.7,2020-06-08T21:15:00,78.0,0.0,2020-06-19T09:43:00,0.5,280.0,9.5,291.0,2020-06-06T16:29:00,81.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-07-01,967.0,972.2,2020-07-21T22:16:00,961.2,2020-07-09T14:20:00,27.2,37.1,2020-07-10T13:40:00,22.3,2020-07-19T05:17:00,73.0,37.0,2020-07-10T13:47:00,0.6,26.0,7.6,246.0,2020-07-16T12:24:00,100.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-08-01,966.5,974.7,2020-08-12T22:06:00,959.8,2020-08-25T14:27:00,25.4,32.7,2020-08-25T11:44:00,21.5,2020-08-09T05:46:00,88.0,50.0,2020-08-02T09:48:00,0.7,136.0,8.0,269.0,2020-08-26T05:58:00,391.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-09-01,968.7,974.0,2020-09-18T21:53:00,959.5,2020-09-01T06:12:00,24.7,32.8,2020-09-02T13:08:00,19.7,2020-09-08T02:46:00,89.0,54.0,2020-09-02T12:47:00,0.5,74.0,7.6,83.0,2020-09-25T11:15:00,43.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-10-01,971.8,977.4,2020-10-30T20:57:00,964.5,2020-10-22T03:25:00,23.0,28.1,2020-10-04T11:56:00,17.9,2020-10-23T17:05:00,83.0,50.0,2020-10-31T10:01:00,1.2,106.0,12.1,117.0,2020-10-15T10:13:00,123.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-11-01,975.3,980.6,2020-11-30T09:19:00,966.6,2020-11-06T15:34:00,21.3,27.9,2020-11-20T11:56:00,17.4,2020-11-30T18:02:00,82.0,0.0,2020-11-25T07:42:00,1.2,97.0,15.9,63.0,2020-11-06T14:45:00,335.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2020-12-01,975.8,983.9,2020-12-31T09:30:00,969.2,2020-12-29T15:07:00,18.3,23.9,2020-12-10T10:58:00,9.5,2020-12-31T04:26:00,87.0,61.0,2020-12-18T11:02:00,1.2,107.0,11.4,73.0,2020-12-19T15:20:00,62.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
