,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2010-01-01,985.7,987.7,2010-01-01 00:01:00,983.8,2010-01-01 15:06:00,16.3,20.5,2010-01-01 14:29:00,13.1,2010-01-01 05:46:00,-9997,-9997,,0.7,17.0,3.9,307.0,2010-01-01 04:50:00,0.0,,,,,,
2010-01-02,982.2,984.5,2010-01-02 00:03:00,980.1,2010-01-02 15:05:00,19.6,24.6,2010-01-02 10:21:00,16.3,2010-01-02 05:37:00,-9997,-9997,,1.2,164.0,11.1,58.0,2010-01-02 23:58:00,0.0,,,,,,
2010-01-03,983.1,985.2,2010-01-03 09:42:00,981.3,2010-01-03 02:30:00,16.6,19.2,2010-01-03 19:03:00,14.3,2010-01-03 08:24:00,-9997,-9997,,2.4,43.0,12.2,52.0,2010-01-03 02:30:00,4.0,,,,,,
2010-01-04,982.2,983.8,2010-01-04 09:05:00,980.3,2010-01-04 14:24:00,19.8,26.7,2010-01-04 11:36:00,16.1,2010-01-04 05:05:00,-9997,-9997,,0.9,160.0,5.5,183.0,2010-01-04 12:18:00,0.0,,,,,,
2010-01-05,984.2,985.9,2010-01-05 10:01:00,982.4,2010-01-05 02:50:00,17.5,20.6,2010-01-05 01:29:00,15.1,2010-01-05 23:33:00,-9997,-9997,,1.6,45.0,10.7,61.0,2010-01-05 11:30:00,0.0,,,,,,
2010-01-06,985.2,987.7,2010-01-06 22:15:00,983.3,2010-01-06 04:41:00,17.1,22.6,2010-01-06 11:18:00,14.3,2010-01-06 19:41:00,-9997,-9997,,1.5,46.0,10.8,52.0,2010-01-06 11:57:00,0.0,,,,,,
2010-01-07,987.3,989.4,2010-01-07 09:56:00,986.0,2010-01-07 15:01:00,16.8,19.6,2010-01-07 11:14:00,14.1,2010-01-07 19:29:00,-9997,-9997,,0.7,326.0,5.5,50.0,2010-01-07 15:31:00,0.0,,,,,,
2010-01-08,985.4,987.2,2010-01-08 21:30:00,983.7,2010-01-08 14:30:00,16.2,20.4,2010-01-08 14:43:00,14.1,2010-01-08 20:10:00,-9997,-9997,,0.7,317.0,6.1,7.0,2010-01-08 19:02:00,1.0,,,,,,
2010-01-09,985.9,987.5,2010-01-09 09:07:00,984.1,2010-01-09 15:05:00,18.4,23.6,2010-01-09 11:29:00,15.0,2010-01-09 02:59:00,-9997,-9997,,1.3,16.0,7.3,107.0,2010-01-09 10:49:00,0.0,,,,,,
2010-01-10,984.4,986.8,2010-01-10 08:59:00,982.1,2010-01-10 16:50:00,19.5,24.7,2010-01-10 12:14:00,15.3,2010-01-10 05:05:00,-9997,-9997,,1.3,357.0,6.4,356.0,2010-01-10 08:02:00,6.0,,,,,,
2010-01-11,982.7,984.3,2010-01-11 08:57:00,980.9,2010-01-11 15:13:00,19.1,24.6,2010-01-11 10:22:00,14.1,2010-01-11 22:53:00,-9997,-9997,,2.4,52.0,9.7,58.0,2010-01-11 20:47:00,4.5,,,,,,
2010-01-12,986.0,990.8,2010-01-12 23:59:00,982.5,2010-01-12 02:12:00,13.1,18.4,2010-01-12 05:03:00,10.0,2010-01-12 21:04:00,-9997,-9997,,4.2,43.0,14.0,32.0,2010-01-12 04:33:00,4.0,,,,,,
2010-01-13,993.3,995.6,2010-01-13 21:45:00,990.6,2010-01-13 00:07:00,12.2,16.4,2010-01-13 14:45:00,10.0,2010-01-13 06:09:00,-9997,-9997,,2.3,18.0,12.8,5.0,2010-01-13 00:37:00,0.0,,,,,,
2010-01-14,994.3,996.8,2010-01-14 08:43:00,991.9,2010-01-14 14:44:00,13.3,17.3,2010-01-14 13:04:00,11.0,2010-01-14 06:00:00,-9997,-9997,,1.5,1.0,5.9,53.0,2010-01-14 08:10:00,0.0,,,,,,
2010-01-15,993.1,994.9,2010-01-15 09:27:00,991.3,2010-01-15 14:53:00,16.3,22.7,2010-01-15 11:39:00,12.1,2010-01-15 06:35:00,-9997,-9997,,1.3,110.0,5.7,77.0,2010-01-15 10:22:00,0.0,,,,,,
2010-01-16,992.4,994.6,2010-01-16 21:08:00,990.7,2010-01-16 15:05:00,16.9,20.3,2010-01-16 11:22:00,14.0,2010-01-16 18:42:00,-9997,-9997,,1.7,46.0,8.9,30.0,2010-01-16 16:22:00,0.5,,,,,,
2010-01-17,992.8,994.5,2010-01-17 09:33:00,991.3,2010-01-17 14:26:00,16.4,20.5,2010-01-17 13:26:00,14.1,2010-01-17 20:15:00,-9997,-9997,,1.7,35.0,8.2,51.0,2010-01-17 14:57:00,4.0,,,,,,
