,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-01-01,975.1,976.8,2023-01-01T09:15:00,973.3,2023-01-01T14:10:00,16.4,17.9,2023-01-01T12:46:00,15.7,2023-01-01T21:22:00,100.0,95.0,2023-01-01T15:32:00,1.2,226.0,5.4,67.0,2023-01-01T13:48:00,6.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02,974.8,976.1,2023-01-02T08:36:00,972.9,2023-01-02T15:24:00,16.7,18.5,2023-01-02T12:15:00,15.6,2023-01-02T02:42:00,100.0,94.0,2023-01-02T12:26:00,0.9,46.0,6.3,57.0,2023-01-02T13:54:00,9.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-03,974.4,976.2,2023-01-03T08:39:00,972.6,2023-01-03T13:50:00,16.9,20.8,2023-01-03T12:48:00,14.8,2023-01-03T06:09:00,94.0,81.0,2023-01-03T10:29:00,1.4,11.0,5.2,72.0,2023-01-03T14:27:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-04,974.9,976.6,2023-01-04T08:38:00,973.5,2023-01-04T14:34:00,17.1,20.6,2023-01-04T11:08:00,15.0,2023-01-04T04:24:00,87.0,69.0,2023-01-04T11:09:00,1.5,65.0,6.6,70.0,2023-01-04T14:02:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-05,974.1,975.9,2023-01-05T08:36:00,972.2,2023-01-05T14:43:00,17.6,22.4,2023-01-05T13:38:00,14.2,2023-01-05T05:00:00,92.0,66.0,2023-01-05T11:15:00,1.4,226.0,6.1,72.0,2023-01-05T14:00:00,6.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-06,972.9,974.4,2023-01-06T09:49:00,970.9,2023-01-06T15:03:00,17.7,20.6,2023-01-06T09:27:00,16.0,2023-01-06T23:26:00,98.0,88.0,2023-01-06T09:15:00,1.3,64.0,7.9,68.0,2023-01-06T15:02:00,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-07,973.4,975.4,2023-01-07T21:58:00,971.9,2023-01-07T03:58:00,15.7,18.4,2023-01-07T10:31:00,14.2,2023-01-07T23:27:00,89.0,78.0,2023-01-07T12:44:00,1.6,223.0,8.3,77.0,2023-01-07T11:05:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-08,974.2,975.6,2023-01-08T09:53:00,973.0,2023-01-08T14:20:00,15.8,17.6,2023-01-08T11:21:00,14.0,2023-01-08T05:51:00,90.0,76.0,2023-01-08T11:24:00,1.1,220.0,3.6,235.0,2023-01-08T06:49:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-09,972.4,974.3,2023-01-09T00:07:00,970.0,2023-01-09T14:35:00,17.8,20.9,2023-01-09T14:49:00,15.2,2023-01-09T00:01:00,91.0,77.0,2023-01-09T14:54:00,1.0,15.0,4.0,134.0,2023-01-09T15:09:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-10,971.0,973.3,2023-01-10T08:50:00,968.6,2023-01-10T14:43:00,17.4,19.8,2023-01-10T12:20:00,16.1,2023-01-10T23:31:00,97.0,86.0,2023-01-10T12:52:00,1.1,35.0,9.1,40.0,2023-01-10T08:04:00,7.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
