,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2024-01-01,1017.4,1025.4,2024-01-24T09:22:00,1009.6,2024-01-09T14:56:00,20.0,26.9,2024-01-20T09:26:00,14.3,2024-01-24T05:03:00,76,43,2024-01-18T11:01:00,2.0,29,13.4,26,2024-01-22T15:03:00,23.0,,,,,,,,,,,,,,,,,,,,,,,6.0,2024-01-30T00:00:00,,0,,,0,,3.0,0,,2024-01-30T09:00:00,,,0,,9,0,,,99,2024-01-29T20:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-02-01,1016.3,1025.6,2024-02-12T09:07:00,1009.2,2024-02-07T15:41:00,21.6,27.6,2024-02-21T09:03:00,16.2,2024-02-11T06:36:00,81,41,2024-02-13T10:11:00,1.8,24,11.5,27,2024-02-05T10:49:00,10.5,,,,,,,,,,,,,,,,,,,,,,,6.0,2024-02-04T00:00:00,,0,,,0,,2.5,0,,2024-02-04T02:00:00,,,0,,6,0,,,100,2024-02-19T18:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-03-01,1013.6,1022.2,2024-03-10T10:18:00,1001.7,2024-03-05T15:34:00,21.9,37.5,2024-03-31T14:32:00,15.5,2024-03-09T02:52:00,79,34,2024-03-31T14:38:00,1.7,302,15.5,193,2024-03-28T11:53:00,32.5,,,,,,,,,,,,,,,,,,,,,,,8.5,2024-03-01T00:00:00,,0,,,0,,3.0,0,,2024-03-18T06:00:00,,,0,,8,0,,,100,2024-03-01T02:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-04-01,1007.4,1015.5,2024-04-10T09:17:00,998.6,2024-04-30T15:00:00,26.4,36.2,2024-04-30T15:35:00,21.3,2024-04-09T15:41:00,81,32,2024-04-17T17:57:00,1.6,290,14.7,195,2024-04-21T15:18:00,108.5,,,,,,,,,,,,,,,,,,,,,,,53.0,2024-04-25T00:00:00,,0,,,0,,15.0,0,,2024-04-25T18:00:00,,,0,,8,0,,,99,2024-04-01T07:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-05-01,1007.6,1015.3,2024-05-09T09:51:00,994.5,2024-05-28T04:07:00,26.6,37.0,2024-05-31T15:20:00,20.9,2024-05-14T04:47:00,82,45,2024-05-01T06:58:00,1.4,53,11.7,191,2024-05-27T12:24:00,113.5,,,,,,,,,,,,,,,,,,,,,,,59.0,2024-05-25T00:00:00,,0,,,0,,21.0,0,,2024-05-25T15:00:00,,,0,,14,0,,,100,2024-05-25T15:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-06-01,1005.0,1011.7,2024-06-26T22:50:00,998.5,2024-06-14T14:15:00,29.2,40.0,2024-06-15T13:56:00,22.2,2024-06-03T18:19:00,80,35,2024-06-15T13:58:00,1.5,189,13.7,217,2024-06-17T12:37:00,46.5,,,,,,,,,,,,,,,,,,,,,,,15.5,2024-06-02T00:00:00,,0,,,0,,8.5,0,,2024-06-27T02:00:00,,,0,,9,0,,,100,2024-06-02T20:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-07-01,1003.7,1012.4,2024-07-03T21:40:00,969.4,2024-07-24T17:20:00,29.6,35.0,2024-07-01T12:39:00,24.9,2024-07-25T13:05:00,80,55,2024-07-01T12:19:00,1.7,189,16.9,225,2024-07-25T14:17:00,267.0,,,,,,,,,,,,,,,,,,,,,,,90.5,2024-07-27T00:00:00,,0,,,0,,20.0,0,,2024-07-27T13:00:00,,,0,,10,0,,,100,2024-07-15T05:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-08-01,1003.0,1007.6,2024-08-22T21:35:00,998.0,2024-08-28T15:03:00,29.7,35.9,2024-08-21T14:50:00,25.5,2024-08-16T00:46:00,79,49,2024-08-20T13:20:00,1.2,297,13.6,184,2024-08-20T13:13:00,22.5,,,,,,,,,,,,,,,,,,,,,,,11.0,2024-08-11T00:00:00,,0,,,0,,10.5,0,,2024-08-11T21:00:00,,,0,,6,0,,,100,2024-08-19T13:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-09-01,1003.0,1010.2,2024-09-23T09:03:00,995.4,2024-09-14T16:46:00,28.7,35.2,2024-09-11T08:38:00,23.7,2024-09-30T10:06:00,82,55,2024-09-17T08:00:00,1.6,187,15.3,22,2024-09-30T08:09:00,502.5,,,,,,,,,,,,,,,,,,,,,,,191.0,2024-09-30T00:00:00,,0,,,0,,41.0,0,,2024-09-17T04:00:00,,,0,,15,0,,,100,2024-09-05T00:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-10-01,1006.8,1013.9,2024-10-20T08:52:00,959.0,2024-10-31T12:29:00,26.9,33.7,2024-10-19T09:29:00,23.3,2024-10-04T03:15:00,84,56,2024-10-19T09:29:00,2.5,25,27.6,242,2024-10-31T13:04:00,889.5,,,,,,,,,,,,,,,,,,,,,,,190.0,2024-10-03T00:00:00,,1,,,1,,66.0,1,,2024-10-04T01:00:00,,,0,,12,1,,,100,2024-10-01T00:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
