,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
1997-01-01,1003.5,1013.2,1997-01-06T08:57:00,990.9,1997-01-24T04:02:00,15.5,25.0,1997-01-18T10:33:00,4.8,1997-01-12T06:17:00,,-9997.0,,0.6,180.0,10.3,126.0,1997-01-01T20:04:00,63.5,,,,,,,,,,,,,,,,,,,,,,,14.0,1997-01-24T00:00:00,,0,,,0,,,,,,,,,,21,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
1997-02-01,1003.2,1011.5,1997-02-19T09:53:00,992.8,1997-02-08T15:01:00,15.9,25.7,1997-02-28T12:25:00,8.2,1997-02-20T06:26:00,,-9997.0,,0.5,180.0,8.0,264.0,1997-02-15T18:21:00,157.5,,,,,,,,,,,,,,,,,,,,,,,27.0,1997-02-03T00:00:00,,0,,,0,,,,,,,,,,22,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
1997-03-01,1001.8,1009.9,1997-03-03T22:51:00,992.0,1997-03-22T15:08:00,18.7,28.9,1997-03-14T13:32:00,8.7,1997-03-04T06:18:00,,-9997.0,,0.6,157.5,7.8,143.0,1997-03-22T19:16:00,134.5,,,,,,,,,,,,,,,,,,,,,,,34.5,1997-03-22T00:00:00,,0,,,0,,,,,,,,,,20,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
1997-04-01,999.1,1004.6,1997-04-23T21:56:00,992.8,1997-04-15T03:53:00,21.0,31.9,1997-04-30T10:33:00,14.3,1997-04-13T02:25:00,,-9997.0,,0.6,157.5,19.6,244.0,1997-04-21T12:39:00,82.0,,,,,,,,,,,,,,,,,,,,,,,16.5,1997-04-02T00:00:00,,0,,,0,,,,,,,,,,16,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
1997-05-01,994.0,1000.3,1997-05-09T21:14:00,986.6,1997-05-19T16:35:00,23.5,32.6,1997-05-14T12:12:00,14.6,1997-05-28T05:16:00,,-9997.0,,0.6,180.0,9.2,220.0,1997-05-23T22:22:00,156.0,,,,,,,,,,,,,,,,,,,,,,,35.5,1997-05-21T00:00:00,,0,,,0,,,,,,,,,,15,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
1997-06-01,991.9,998.3,1997-06-16T22:19:00,981.3,1997-06-27T04:11:00,24.4,32.4,1997-06-27T12:17:00,17.0,1997-06-19T04:52:00,,-9997.0,,0.5,180.0,10.4,258.0,1997-06-02T11:34:00,489.0,,,,,,,,,,,,,,,,,,,,,,,290.5,1997-06-23T00:00:00,,0,,,0,,,,,,,,,,22,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
1997-07-01,993.2,998.5,1997-07-18T22:17:00,988.9,1997-07-31T15:30:00,26.0,34.2,1997-07-31T10:56:00,20.4,1997-07-24T05:19:00,,-9997.0,,0.5,180.0,10.9,315.0,1997-07-23T15:35:00,194.5,,,,,,,,,,,,,,,,,,,,,,,35.5,1997-07-11T00:00:00,,0,,,0,,,,,,,,,,17,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
1997-08-01,989.4,995.5,1997-08-02T21:43:00,953.8,1997-08-29T03:50:00,26.5,34.9,1997-08-07T15:02:00,19.8,1997-08-26T05:43:00,,-9997.0,,0.8,3.0,38.3,359.0,1997-08-28T23:22:00,779.0,-999.7,,,,,,,,,,,,,,,,,,,,,,540.0,1997-08-29T00:00:00,,0,,,0,,,,,,,,,,12,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
1997-09-01,997.1,994.3,1997-09-01T00:11:00,990.8,1997-09-01T17:09:00,24.1,31.4,1997-09-01T10:13:00,23.5,1997-09-01T23:47:00,,-9997.0,,0.7,180.0,7.5,299.0,1997-09-01T13:02:00,65.0,,,,,,,,,,,,,,,,,,,,,,,28.0,1997-09-07T00:00:00,,0,,,0,,,,,,,,,,19,0,,,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
1997-10-01,1000.7,,,,,22.6,,,,,,,,0.6,180.0,,,,231.0,,,,,,,,,,,,,,,,,,,,,,,157.0,1997-10-01T00:00:00,,0,,,0,,,,,,,,,,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
