,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2016-01-01,1005.1,1007.7,2016-01-01 09:05:00,1002.6,2016-01-01 15:47:00,18.4,23.4,2016-01-01 12:47:00,15.5,2016-01-01 02:15:00,,,,0.5,289.0,4.7,119.0,2016-01-01 14:20:00,0.0,,,,,,
2016-01-02,1001.1,1003.6,2016-01-03 00:00:00,998.8,2016-01-02 15:38:00,19.1,23.4,2016-01-02 12:56:00,15.5,2016-01-02 06:43:00,,,,0.4,44.0,5.7,266.0,2016-01-02 00:49:00,5.5,,,,,,
2016-01-03,999.3,1001.2,2016-01-03 10:18:00,997.1,2016-01-03 14:09:00,18.6,19.5,2016-01-03 00:37:00,18.1,2016-01-03 23:37:00,,,,0.1,135.0,4.1,264.0,2016-01-03 00:35:00,25.5,,,,,,
2016-01-04,997.7,999.6,2016-01-04 09:30:00,995.6,2016-01-04 14:06:00,20.8,26.8,2016-01-04 11:43:00,18.1,2016-01-04 01:23:00,,,,0.3,78.0,4.2,71.0,2016-01-04 13:39:00,0.0,,,,,,
2016-01-05,996.2,998.0,2016-01-05 09:09:00,993.3,2016-01-05 14:41:00,21.3,27.1,2016-01-05 12:19:00,17.8,2016-01-05 04:17:00,,,,0.6,77.0,6.3,113.0,2016-01-05 20:38:00,27.5,,,,,,
2016-01-06,997.1,1000.1,2016-01-06 23:17:00,994.9,2016-01-06 14:52:00,19.4,24.2,2016-01-06 13:28:00,17.3,2016-01-06 23:59:00,,,,0.5,81.0,8.0,88.0,2016-01-06 18:13:00,5.0,,,,,,
2016-01-07,1000.5,1002.7,2016-01-07 09:14:00,998.7,2016-01-07 14:55:00,17.8,20.2,2016-01-07 09:18:00,16.1,2016-01-07 06:47:00,,,,0.4,78.0,6.4,80.0,2016-01-07 16:02:00,6.0,,,,,,
2016-01-08,998.7,1001.0,2016-01-08 23:06:00,996.8,2016-01-08 04:58:00,16.1,17.5,2016-01-08 09:44:00,15.0,2016-01-08 19:06:00,,,,0.4,99.0,6.8,78.0,2016-01-08 10:53:00,9.5,,,,,,
2016-01-09,1000.8,1003.0,2016-01-09 09:07:00,999.1,2016-01-09 15:08:00,16.6,21.0,2016-01-09 13:13:00,14.8,2016-01-09 01:38:00,,,,0.5,81.0,5.0,275.0,2016-01-09 23:33:00,0.5,,,,,,
2016-01-10,997.7,1000.2,2016-01-10 00:22:00,995.7,2016-01-10 15:22:00,18.6,25.0,2016-01-10 11:47:00,13.9,2016-01-10 05:37:00,,,,0.8,288.0,5.3,272.0,2016-01-10 00:52:00,0.0,,,,,,
2016-01-11,994.3,996.2,2016-01-11 23:25:00,992.2,2016-01-11 13:57:00,18.1,22.3,2016-01-11 12:53:00,16.2,2016-01-11 04:23:00,,,,0.4,119.0,4.8,111.0,2016-01-11 15:30:00,3.0,,,,,,
2016-01-12,998.3,1000.1,2016-01-12 10:04:00,995.8,2016-01-12 00:25:00,16.6,18.9,2016-01-12 13:08:00,15.5,2016-01-12 23:39:00,,,,0.3,68.0,4.6,78.0,2016-01-12 09:54:00,18.0,,,,,,
2016-01-13,999.1,1000.6,2016-01-13 09:48:00,997.1,2016-01-13 14:55:00,15.7,18.8,2016-01-13 11:14:00,14.3,2016-01-13 22:44:00,,,,0.4,142.0,4.8,112.0,2016-01-13 15:15:00,4.0,,,,,,
2016-01-14,998.5,1000.7,2016-01-14 09:27:00,996.4,2016-01-14 15:22:00,15.3,18.5,2016-01-14 12:22:00,13.8,2016-01-14 23:51:00,,,,0.3,84.0,3.5,264.0,2016-01-14 22:04:00,0.5,,,,,,
