,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2016-01-01,962.7,973.7,2016-01-25T09:53:00,948.1,2016-01-17T14:19:00,14.8,25.7,2016-01-05T12:58:00,3.8,2016-01-24T23:39:00,-99.8,-9997.0,-99.8,0.6,142.0,10.7,16.0,2016-01-23T13:07:00,224.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-02-01,964.1,973.6,2016-02-25T09:17:00,954.0,2016-02-13T14:41:00,13.9,26.2,2016-02-13T14:15:00,7.3,2016-02-07T00:55:00,-99.8,-9997.0,-99.8,0.7,74.0,13.3,33.0,2016-02-06T02:51:00,54.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-03-01,961.1,969.4,2016-03-28T09:45:00,953.8,2016-03-13T20:40:00,15.8,26.1,2016-03-05T10:22:00,9.4,2016-03-27T03:09:00,-99.8,-9997.0,-99.8,0.8,9.0,11.9,106.0,2016-03-08T13:43:00,114.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-04-01,956.6,965.0,2016-04-19T10:11:00,947.5,2016-04-13T14:23:00,21.1,39.1,2016-04-25T00:29:00,-10.0,2016-04-11T16:35:00,-99.8,-9997.0,-99.8,0.8,144.0,11.7,150.0,2016-04-23T14:55:00,72.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-05-01,955.3,961.1,2016-05-14T10:08:00,949.3,2016-05-10T14:38:00,23.1,32.8,2016-05-03T11:50:00,16.6,2016-05-17T02:11:00,-99.8,-9997.0,-99.8,0.9,128.0,14.2,137.0,2016-05-08T12:23:00,173.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-06-01,954.2,960.6,2016-06-29T23:00:00,948.5,2016-06-12T17:35:00,25.2,33.1,2016-06-01T13:46:00,7.0,2016-06-16T07:49:00,-99.8,-9997.0,-99.8,1.5,149.0,11.2,148.0,2016-06-20T13:38:00,111.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-07-01,953.4,958.1,2016-07-05T22:29:00,0.0,2016-07-31T16:15:00,25.7,33.7,2016-07-31T12:36:00,22.2,2016-07-08T08:00:00,-99.8,-9997.0,-99.8,1.4,142.0,23.3,115.0,2016-07-08T10:30:00,277.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-08-01,950.0,955.9,2016-08-03T22:25:00,0.0,2016-08-01T17:36:00,25.1,33.0,2016-08-24T12:39:00,20.1,2016-08-30T19:20:00,-99.8,-9997.0,-99.8,1.0,149.0,10.4,153.0,2016-08-01T11:59:00,216.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-09-01,952.1,961.1,2016-09-21T21:06:00,903.3,2016-09-27T13:54:00,23.9,33.0,2016-09-07T13:41:00,19.4,2016-09-20T06:09:00,-99.8,-9997.0,-99.8,1.0,52.0,35.4,158.0,2016-09-27T21:41:00,548.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-10-01,957.2,968.0,2016-10-30T09:14:00,950.4,2016-10-03T15:44:00,23.2,30.7,2016-10-23T10:28:00,18.5,2016-10-31T06:01:00,-99.8,-9997.0,-99.8,0.8,147.0,17.8,129.0,2016-10-20T20:28:00,878.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-11-01,961.5,968.8,2016-11-29T09:21:00,955.7,2016-11-05T14:28:00,19.4,29.0,2016-11-19T11:09:00,15.0,2016-11-28T20:31:00,-99.8,-9997.0,-99.8,0.6,140.0,9.6,7.0,2016-11-09T01:19:00,233.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2016-12-01,963.3,969.5,2016-12-16T10:03:00,956.3,2016-12-13T14:43:00,17.0,26.9,2016-12-04T11:04:00,10.2,2016-12-16T06:50:00,-99.8,-9997.0,-99.8,0.4,1.0,11.2,357.0,2016-12-27T17:28:00,87.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
