,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2009-01-01,1013.3,1022.8,2009-01-14T22:56:00,1001.9,2009-01-22T14:27:00,17.0,27.3,2009-01-19T10:11:00,8.0,2009-01-14T06:54:00,-9997,-9997,,0.6,291,10.9,127,2009-01-24T11:14:00,32.0,-999.7,,,,,,,,,,,,,,,,,,,,,,15.5,2009-01-05T00:00:00,,0,,,0,,,,,,,,,,7,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2009-02-01,1008.2,1016.2,2009-02-01T08:47:00,997.5,2009-02-13T15:17:00,20.2,28.6,2009-02-25T12:49:00,14.1,2009-02-20T22:27:00,-9997,-9997,,0.6,126,12.7,35,2009-02-20T09:07:00,116.5,-999.7,,,,,,,,,,,,,,,,,,,,,,33.0,2009-02-26T00:00:00,,0,,,0,,,,,,,,,,15,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2009-03-01,1009.1,1018.6,2009-03-14T21:42:00,1000.3,2009-03-05T15:11:00,19.8,29.7,2009-03-22T14:58:00,12.1,2009-03-14T16:01:00,-9997,-9997,,0.6,71,13.2,128,2009-03-13T18:14:00,139.5,-999.7,,,,,,,,,,,,,,,,,,,,,,58.5,2009-03-12T00:00:00,,0,,,0,,,,,,,,,,14,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2009-04-01,1008.1,1018.6,2009-04-02T09:18:00,993.9,2009-04-20T15:23:00,20.6,30.6,2009-04-13T11:45:00,14.1,2009-04-07T03:19:00,-9997,-9997,,0.5,66,13.6,134,2009-04-17T11:55:00,58.5,-999.7,,,,,,,,,,,,,,,,,,,,,,24.0,2009-04-22T00:00:00,,0,,,0,,,,,,,,,,16,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2009-05-01,1005.9,1013.4,2009-05-01T09:15:00,1000.7,2009-05-26T17:23:00,24.0,31.7,2009-05-21T11:13:00,17.1,2009-05-01T03:55:00,-9997,-9997,,0.7,128,9.1,344,2009-05-11T02:14:00,197.0,-999.7,,,,,,,,,,,,,,,,,,,,,,94.5,2009-05-21T00:00:00,,0,,,0,,,,,,,,,,10,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2009-06-01,1000.2,1005.4,2009-06-08T22:11:00,991.5,2009-06-04T16:05:00,26.3,33.8,2009-06-23T10:33:00,19.2,2009-06-06T01:23:00,-9997,-9997,,0.6,115,11.5,17,2009-06-04T22:52:00,257.5,-999.7,,,,,,,,,,,,,,,,,,,,,,86.5,2009-06-14T00:00:00,,0,,,0,,,,,,,,,,15,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2009-07-01,1000.2,1007.0,2009-07-06T09:43:00,995.3,2009-07-24T15:41:00,27.5,34.5,2009-07-16T08:46:00,22.2,2009-07-18T00:03:00,-9997,-9997,,0.6,98,12.4,129,2009-07-18T04:42:00,292.0,-999.7,,,,,,,,,,,,,,,,,,,,,,152.0,2009-07-13T00:00:00,,0,,,0,,,,,,,,,,14,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2009-08-01,996.4,1005.6,2009-08-17T08:53:00,953.5,2009-08-07T22:40:00,27.8,34.8,2009-08-07T11:01:00,23.1,2009-08-13T03:59:00,-9997,-9997,,0.6,1,28.0,115,2009-08-07T23:16:00,194.0,-999.7,,,,,,,,,,,,,,,,,,,,,,92.0,2009-08-07T00:00:00,,0,,,0,,,,,,,,,,11,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2009-09-01,1001.6,1006.1,2009-09-16T21:02:00,994.7,2009-09-05T14:54:00,26.8,34.7,2009-09-02T09:32:00,21.2,2009-09-28T02:22:00,-9997,-9997,,0.5,116,11.5,122,2009-09-04T11:32:00,384.0,-999.7,,,,,,,,,,,,,,,,,,,,,,96.5,2009-09-16T00:00:00,,1,,,1,,,,,,,,,,16,1,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2009-10-01,1005.1,1014.0,2009-10-29T08:31:00,996.3,2009-10-24T14:22:00,23.8,32.6,2009-10-28T10:20:00,18.2,2009-10-26T04:48:00,-9997,-9997,,0.5,321,14.6,214,2009-10-06T02:05:00,1284.0,-999.7,,,,,,,,,,,,,,,,,,,,,,452.5,2009-10-05T00:00:00,,0,,,0,,,,,,,,,,11,0,,,-9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
