,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2015-01-01,1011.4,1018.4,2015-01-01T20:31:00,1003.3,2015-01-06T14:01:00,16.8,25.6,2015-01-06T11:13:00,12.7,2015-01-08T08:58:00,-99.8,-9997.0,-99.8,1.3,304.0,7.6,324.0,2015-01-01T06:02:00,103.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-02-01,1009.6,1018.6,2015-02-01T09:48:00,1001.5,2015-02-25T16:11:00,17.7,27.4,2015-02-26T09:33:00,10.6,2015-02-06T02:08:00,-99.8,-9997.0,-99.8,1.1,305.0,7.8,165.0,2015-02-25T16:01:00,65.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-03-01,1008.7,1018.9,2015-03-25T21:48:00,999.4,2015-03-03T15:38:00,19.7,28.2,2015-03-20T11:22:00,13.3,2015-03-02T00:43:00,-99.8,-9997.0,-99.8,1.1,304.0,13.4,167.0,2015-03-18T14:24:00,146.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-04-01,1005.4,1012.5,2015-04-22T21:25:00,994.4,2015-04-20T04:31:00,22.1,29.9,2015-04-05T09:06:00,15.8,2015-04-08T07:38:00,-99.8,-9997.0,-99.8,1.0,303.0,13.9,168.0,2015-04-18T12:33:00,113.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-05-01,1000.6,1006.7,2015-05-12T22:06:00,994.0,-99.8,24.7,31.9,2015-05-31T09:07:00,18.9,2015-05-21T07:58:00,-99.8,-9997.0,-99.8,0.6,303.0,12.8,189.0,2015-05-14T12:51:00,185.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-06-01,999.0,1003.3,2015-06-01T22:12:00,992.9,2015-06-30T16:55:00,28.0,34.0,2015-06-27T10:50:00,24.1,2015-06-05T03:24:00,-99.8,-9997.0,-99.8,1.2,155.0,13.7,157.0,2015-06-17T11:10:00,2.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-07-01,996.0,1004.7,2015-07-27T09:17:00,980.2,2015-07-11T04:52:00,27.7,33.9,2015-07-02T11:19:00,23.3,2015-07-08T02:48:00,-99.8,-9997.0,-99.8,1.0,122.0,16.6,178.0,2015-07-19T16:25:00,90.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-08-01,996.5,1004.7,2015-08-02T11:02:00,948.5,2015-08-08T04:08:00,27.2,33.9,2015-08-03T08:43:00,22.9,2015-08-26T05:45:00,-99.8,-9997.0,-99.8,1.1,302.0,25.2,178.0,2015-08-08T15:48:00,195.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-09-01,1001.1,1008.2,2015-09-17T21:51:00,962.0,2015-09-28T18:32:00,25.8,31.8,2015-09-06T08:59:00,21.9,2015-09-12T23:53:00,-99.8,-9997.0,-99.8,0.9,300.0,23.0,182.0,2015-09-28T17:54:00,151.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-10-01,1006.0,1014.0,2015-10-31T09:07:00,997.6,2015-10-20T16:00:00,24.1,31.3,2015-10-04T11:02:00,19.8,2015-10-20T09:13:00,-99.8,-9997.0,-99.8,0.7,297.0,8.6,146.0,2015-10-01T12:20:00,117.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-11-01,1009.1,1017.2,2015-11-27T10:07:00,1004.1,2015-11-16T15:19:00,22.6,30.5,2015-11-18T10:18:00,14.4,2015-11-27T02:21:00,-99.8,-9997.0,-99.8,0.6,302.0,10.7,50.0,2015-11-26T06:07:00,474.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2015-12-01,1010.3,1018.9,2015-12-31T21:41:00,998.7,2015-12-10T04:35:00,19.6,27.9,2015-12-22T11:34:00,12.2,2015-12-17T19:53:00,-99.8,-9997.0,-99.8,0.6,311.0,8.2,65.0,2015-12-16T21:37:00,73.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
