,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp
2017-01-01,964.4,967.0,2017-01-01 09:30:00,962.4,2017-01-01 15:33:00,16.5,19.1,2017-01-01 12:35:00,14.7,2017-01-01 23:55:00,,-9997,,0.4,73.0,2.5,87.0,2017-01-01 12:16:00,2.5
2017-01-02,962.4,963.8,2017-01-02 09:22:00,961.1,2017-01-02 14:13:00,17.0,21.1,2017-01-02 12:07:00,12.9,2017-01-02 06:02:00,,-9997,,0.8,241.0,3.1,244.0,2017-01-02 08:00:00,0.0
2017-01-03,962.6,964.6,2017-01-03 09:44:00,961.0,2017-01-03 15:17:00,17.3,17.9,2017-01-03 10:58:00,16.9,2017-01-03 19:43:00,,-9997,,0.4,78.0,4.7,129.0,2017-01-03 19:44:00,26.5
2017-01-04,961.1,963.1,2017-01-04 09:13:00,959.3,2017-01-04 14:36:00,17.8,19.1,2017-01-04 15:22:00,16.3,2017-01-04 23:59:00,,-9997,,0.3,60.0,3.0,100.0,2017-01-04 00:14:00,2.5
2017-01-05,959.0,960.2,2017-01-05 09:43:00,957.3,2017-01-05 15:17:00,18.0,20.9,2017-01-05 10:05:00,14.9,2017-01-05 06:12:00,,-9997,,0.6,235.0,2.7,244.0,2017-01-05 06:12:00,0.5
2017-01-06,958.3,960.3,2017-01-06 09:38:00,956.8,2017-01-06 16:04:00,17.9,19.4,2017-01-06 12:18:00,15.6,2017-01-06 03:37:00,,-9997,,0.5,239.0,2.5,239.0,2017-01-06 05:14:00,3.0
2017-01-07,956.0,957.5,2017-01-07 09:38:00,953.7,2017-01-07 15:19:00,18.7,21.4,2017-01-07 14:44:00,16.9,2017-01-07 07:28:00,,-9997,,0.8,58.0,2.5,239.0,2017-01-07 23:54:00,8.0
2017-01-08,956.6,958.8,2017-01-08 22:36:00,954.9,2017-01-08 04:17:00,16.9,21.0,2017-01-08 09:50:00,14.5,2017-01-08 23:43:00,,-9997,,0.6,237.0,3.1,243.0,2017-01-08 04:19:00,7.5
2017-01-09,960.5,962.2,2017-01-09 09:37:00,958.2,2017-01-09 02:24:00,13.0,14.7,2017-01-09 00:18:00,11.6,2017-01-09 22:58:00,,-9997,,0.1,239.0,1.9,70.0,2017-01-09 12:40:00,7.0
2017-01-10,962.3,964.1,2017-01-10 22:21:00,960.8,2017-01-10 14:43:00,12.7,14.5,2017-01-10 12:51:00,11.2,2017-01-10 01:34:00,,-9997,,0.4,242.0,1.8,241.0,2017-01-10 06:28:00,0.5
