,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRad,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunShine,SunshineDuration.Totalf,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil5cm,WindDirection.Prevailingf,WindSpeed.Meanf
2021-01-01,809.1,810.4,2021-01-01T08:25:00,807.4,2021-01-01T14:54:00,-1.5,0.3,2021-01-01T23:48:00,-3.7,2021-01-01T00:21:00,100,99.0,2021-01-01T10:50:00,0.6,98,6.1,96.0,2021-01-01T23:46:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,100.0,2021-01-01T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,810.0,810.7,2021-01-02T05:08:00,808.9,2021-01-02T13:22:00,1.6,4.9,2021-01-02T11:33:00,-0.3,2021-01-02T00:26:00,99,82.0,2021-01-02T07:32:00,0.6,94,8.2,174.0,2021-01-02T08:02:00,3.5,,,,,,,,,,,,,,,,0.5,2021-01-02T11:00:00,,,0,,100.0,2021-01-02T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,811.1,812.2,2021-01-03T08:11:00,810.1,2021-01-03T14:00:00,5.1,8.7,2021-01-03T13:40:00,1.9,2021-01-03T00:02:00,94,72.0,2021-01-03T19:19:00,1.4,106,7.6,102.0,2021-01-03T20:06:00,0.5,,,,,,,,,,,,,,,,0.5,2021-01-03T04:00:00,,,0,,100.0,2021-01-03T00:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,811.2,812.7,2021-01-04T08:44:00,809.7,2021-01-04T14:14:00,7.5,10.9,2021-01-04T10:25:00,4.8,2021-01-04T05:01:00,99,85.0,2021-01-04T10:31:00,0.3,86,4.9,94.0,2021-01-04T00:08:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,99.0,2021-01-04T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,809.9,811.4,2021-01-05T08:43:00,808.2,2021-01-05T14:08:00,6.5,9.3,2021-01-05T12:34:00,3.7,2021-01-05T23:01:00,99,99.0,2021-01-05T00:01:00,0.0,256,1.7,121.0,2021-01-05T06:31:00,17.0,,,,,,,,,,,,,,,,2.0,2021-01-05T14:00:00,,,0,,99.0,2021-01-05T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,808.4,810.4,2021-01-06T08:20:00,806.1,2021-01-06T14:57:00,3.9,5.9,2021-01-06T13:05:00,2.7,2021-01-06T07:03:00,99,99.0,2021-01-06T00:01:00,0.1,77,4.0,122.0,2021-01-06T07:43:00,13.0,,,,,,,,,,,,,,,,1.0,2021-01-06T03:00:00,,,0,,100.0,2021-01-06T00:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,808.1,809.7,2021-01-07T08:16:00,806.7,2021-01-07T13:45:00,1.3,3.7,2021-01-07T01:16:00,-2.1,2021-01-07T23:42:00,99,99.0,2021-01-07T00:01:00,0.1,264,1.6,101.0,2021-01-07T07:32:00,15.0,,,,,,,,,,,,,,,,1.5,2021-01-07T10:00:00,,,0,,100.0,2021-01-07T00:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,807.0,808.2,2021-01-08T00:01:00,805.2,2021-01-08T13:08:00,-3.8,-2.0,2021-01-08T00:02:00,-5.3,2021-01-08T22:39:00,100,100.0,2021-01-08T00:01:00,0.0,0,0.0,0.0,2021-01-08T00:01:00,0.5,,,,,,,,,,,,,,,,0.5,2021-01-08T11:00:00,,,0,,100.0,2021-01-08T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,807.0,808.4,2021-01-09T21:59:00,805.1,2021-01-09T14:07:00,-4.5,-0.8,2021-01-09T10:50:00,-6.5,2021-01-09T06:07:00,100,99.0,2021-01-09T10:40:00,0.1,267,2.5,264.0,2021-01-09T14:43:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,100.0,2021-01-09T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,808.3,809.2,2021-01-10T08:57:00,806.9,2021-01-10T14:09:00,-1.9,0.2,2021-01-10T10:16:00,-5.4,2021-01-10T00:01:00,100,99.0,2021-01-10T09:56:00,0.5,7,7.6,98.0,2021-01-10T21:17:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,100.0,2021-01-10T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
