,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2023-01-01,1024.4,1026.2,2023-01-01T08:42:00,1022.7,2023-01-01T14:17:00,18.0,18.8,2023-01-01T03:24:00,17.5,2023-01-01T20:34:00,99.0,96.0,2023-01-01T17:56:00,1.3,80.0,9.7,78.0,2023-01-01T01:46:00,52.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-02,1024.1,1026.0,2023-01-02T09:20:00,1022.0,2023-01-02T15:01:00,17.9,19.2,2023-01-02T14:21:00,17.1,2023-01-02T22:47:00,98.0,90.0,2023-01-02T15:09:00,1.3,28.0,7.4,39.0,2023-01-02T21:46:00,31.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-03,1025.0,1026.7,2023-01-03T21:38:00,1023.5,2023-01-03T03:54:00,16.4,18.3,2023-01-03T12:36:00,14.4,2023-01-03T22:46:00,94.0,82.0,2023-01-03T12:29:00,1.9,39.0,7.6,40.0,2023-01-03T11:25:00,10.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-04,1025.2,1027.7,2023-01-04T08:58:00,1023.7,2023-01-04T15:36:00,15.2,16.4,2023-01-04T23:59:00,14.1,2023-01-04T02:45:00,100.0,99.0,2023-01-04T11:10:00,1.5,289.0,5.6,11.0,2023-01-04T18:51:00,38.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-05,1023.0,1025.0,2023-01-05T08:48:00,1021.3,2023-01-05T14:33:00,18.0,20.2,2023-01-05T12:26:00,16.0,2023-01-05T01:44:00,100.0,96.0,2023-01-05T12:52:00,0.8,262.0,4.8,34.0,2023-01-05T07:11:00,5.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-06,1022.3,1024.0,2023-01-06T09:54:00,1020.7,2023-01-06T13:32:00,18.5,20.9,2023-01-06T11:22:00,17.0,2023-01-06T22:09:00,88.0,77.0,2023-01-06T16:19:00,1.8,31.0,8.4,51.0,2023-01-06T14:04:00,0.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-07,1023.1,1024.6,2023-01-07T09:33:00,1021.6,2023-01-07T14:58:00,16.8,18.5,2023-01-07T12:38:00,15.7,2023-01-07T21:31:00,79.0,63.0,2023-01-07T10:02:00,1.1,253.0,6.1,56.0,2023-01-07T10:12:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-08,1022.2,1023.8,2023-01-08T09:13:00,1020.5,2023-01-08T15:33:00,18.2,22.1,2023-01-08T12:02:00,15.5,2023-01-08T02:06:00,84.0,64.0,2023-01-08T12:03:00,1.1,240.0,4.7,134.0,2023-01-08T12:31:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-09,1019.8,1021.5,2023-01-09T00:26:00,1017.3,2023-01-09T15:51:00,20.0,23.8,2023-01-09T14:34:00,17.2,2023-01-09T01:05:00,86.0,67.0,2023-01-09T10:08:00,1.8,38.0,8.8,32.0,2023-01-09T21:15:00,8.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2023-01-10,1019.6,1021.7,2023-01-10T09:21:00,1017.4,2023-01-10T15:45:00,18.5,22.2,2023-01-10T13:25:00,16.8,2023-01-10T05:53:00,95.0,73.0,2023-01-10T13:20:00,1.8,11.0,7.8,34.0,2023-01-10T00:22:00,17.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
