,StnPres,Tx,RH,WS,WD,WSGust,WDGust,Precp,AirTemperature.Instantaneousf,GlobalSolarRadiation.Accumulationf,GloblRad,PeakGust.Directionf,PeakGust.MaximumTime,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Instantaneousf,SoilTemperatureAt0cm.Instantaneousf,SoilTemperatureAt100cm.Instantaneousf,SoilTemperatureAt10cm.Instantaneousf,SoilTemperatureAt20cm.Instantaneousf,SoilTemperatureAt50cm.Instantaneousf,SoilTemperatureAt5cm.Instantaneousf,StationPressure.Instantaneousf,SunShine,SunshineDuration.Totalf,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil5cm,WindDirection.Meanf,WindSpeed.Meanf
2020-01-01 01:00:00,742.5,4.8,100,4.1,205.0,6.5,221.0,0.0,,,,,2020-01-01T00:07:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 02:00:00,742.3,4.7,100,3.8,208.0,6.5,210.0,0.0,,,,,2020-01-01T01:48:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 03:00:00,742.2,4.4,99,3.9,208.0,5.9,218.0,0.0,,,,,2020-01-01T02:07:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 04:00:00,742.1,4.2,97,4.3,209.0,6.6,209.0,0.0,,,,,2020-01-01T03:47:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 05:00:00,742.1,3.4,99,5.3,211.0,6.9,213.0,0.0,,,,,2020-01-01T04:57:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 06:00:00,742.5,2.9,99,5.0,210.0,6.5,207.0,0.0,,,,,2020-01-01T05:25:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 07:00:00,742.9,2.8,99,5.0,209.0,6.0,215.0,0.0,,,,,2020-01-01T06:46:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 08:00:00,743.5,3.4,97,4.6,215.0,5.9,216.0,0.0,,,,,2020-01-01T07:56:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 09:00:00,744.1,4.0,95,4.4,213.0,6.6,215.0,0.5,,,,,2020-01-01T08:09:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 10:00:00,744.2,4.7,87,4.4,211.0,6.3,176.0,0.0,,,,,2020-01-01T09:15:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 11:00:00,743.8,5.7,79,4.2,201.0,6.1,200.0,0.0,,,,,2020-01-01T10:28:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 12:00:00,743.2,8.0,70,3.3,193.0,5.9,182.0,0.0,,,,,2020-01-01T11:11:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 13:00:00,742.7,8.6,66,2.7,189.0,5.0,204.0,0.0,,,,,2020-01-01T12:07:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 14:00:00,742.4,8.8,62,2.8,200.0,6.2,165.0,0.0,,,,,2020-01-01T13:09:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 15:00:00,742.3,8.5,68,3.0,196.0,4.9,180.0,0.0,,,,,2020-01-01T14:32:00,,,,0,,,,,,,,,,,,,,,,,,,
2020-01-01 16:00:00,742.5,6.7,77,2.6,194.0,5.7,178.0,0.0,,,,,2020-01-01T15:08:00,,,,0,,,,,,,,,,,,,,,,,,,
