,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRad,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunShine,SunshineDuration.Totalf,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil5cm,WindDirection.Prevailingf,WindSpeed.Meanf
2020-01-01,742.9,744.4,2020-01-01T09:35:00,741.9,2020-01-01T04:28:00,4.7,10.0,2020-01-01T13:33:00,0.9,2020-01-01T20:45:00,83,33.0,2020-01-01T22:25:00,4.0,208,7.4,211.0,2020-01-01T23:58:00,0.5,,,,,,,,,,,,,,,,0.5,2020-01-01T09:00:00,,,0,,100.0,2020-01-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,742.9,744.2,2020-01-02T09:05:00,741.7,2020-01-02T03:43:00,5.6,12.2,2020-01-02T13:31:00,1.9,2020-01-02T01:27:00,60,36.0,2020-01-02T06:42:00,1.7,206,7.4,206.0,2020-01-02T00:07:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,99.0,2020-01-02T18:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,741.6,743.0,2020-01-03T09:59:00,740.4,2020-01-03T14:27:00,5.6,11.3,2020-01-03T14:49:00,2.7,2020-01-03T20:41:00,66,37.0,2020-01-03T01:49:00,1.3,185,4.4,55.0,2020-01-03T22:55:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,100.0,2020-01-03T19:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,740.6,742.1,2020-01-04T09:42:00,739.6,2020-01-04T04:08:00,7.2,12.5,2020-01-04T12:40:00,3.3,2020-01-05T00:00:00,59,42.0,2020-01-04T02:49:00,1.0,20,4.5,36.0,2020-01-04T10:28:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,92.0,2020-01-04T20:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,741.6,743.0,2020-01-05T20:08:00,740.3,2020-01-05T02:10:00,9.4,14.3,2020-01-05T13:15:00,5.4,2020-01-06T00:00:00,55,35.0,2020-01-05T23:55:00,1.4,184,4.1,156.0,2020-01-05T00:13:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,89.0,2020-01-05T17:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,741.8,743.2,2020-01-06T09:23:00,740.7,2020-01-06T14:53:00,12.0,18.0,2020-01-06T12:47:00,9.2,2020-01-06T07:07:00,44,26.0,2020-01-06T03:56:00,1.2,166,2.9,176.0,2020-01-06T16:38:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,73.0,2020-01-06T17:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,740.5,741.5,2020-01-07T23:11:00,739.0,2020-01-07T14:54:00,10.8,14.5,2020-01-07T13:24:00,6.9,2020-01-07T19:40:00,33,18.0,2020-01-07T23:12:00,3.1,210,8.6,155.0,2020-01-07T11:30:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,60.0,2020-01-07T18:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,740.4,741.8,2020-01-08T09:25:00,739.3,2020-01-08T14:41:00,10.1,15.1,2020-01-08T14:39:00,4.7,2020-01-08T08:47:00,29,7.0,2020-01-08T07:37:00,1.7,194,4.3,207.0,2020-01-08T19:44:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,68.0,2020-01-08T17:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,738.8,740.2,2020-01-09T09:35:00,737.7,2020-01-09T23:58:00,7.5,12.6,2020-01-09T14:32:00,3.6,2020-01-09T20:36:00,47,7.0,2020-01-09T06:44:00,3.0,202,7.2,214.0,2020-01-09T19:51:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,96.0,2020-01-09T20:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,737.4,738.7,2020-01-10T09:29:00,736.5,2020-01-10T15:32:00,6.8,12.5,2020-01-10T13:46:00,3.5,2020-01-10T08:01:00,51,27.0,2020-01-10T03:10:00,2.9,209,5.9,286.0,2020-01-10T13:32:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,81.0,2020-01-10T08:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,736.5,737.8,2020-01-11T09:46:00,735.3,2020-01-11T14:25:00,6.6,14.2,2020-01-11T14:35:00,2.6,2020-01-11T23:37:00,56,36.0,2020-01-11T11:31:00,3.0,210,6.2,208.0,2020-01-11T19:53:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,99.0,2020-01-11T18:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,735.0,736.4,2020-01-12T09:25:00,733.8,2020-01-12T14:43:00,4.3,9.3,2020-01-12T15:02:00,2.0,2020-01-12T03:39:00,75,53.0,2020-01-12T13:01:00,4.3,206,10.4,163.0,2020-01-12T11:18:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,100.0,2020-01-12T23:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,735.7,737.1,2020-01-13T19:16:00,734.1,2020-01-13T04:14:00,2.8,6.0,2020-01-13T23:48:00,-0.2,2020-01-13T10:17:00,70,5.0,2020-01-13T23:49:00,2.6,205,8.3,209.0,2020-01-13T11:11:00,8.0,,,,,,,,,,,,,,,,1.5,2020-01-13T04:00:00,,,0,,100.0,2020-01-14T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,737.9,739.1,2020-01-14T20:56:00,736.4,2020-01-14T02:32:00,4.0,8.0,2020-01-14T14:57:00,-0.1,2020-01-14T08:45:00,29,7.0,2020-01-14T03:12:00,2.6,193,7.0,180.0,2020-01-14T15:19:00,0.0,,,,,,,,,,,,,,,,0.0,,,,0,,52.0,2020-01-14T08:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
