,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2019-01-01,937.2,942.1,2019-01-03T09:01:00,932.2,2019-01-14T14:56:00,18.3,29.3,2019-01-31T11:22:00,8.6,2019-01-23T06:01:00,76.0,21.0,2019-01-25T11:21:00,1.1,45.0,8.8,227.0,2019-01-29T15:35:00,13.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-02-01,936.0,941.5,2019-02-12T08:08:00,930.5,2019-02-06T14:51:00,20.0,30.1,2019-02-03T14:03:00,10.2,2019-02-07T06:46:00,67.0,15.0,2019-02-07T13:41:00,1.3,51.0,10.1,192.0,2019-02-08T13:49:00,2.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-03-01,934.1,939.3,2019-03-14T06:51:00,927.8,2019-03-03T15:26:00,19.1,31.2,2019-03-21T11:41:00,11.2,2019-03-26T05:51:00,78.0,20.0,2019-03-21T11:41:00,1.0,58.0,10.6,188.0,2019-03-04T13:14:00,118.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-04-01,932.3,938.5,2019-04-01T21:27:00,926.5,2019-04-30T15:24:00,21.9,33.3,2019-04-10T11:44:00,13.5,2019-04-07T03:42:00,74.0,10.0,2019-04-01T23:11:00,1.1,44.0,10.6,226.0,2019-04-19T15:58:00,127.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-05-01,930.3,934.0,2019-05-03T22:01:00,926.7,2019-05-08T14:51:00,21.5,29.0,2019-05-11T13:54:00,17.2,2019-05-05T05:21:00,86.0,46.0,2019-05-15T09:02:00,0.7,56.0,8.1,223.0,2019-05-05T11:17:00,927.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-06-01,928.8,933.7,2019-06-17T22:41:00,923.7,2019-06-28T14:21:00,23.0,30.5,2019-06-20T13:22:00,17.0,2019-06-09T05:27:00,84.0,41.0,2019-06-03T15:45:00,0.7,56.0,8.5,226.0,2019-06-17T15:51:00,590.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-07-01,928.0,934.0,2019-07-03T20:14:00,917.1,2019-07-17T16:43:00,23.5,31.1,2019-07-17T11:31:00,18.5,2019-07-30T06:13:00,85.0,42.0,2019-07-30T10:04:00,0.8,54.0,11.9,223.0,2019-07-03T15:04:00,299.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-08-01,925.4,933.0,2019-08-26T22:11:00,909.0,2019-08-24T15:25:00,23.1,32.5,2019-08-28T12:22:00,18.0,2019-08-26T05:35:00,88.0,45.0,2019-08-28T11:45:00,0.8,49.0,17.4,64.0,2019-08-24T15:32:00,1200.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-09-01,929.1,937.5,2019-09-24T21:11:00,919.8,2019-09-30T15:32:00,23.7,31.6,2019-09-06T13:35:00,16.5,2019-09-25T05:31:00,81.0,34.0,2019-09-09T10:07:00,1.0,226.0,8.3,225.0,2019-09-26T13:08:00,79.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-10-01,933.6,937.7,2019-10-15T08:57:00,922.8,2019-10-01T00:01:00,22.8,31.1,2019-10-02T13:31:00,10.0,2019-10-17T01:07:00,76.0,33.0,2019-10-23T11:01:00,1.2,222.0,8.5,231.0,2019-10-12T11:33:00,4.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-11-01,934.1,939.7,2019-11-29T08:51:00,927.3,2019-11-06T14:51:00,20.6,29.6,2019-11-03T12:26:00,10.8,2019-11-30T06:24:00,73.0,19.0,2019-11-17T10:21:00,1.2,55.0,9.8,225.0,2019-11-06T13:37:00,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2019-12-01,936.6,942.5,2019-12-31T09:24:00,930.5,2019-12-26T14:33:00,17.5,30.0,2019-12-26T12:51:00,7.7,2019-12-10T06:37:00,75.0,15.0,2019-12-14T12:01:00,1.0,54.0,9.0,216.0,2019-12-12T15:00:00,45.5,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
