,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRad,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunShine,SunshineDuration.Totalf,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil5cm,WindDirection.Prevailingf,WindSpeed.Meanf
2015-01-01,1020.3,1022.5,2015-01-01T09:02:00,1018.0,2015-01-01T14:32:00,16.5,21.3,2015-01-01T13:01:00,13.1,2015-01-01T04:21:00,70,55,2015-01-01T16:55:00,2.1,7,8.1,1,2015-01-01T17:08:00,0.0,,,,,,,,,,,,,,,,,,,,,,93,2015-01-01T01:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,1021.3,1023.5,2015-01-02T09:33:00,1019.0,2015-01-02T14:55:00,15.8,19.7,2015-01-02T14:11:00,10.6,2015-01-02T06:38:00,68,58,2015-01-02T10:32:00,1.8,40,5.0,278,2015-01-02T13:34:00,0.0,,,,,,,,,,,,,,,,,,,,,,80,2015-01-02T23:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,1019.2,1021.5,2015-01-03T09:14:00,1017.2,2015-01-03T14:34:00,16.8,21.1,2015-01-03T12:42:00,12.6,2015-01-03T04:37:00,74,55,2015-01-03T12:05:00,1.9,38,5.5,311,2015-01-03T13:09:00,0.0,,,,,,,,,,,,,,,,,,,,,,90,2015-01-03T05:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,1014.8,1017.2,2015-01-04T00:01:00,1012.8,2015-01-04T14:25:00,19.0,25.3,2015-01-04T11:45:00,13.5,2015-01-04T06:32:00,68,41,2015-01-04T11:45:00,2.2,35,5.5,54,2015-01-04T08:59:00,0.0,,,,,,,,,,,,,,,,,,,,,,87,2015-01-04T06:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,1012.6,1014.6,2015-01-05T09:02:00,1010.8,2015-01-05T14:37:00,20.2,25.6,2015-01-05T10:31:00,14.8,2015-01-05T06:21:00,70,42,2015-01-05T10:31:00,1.5,22,4.7,298,2015-01-05T14:18:00,0.0,,,,,,,,,,,,,,,,,,,,,,90,2015-01-05T04:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,1011.9,1013.5,2015-01-06T09:14:00,1010.0,2015-01-06T13:52:00,21.4,27.1,2015-01-06T13:52:00,17.4,2015-01-06T04:32:00,74,51,2015-01-06T11:43:00,2.0,29,5.4,360,2015-01-06T17:55:00,0.0,,,,,,,,,,,,,,,,,,,,,,87,2015-01-06T23:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,1015.8,1019.1,2015-01-07T23:46:00,1012.5,2015-01-07T00:01:00,19.0,23.7,2015-01-07T14:21:00,15.4,2015-01-07T22:01:00,78,62,2015-01-07T14:21:00,3.1,10,8.0,33,2015-01-07T21:28:00,0.0,,,,,,,,,,,,,,,,,,,,,,89,2015-01-07T03:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,1020.5,1022.1,2015-01-08T08:54:00,1019.0,2015-01-08T00:01:00,15.9,18.7,2015-01-08T15:11:00,13.8,2015-01-08T04:41:00,66,59,2015-01-08T14:26:00,2.5,16,8.2,10,2015-01-08T03:03:00,0.0,,,,,,,,,,,,,,,,,,,,,,76,2015-01-08T00:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,1020.7,1022.5,2015-01-09T08:51:00,1018.7,2015-01-09T14:31:00,17.2,21.1,2015-01-09T14:32:00,13.1,2015-01-09T06:45:00,67,55,2015-01-09T12:08:00,1.9,38,4.5,29,2015-01-09T22:48:00,0.0,,,,,,,,,,,,,,,,,,,,,,76,2015-01-09T23:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,1020.1,1022.0,2015-01-10T10:11:00,1018.1,2015-01-10T14:51:00,17.5,21.7,2015-01-10T12:53:00,14.2,2015-01-10T07:23:00,68,49,2015-01-10T12:53:00,2.2,43,8.0,339,2015-01-10T13:22:00,0.0,,,,,,,,,,,,,,,,,,,,,,82,2015-01-10T23:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
