,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Tx,TxMaxAbs,TxMaxAbsTime,TxMinAbs,TxMinAbsTime,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,AirTemperature.MaximumTimef,AirTemperature.Maximumf,AirTemperature.Meanf,AirTemperature.MinimumTimef,AirTemperature.Minimumf,GlobalSolarRadiation.Accumulationf,GlobalSolarRadiation.HourlyMaximumTimef,GlobalSolarRadiation.HourlyMaximumf,GloblRadMax,GloblRadMaxTime,PeakGust.Directionf,PeakGust.MaximumTimef,PeakGust.Maximumf,Precipitation.Accumulationf,Precipitation.DailyMaximum,Precipitation.DailyMaximumDate,Precipitation.DailyMaximumDatef,Precipitation.DailyMaximumFlag,Precipitation.DailyMaximumFlagf,Precipitation.DailyMaximumf,Precipitation.Flag,Precipitation.Flagf,Precipitation.HourlyMaximum,Precipitation.HourlyMaximumFlag,Precipitation.HourlyMaximumFlagf,Precipitation.HourlyMaximumTime,Precipitation.HourlyMaximumTimef,Precipitation.HourlyMaximumf,Precipitation.MeltFlag,Precipitation.MeltFlagf,Precipitation.PrecipitationDays,Precipitation.PrecipitationDaysFlag,Precipitation.PrecipitationDaysFlagf,Precipitation.PrecipitationDaysf,RelativeHumidity.Maximum,RelativeHumidity.MaximumTime,RelativeHumidity.MaximumTimef,RelativeHumidity.Maximumf,RelativeHumidity.Meanf,RelativeHumidity.MinimumTimef,RelativeHumidity.Minimumf,SoilTemperatureAt0cm.Maximum,SoilTemperatureAt0cm.MaximumTime,SoilTemperatureAt0cm.MaximumTimef,SoilTemperatureAt0cm.Maximumf,SoilTemperatureAt0cm.Meanf,SoilTemperatureAt0cm.Minimum,SoilTemperatureAt0cm.MinimumTime,SoilTemperatureAt0cm.MinimumTimef,SoilTemperatureAt0cm.Minimumf,SoilTemperatureAt100cm.Maximum,SoilTemperatureAt100cm.MaximumTime,SoilTemperatureAt100cm.MaximumTimef,SoilTemperatureAt100cm.Maximumf,SoilTemperatureAt100cm.Meanf,SoilTemperatureAt100cm.Minimum,SoilTemperatureAt100cm.MinimumTime,SoilTemperatureAt100cm.MinimumTimef,SoilTemperatureAt100cm.Minimumf,SoilTemperatureAt10cm.Maximum,SoilTemperatureAt10cm.MaximumTime,SoilTemperatureAt10cm.MaximumTimef,SoilTemperatureAt10cm.Maximumf,SoilTemperatureAt10cm.Meanf,SoilTemperatureAt10cm.Minimum,SoilTemperatureAt10cm.MinimumTime,SoilTemperatureAt10cm.MinimumTimef,SoilTemperatureAt10cm.Minimumf,SoilTemperatureAt20cm.Maximum,SoilTemperatureAt20cm.MaximumTime,SoilTemperatureAt20cm.MaximumTimef,SoilTemperatureAt20cm.Maximumf,SoilTemperatureAt20cm.Meanf,SoilTemperatureAt20cm.Minimum,SoilTemperatureAt20cm.MinimumTime,SoilTemperatureAt20cm.MinimumTimef,SoilTemperatureAt20cm.Minimumf,SoilTemperatureAt50cm.Maximum,SoilTemperatureAt50cm.MaximumTime,SoilTemperatureAt50cm.MaximumTimef,SoilTemperatureAt50cm.Maximumf,SoilTemperatureAt50cm.Meanf,SoilTemperatureAt50cm.Minimum,SoilTemperatureAt50cm.MinimumTime,SoilTemperatureAt50cm.MinimumTimef,SoilTemperatureAt50cm.Minimumf,SoilTemperatureAt5cm.Maximum,SoilTemperatureAt5cm.MaximumTime,SoilTemperatureAt5cm.MaximumTimef,SoilTemperatureAt5cm.Maximumf,SoilTemperatureAt5cm.Meanf,SoilTemperatureAt5cm.Minimum,SoilTemperatureAt5cm.MinimumTime,SoilTemperatureAt5cm.MinimumTimef,SoilTemperatureAt5cm.Minimumf,StationPressure.MaximumTimef,StationPressure.Maximumf,StationPressure.Meanf,StationPressure.MinimumTimef,StationPressure.Minimumf,SunshineDuration.Flag,SunshineDuration.Flagf,SunshineDuration.Totalf,WindDirection.Prevailingf,WindSpeed.Flag,WindSpeed.Flagf,WindSpeed.Meanf
2024-01-01,1023.4,1033.5,2024-01-24T08:35:00,1015.2,2024-01-20T04:53:00,12.0,19.6,2024-01-18T13:29:00,3.1,2024-01-23T03:11:00,75,38,2024-01-04T05:01:00,6.4,25,20.8,24,2024-01-22T11:50:00,25.5,,,,,,,,,,,,,,,,,,,,,,,7.0,2024-01-29T00:00:00,,1,,,1,,2.5,1,,2024-01-30T08:00:00,,,0,,7,1,,,98,2024-01-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2024-02-01,1021.4,1030.4,2024-02-11T09:42:00,1010.5,2024-02-21T15:35:00,11.5,23.4,2024-02-21T15:02:00,7.1,2024-02-26T09:17:00,84,50,2024-02-11T16:44:00,5.5,27,19.6,25,2024-02-15T20:55:00,47.5,,,,,,,,,,,,,,,,,,,,,,,18.0,2024-02-07T00:00:00,,1,,,1,,3.5,1,,2024-02-04T20:00:00,,,0,,9,1,,,100,2024-02-18T03:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2024-03-01,1017.7,1027.9,2024-03-10T10:16:00,1003.4,2024-03-05T16:41:00,14.1,25.6,2024-03-25T12:02:00,7.0,2024-03-01T23:42:00,81,0,2024-03-31T05:08:00,4.9,1,18.6,29,2024-03-02T00:50:00,63.0,,,,,,,,,,,,,,,,,,,,,,,18.5,2024-03-11T00:00:00,,0,,,0,,7.0,0,,2024-03-31T13:00:00,,,0,,8,0,,,100,2024-03-31T00:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,
2024-04-01,1010.9,1021.1,2024-04-09T11:00:00,1001.2,2024-04-30T15:18:00,18.9,28.5,2024-04-21T14:10:00,13.4,2024-04-05T04:39:00,89,0,2024-04-23T04:11:00,4.5,23,18.0,5,2024-04-04T09:00:00,173.5,,,,,,,,,,,,,,,,,,,,,,,40.5,2024-04-30T00:00:00,,1,,,1,,31.5,1,,2024-04-30T12:00:00,,,0,,17,1,,,100,2024-04-23T14:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2024-05-01,1011.6,1020.3,2024-05-16T07:17:00,997.8,2024-05-27T17:32:00,21.0,28.9,2024-05-31T14:54:00,13.5,2024-05-13T08:30:00,84,0,2024-05-18T23:48:00,5.0,20,19.4,34,2024-05-12T23:35:00,141.5,,,,,,,,,,,,,,,,,,,,,,,38.5,2024-05-21T00:00:00,,1,,,1,,25.5,1,,2024-05-12T16:00:00,,,0,,11,1,,,100,2024-05-18T18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2024-06-01,1007.0,1012.8,2024-06-04T22:42:00,1000.4,2024-06-14T16:36:00,25.4,31.1,2024-06-28T12:41:00,19.2,2024-06-03T00:01:00,87,0,2024-06-14T05:26:00,5.1,187,19.9,24,2024-06-02T12:49:00,162.0,,,,,,,,,,,,,,,,,,,,,,,43.5,2024-06-02T00:00:00,,1,,,1,,23.0,1,,2024-06-16T11:00:00,,,0,,13,1,,,100,2024-06-14T13:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2024-07-01,1004.9,1013.0,2024-07-03T21:55:00,976.7,2024-07-25T08:35:00,28.6,32.8,2024-07-06T12:23:00,26.8,2024-07-02T04:33:00,85,0,2024-07-01T05:11:00,5.1,190,38.8,169,2024-07-26T03:19:00,194.0,,,,,,,,,,,,,,,,,,,,,,,86.0,2024-07-25T00:00:00,,1,,,1,,19.5,1,,2024-07-25T23:59:00,,,0,,7,1,,,100,2024-07-01T00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2024-08-01,1005.3,1009.7,2024-08-23T08:59:00,999.3,2024-08-11T14:49:00,28.3,32.4,2024-08-07T15:25:00,-99.7,,86,0,2024-08-01T03:39:00,3.2,193,19.9,190,2024-08-20T16:48:00,30.5,,,,,,,,,,,,,,,,,,,,,,,21.5,2024-08-15T00:00:00,,1,,,1,,9.5,1,,2024-08-15T11:00:00,,,0,,6,1,,,100,2024-08-01T00:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2024-09-01,1006.6,1013.7,2024-09-23T09:04:00,999.2,2024-09-15T03:25:00,27.7,32.0,2024-09-10T15:25:00,-99.7,,85,0,2024-09-01T05:47:00,5.7,27,26.5,24,2024-09-22T02:59:00,296.5,,,,,,,,,,,,,,,,,,,,,,,128.5,2024-09-22T00:00:00,,1,,,1,,17.0,1,,2024-09-22T10:00:00,,,0,,13,1,,,100,2024-09-01T11:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
2024-10-01,1012.9,1021.1,2024-10-20T09:46:00,994.0,2024-10-31T23:54:00,23.3,26.4,2024-10-18T12:01:00,19.7,2024-10-24T06:58:00,81,0,2024-10-01T21:19:00,9.9,21,28.8,19,2024-10-01T19:03:00,33.0,,,,,,,,,,,,,,,,,,,,,,,11.5,2024-10-05T00:00:00,,1,,,1,,7.0,1,,2024-10-05T04:00:00,,,0,,8,1,,,99,2024-10-02T07:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
