,StnPres,Tx,RH,WS,WD,WSGust,WDGust,Precp,SunShine,GloblRad,TxSoil0cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2024-01-08 01:00:00,1013.1,17.5,78.0,11.9,38.0,16.8,25.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 02:00:00,1012.7,17.6,80.0,11.0,32.0,16.7,25.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 03:00:00,1012.3,17.6,79.0,11.9,29.0,16.9,22.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 04:00:00,1011.9,17.8,79.0,13.1,26.0,18.7,19.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 05:00:00,1012.0,17.7,79.0,14.1,25.0,19.1,23.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 06:00:00,1012.5,17.7,80.0,14.1,23.0,18.8,19.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 07:00:00,1012.8,17.7,79.0,12.5,29.0,20.2,23.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 08:00:00,1013.6,18.1,78.0,12.6,26.0,18.1,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 09:00:00,1014.4,18.6,77.0,10.0,32.0,15.7,21.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 10:00:00,1014.4,19.7,75.0,9.8,28.0,15.8,21.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 11:00:00,1013.8,19.7,74.0,11.0,24.0,15.3,23.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 12:00:00,1013.0,19.5,74.0,10.7,22.0,14.7,10.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 13:00:00,1012.2,19.9,75.0,10.6,21.0,14.4,10.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 14:00:00,1011.3,19.4,75.0,12.0,19.0,15.8,17.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 15:00:00,1011.0,19.3,75.0,11.3,22.0,14.9,23.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 16:00:00,1011.3,18.9,78.0,10.7,25.0,14.6,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 17:00:00,1011.7,18.4,83.0,10.3,24.0,14.3,25.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 18:00:00,1011.8,18.0,84.0,10.4,27.0,13.8,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 19:00:00,1012.6,17.8,84.0,9.9,26.0,13.7,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 20:00:00,1012.7,17.8,85.0,8.0,40.0,13.6,23.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 21:00:00,1012.4,17.9,85.0,7.6,35.0,11.6,22.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 22:00:00,1012.0,18.0,85.0,8.0,36.0,12.2,26.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-08 23:00:00,1012.0,17.8,85.0,7.9,36.0,11.4,51.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 00:00:00,1011.8,17.8,84.0,7.7,35.0,12.7,24.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 01:00:00,1011.6,17.8,85.0,7.6,41.0,11.3,27.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 02:00:00,1011.1,18.2,86.0,6.8,33.0,10.7,25.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 03:00:00,1010.8,18.3,86.0,7.3,35.0,10.4,49.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 04:00:00,1010.6,18.3,85.0,8.9,23.0,13.0,25.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 05:00:00,1010.4,18.2,85.0,10.0,23.0,12.9,21.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 06:00:00,1010.7,18.4,86.0,9.1,22.0,12.7,23.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 07:00:00,1010.9,18.5,84.0,9.4,26.0,12.7,24.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 08:00:00,1011.2,18.9,82.0,7.6,39.0,11.4,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 09:00:00,1011.4,19.3,80.0,8.5,33.0,12.7,22.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 10:00:00,1011.4,20.0,77.0,8.3,30.0,12.3,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 11:00:00,1010.8,21.0,74.0,8.3,24.0,10.5,21.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 12:00:00,1009.7,21.0,75.0,8.7,23.0,11.5,22.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 13:00:00,1008.7,20.4,77.0,9.5,17.0,11.6,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 14:00:00,1007.8,20.6,78.0,9.2,20.0,11.9,16.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 15:00:00,1007.4,20.2,80.0,9.4,16.0,11.9,14.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 16:00:00,1007.9,20.0,79.0,8.1,23.0,11.7,15.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 17:00:00,1008.2,19.3,83.0,8.5,22.0,11.6,4.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 18:00:00,1008.7,18.8,85.0,8.5,27.0,12.1,19.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 19:00:00,1009.2,18.7,85.0,9.9,22.0,12.1,25.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 20:00:00,1009.6,18.6,84.0,8.8,25.0,12.6,23.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 21:00:00,1009.8,18.6,84.0,7.7,32.0,11.9,21.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 22:00:00,1009.8,18.6,84.0,7.6,31.0,12.3,24.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-09 23:00:00,1009.8,18.7,85.0,8.1,25.0,11.7,13.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 00:00:00,1009.7,18.7,85.0,9.1,24.0,12.1,18.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 01:00:00,1009.9,18.5,84.0,9.5,22.0,12.9,16.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 02:00:00,1009.6,18.5,81.0,10.9,22.0,14.4,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 03:00:00,1009.8,18.6,80.0,11.2,22.0,14.7,20.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 04:00:00,1009.6,18.6,80.0,12.5,19.0,16.8,12.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 05:00:00,1009.9,18.2,80.0,11.7,23.0,17.1,23.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 06:00:00,1010.3,18.0,79.0,11.8,24.0,16.3,22.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 07:00:00,1010.7,18.2,79.0,12.5,24.0,16.9,18.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 08:00:00,1011.2,18.8,77.0,12.1,24.0,16.3,22.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 09:00:00,1012.0,19.0,74.0,11.8,22.0,16.9,24.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
2024-01-10 10:00:00,1012.3,19.8,68.0,11.2,26.0,17.6,21.0,0.0,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8,-99.8
